defendant_age,judge_experience_years,prior_convictions,public_defender_assigned,charge_severity,public_defender_experience,legal_representation_hours,sentence_length
11,26,1,0,1,9,36,329.8671594949738
7,31,1,1,0,11,40,359.22209609981235
13,31,0,0,1,13,41,371.6929957952015
9,31,0,0,0,11,37,335.4105431945788
8,28,1,0,1,8,36,328.4610200249186
9,35,1,0,1,9,38,342.0199092434741
11,29,1,1,0,13,42,376.7844411766194
10,30,0,1,0,10,40,361.7165377927906
8,28,0,1,0,7,36,328.4888466467561
10,30,1,0,0,10,40,362.6997645912757
6,34,1,1,1,9,39,349.0198608480393
5,29,1,0,0,13,40,357.8580817379047
11,28,1,0,0,13,40,363.2539846112245
8,32,1,1,1,11,38,342.64513469438464
11,31,0,1,0,13,37,334.0691893882032
7,31,1,1,0,10,39,351.71593637978634
13,28,0,0,0,8,38,346.13267524366654
8,31,1,0,0,8,37,335.62860900065107
11,32,1,0,1,7,39,352.0799158569443
8,31,0,1,1,9,37,335.6955018734022
10,28,0,0,0,9,38,347.51341531083943
6,30,1,1,0,8,38,341.6851810617897
10,29,0,0,0,10,38,344.33934481226225
7,33,1,0,1,9,36,322.63175152563736
16,30,0,0,0,9,36,329.3116328868372
5,27,1,0,0,12,37,336.24984017401056
12,28,1,0,0,12,40,357.42246793058933
7,26,1,0,1,11,39,353.07086221347606
12,29,1,1,1,9,37,334.11667964416586
11,32,1,1,1,12,39,353.0645173390993
13,32,0,0,0,12,40,362.0234313722387
4,29,1,0,0,11,38,341.3243666992592
9,29,1,0,1,12,41,370.186493678446
9,30,1,1,1,8,40,364.04716618382287
9,31,1,1,0,11,41,368.5205047262208
11,30,0,0,1,10,37,336.5318826060078
9,26,0,1,1,13,37,336.13032436722835
8,33,1,1,1,8,38,340.36152169531005
11,31,0,0,0,14,42,378.5513577177825
10,35,0,0,1,10,38,341.8105368541408
8,28,0,0,1,10,37,336.9442225005953
7,32,0,1,0,10,37,337.0127217966377
10,31,1,1,0,8,39,351.0717431507482
14,29,0,0,1,11,39,356.43666189586867
12,30,0,1,1,8,38,346.47014766192166
12,29,1,0,1,9,37,338.65657014313274
13,28,1,0,0,12,40,363.1812828905624
11,27,0,1,0,10,40,364.5051420812163
10,31,0,1,1,13,40,363.3654210998649
8,31,1,0,1,12,38,339.074205583584
11,28,0,0,1,10,38,348.34201089822034
4,27,0,1,1,10,36,326.8474293101918
9,30,1,1,0,10,37,332.712145725446
11,30,0,0,0,9,39,353.1295629193761
7,29,1,0,1,8,39,352.8351982716708
3,30,1,0,0,9,35,314.908622051702
9,32,1,1,1,11,37,332.91992704086124
10,31,1,0,0,8,37,335.3854770751631
12,26,0,0,1,15,43,389.6293638694592
14,29,1,0,1,9,40,363.7391321626816
9,29,0,1,0,10,36,327.85229767146745
11,28,1,1,0,8,39,355.7266824100727
6,28,0,0,0,13,41,368.1864590986476
7,29,1,0,1,7,36,325.9725671493403
5,28,1,0,1,10,37,336.7335774259721
13,28,1,1,0,12,41,374.8080104466355
12,25,1,0,1,8,40,366.71340553453024
3,30,1,1,1,10,35,317.09353520078275
10,34,1,1,1,10,39,351.19919042132074
6,32,0,0,0,12,38,341.1866941032499
8,29,1,0,0,8,36,323.9583531838731
9,23,1,0,0,9,40,362.1550833828583
9,25,1,1,0,7,36,328.000353912872
14,27,1,1,1,11,39,356.0403010239186
10,34,1,0,0,13,42,375.37899777021215
6,28,0,0,0,9,36,328.02185284223737
14,31,0,1,1,8,38,344.92431913668656
7,28,0,1,1,12,36,326.76239560480946
9,30,1,0,1,11,39,350.98963874885254
10,31,0,0,0,8,38,346.895507398004
3,29,0,0,1,12,35,314.866800340936
11,30,1,1,1,8,40,360.6629238428359
9,29,1,0,1,11,37,334.12116587081766
15,32,0,1,0,6,35,321.5868273545939
10,33,1,0,0,14,40,355.334607619873
12,27,0,1,1,8,36,329.33594725490804
10,26,1,1,0,11,42,380.187812356134
6,32,1,0,1,11,38,340.34539074515465
8,28,1,0,0,12,39,352.75737523531114
6,30,1,1,0,11,40,359.4086877819963
5,28,0,1,1,8,36,327.8032425995646
14,31,0,0,1,10,37,333.92441596795345
7,28,0,0,0,12,38,344.7071962750586
12,28,1,0,1,8,38,344.8554248867931
8,29,0,0,0,13,38,342.8172456979357
7,34,1,0,0,10,36,326.3190535280436
9,28,0,0,1,16,40,360.9107265674054
11,27,1,1,0,9,39,354.662439974175
8,29,1,0,1,13,37,335.4115202722078
6,30,0,1,0,11,39,354.4929742587282
5,35,0,0,1,9,38,341.75663409530506
6,30,1,1,0,10,38,343.73913314057165
6,29,1,0,1,10,32,291.06189136917504
11,31,1,0,0,9,40,363.6837509214743
12,28,1,1,1,7,41,375.8634420436491
4,26,1,0,1,10,38,344.0355443967798
12,29,0,0,0,8,37,335.84319279763355
11,28,1,0,0,10,38,345.0395858004461
12,28,0,0,1,11,39,355.363453965574
5,29,1,0,1,11,39,352.11997113068344
10,32,1,0,1,10,41,369.7903942900497
12,30,1,1,0,12,38,343.7048960772296
12,30,1,0,1,12,39,352.100296906131
9,29,1,0,0,11,38,343.1018916349032
12,34,1,0,1,10,39,352.5809918992502
11,29,0,1,1,6,35,319.42231433501325
8,29,1,0,1,10,39,352.8143164053184
11,32,0,1,0,10,39,351.89928864056503
12,29,1,0,0,10,39,351.88953112841216
8,32,1,1,1,14,37,333.03473641090034
13,30,1,0,1,10,40,363.0413232807746
11,30,0,1,0,9,37,334.7826422184749
9,29,0,1,1,9,38,343.9742236912572
11,28,0,1,0,7,35,323.4597903503925
9,26,1,1,0,12,38,343.2906143235505
13,32,0,1,1,13,39,352.1431578118616
10,29,0,1,0,8,38,345.74943081664776
8,27,1,1,0,10,36,327.35555741048205
15,31,0,0,1,11,42,378.77035430136783
8,30,0,1,1,10,37,336.2754433770372
11,29,1,1,0,13,39,351.6097717886987
13,30,1,1,1,12,40,363.8389837703788
13,34,1,1,0,8,40,363.6188390035893
1,29,0,1,1,9,36,327.2450163977905
10,29,0,0,0,8,34,310.7264856259983
8,30,0,0,1,9,36,329.6288178634596
6,30,0,1,0,10,37,336.1063678937627
10,31,0,0,1,12,37,333.4172956048481
8,31,0,0,0,6,37,335.86349997165246
9,28,1,1,1,11,41,369.2723879397493
8,29,1,1,0,9,38,343.88344385780204
13,29,0,0,0,8,41,374.1676562868768
9,26,1,0,0,11,40,362.5862533709188
10,28,0,0,0,14,40,362.5132342435735
11,34,1,0,0,9,40,361.1752276849709
13,27,0,0,1,9,36,329.0488365502326
15,30,0,0,0,11,40,363.6873373204462
12,28,0,0,1,11,38,346.00655171667205
12,28,0,0,0,11,41,371.422586519698
10,29,0,0,0,8,37,333.8814057353069
13,32,1,0,0,10,40,359.6263340977285
13,30,0,0,1,8,38,348.1207491588351
11,30,0,1,1,14,40,360.2686315037927
15,30,0,0,0,7,37,341.8727087635474
14,31,1,1,1,9,40,362.6075132637844
12,31,0,0,1,10,38,345.1761454255885
14,32,0,1,0,11,40,361.197983984828
11,29,1,0,0,11,40,361.2986782708233
6,29,1,0,1,11,37,330.9135275717251
9,31,1,1,1,10,39,351.8765859338765
9,28,0,0,1,8,37,334.9583753093667
10,30,0,0,0,12,38,345.7815169183338
14,33,1,1,1,16,42,380.1280709202737
10,25,0,0,1,14,39,350.38578856173166
13,31,1,1,0,11,39,352.8178752978923
11,31,0,0,0,12,39,353.777182550772
4,31,1,0,1,14,41,364.28663484119
9,29,0,1,0,13,41,368.3429198499597
12,30,0,0,1,15,40,360.56671492261887
7,28,0,1,1,9,33,302.2079228175313
11,30,0,0,1,8,37,336.7770904060468
10,29,0,0,1,9,40,360.4452649944613
7,30,1,0,0,10,37,333.1627569198842
10,33,1,0,1,11,40,361.7145178057533
12,28,0,0,1,11,40,364.72817358460463
12,30,1,1,1,11,40,361.6092942403026
10,28,0,1,0,9,40,365.2508171968519
8,27,0,0,0,9,36,327.90099837365426
9,28,1,0,1,12,36,324.68931108771267
9,28,0,1,0,7,36,329.5813170242957
10,29,0,1,1,9,36,329.54322204427257
14,27,1,1,0,8,37,339.5229684617642
7,30,0,0,0,10,38,342.83912677513945
10,30,1,0,1,9,39,353.13920757199423
12,31,0,0,1,10,41,370.7255859686411
10,29,0,1,0,11,37,332.9986889307666
9,28,0,1,1,16,39,352.7394973539529
13,31,1,0,0,11,40,359.7106611965111
6,25,0,0,1,10,36,326.5964512330653
11,28,1,0,1,8,38,345.90713177322425
7,29,0,1,0,12,37,334.60011623136035
9,29,0,0,0,9,37,336.6261303963301
12,28,0,1,1,10,38,345.82397017605143
10,35,1,0,0,12,43,383.34941001985504
10,32,1,1,1,13,39,353.43721927099523
9,31,0,0,0,10,38,344.84486367864
9,30,0,0,1,11,39,354.40293480449407
3,29,1,1,0,11,37,331.0146637476255
6,31,1,0,1,10,38,341.0088654285483
5,31,0,0,1,9,37,334.31108744995225
11,29,0,0,0,12,39,356.7577378533461
9,33,1,0,1,9,39,351.0751919458525
11,32,0,1,0,12,39,352.01510269422164
9,29,0,0,0,9,36,330.11230788100573
14,26,1,0,0,9,41,372.087374957347
7,35,0,1,1,7,37,336.6210695540413
13,32,0,0,0,12,42,377.98868789222695
10,30,0,1,1,9,37,336.5288198902301
13,26,1,0,0,10,41,372.13213773765005
13,29,1,0,1,12,38,344.614205026004
11,31,0,1,1,8,37,335.4222216486997
5,31,0,0,1,8,38,341.7182482170242
11,28,0,0,1,12,38,346.05273977012286
12,29,1,0,1,14,39,350.57113384315755
14,30,0,1,1,4,36,331.82166547643067
3,30,0,1,0,9,36,324.57519236586705
8,28,0,0,1,11,38,342.79588041059776
14,31,1,1,1,9,41,371.21883418369214
15,30,0,0,1,11,38,344.1505678059489
12,28,0,0,0,12,40,361.8228650366461
13,28,1,0,0,11,40,363.123090661459
17,26,1,1,0,10,40,366.8935331093296
12,30,0,0,0,11,39,350.4189242110378
10,30,0,0,0,8,38,341.5779522156121
14,32,1,1,1,7,39,354.5324991995732
7,31,1,1,0,12,39,350.869011628636
8,29,0,1,1,12,37,334.1991356221863
6,29,1,1,1,10,36,325.5035160250746
7,32,1,0,1,12,38,340.32393760908093
15,31,0,1,0,9,37,336.2675550407416
8,25,1,1,0,12,38,347.58635438207494
8,32,0,1,0,9,37,333.3429107380292
10,28,0,0,0,9,37,336.9233976153837
14,30,0,0,0,14,39,354.216969430214
11,28,1,1,1,8,36,328.4263559492793
13,37,0,0,1,10,40,359.32676101877064
12,29,1,1,1,12,39,352.96799307980365
5,34,0,0,0,12,39,346.9416864611485
14,31,1,1,0,10,40,365.0384544522519
10,30,0,0,0,11,39,354.2795761111259
13,30,1,1,1,10,40,363.4835466565368
6,28,1,1,1,11,37,335.79582518439645
8,28,0,1,1,9,37,337.0649593115558
10,32,0,0,0,10,37,334.3775220337884
8,27,0,0,1,15,39,350.8334153003016
11,30,1,1,0,12,43,388.3755325246268
8,26,1,1,1,9,39,354.1535418239611
9,31,0,1,1,10,37,337.478510372962
12,29,0,1,1,12,40,362.3388259505935
8,28,0,1,0,12,35,318.77551391208493
13,28,0,1,0,8,36,328.676981751626
5,28,1,0,1,14,40,360.39083297656936
14,32,1,1,0,9,39,353.04237610407307
8,30,0,0,0,13,38,341.64069475747084
9,27,0,1,0,11,38,342.67063122428704
12,27,0,0,0,11,40,363.2351782411206
9,33,1,1,0,10,39,349.26635659499885
8,28,0,0,1,9,35,318.12330606831347
8,30,1,1,0,10,38,341.0280809182743
11,27,0,1,1,8,34,307.7094939502953
7,32,1,1,0,9,35,316.2296604448373
9,31,0,1,1,10,37,333.1992830108167
9,28,0,1,0,11,37,334.87953617655955
8,29,1,0,0,9,38,345.0777795895419
12,30,1,0,1,12,39,353.69462223698883
10,25,1,1,0,8,34,311.02408392084175
11,30,0,1,0,11,37,336.5026918242841
15,27,0,0,1,10,39,356.5816432739235
5,24,1,0,0,9,36,326.050538388984
9,28,1,1,1,11,37,335.55896417771174
9,27,0,0,0,10,37,336.26967062297484
12,31,0,0,1,11,38,342.4877232595096
11,31,0,1,0,11,37,334.3556359529629
7,27,0,1,0,9,34,310.13639547389147
6,28,0,0,0,10,37,337.0874564169068
13,30,0,0,1,13,36,327.5482097499377
5,29,1,0,1,10,36,326.2995919387776
7,28,0,0,1,9,37,337.94960744098887
11,28,0,0,1,11,40,362.8997936807077
13,33,0,0,1,10,41,371.71001577426176
12,29,0,1,0,9,36,329.2183988578774
12,29,0,1,0,10,37,335.8690396855325
9,31,1,1,0,12,39,351.4866843603625
11,29,0,0,0,14,40,362.7411363174512
3,31,1,0,1,11,36,324.50249810562707
10,29,1,1,1,12,38,344.68349914056256
7,35,1,1,0,6,34,304.400045510564
12,28,0,1,0,13,40,362.88300092836585
11,31,1,0,1,9,40,359.2494463113339
8,28,0,0,1,9,35,318.6187208639688
13,31,1,1,0,12,41,368.6229654300071
10,33,1,1,1,14,40,360.48184845905234
4,31,1,0,1,12,38,339.7755699065867
9,29,0,1,0,12,40,360.9567143579965
9,28,1,1,0,7,38,347.62902705000505
9,28,0,1,1,9,35,318.0810074927078
11,29,0,1,0,9,37,338.66147615518605
9,30,1,0,1,14,40,359.46169994426464
11,31,0,1,1,8,37,335.49388192929075
17,27,0,0,0,10,38,347.90013034452727
14,30,0,0,0,8,36,329.91305585056693
11,33,1,0,1,11,40,358.1858974997005
9,30,1,0,0,15,40,359.16941198327294
10,31,1,0,1,10,36,327.3805069685252
8,29,0,1,1,13,39,352.7277697450233
8,31,1,1,0,12,38,343.4431636589932
11,31,0,0,1,10,38,343.61674613353176
12,30,0,0,0,13,39,352.67517773394115
8,34,0,0,1,10,35,315.0427503135514
9,30,1,0,0,12,38,339.78328164079574
8,32,1,0,0,13,40,360.16287149167124
10,30,0,0,1,12,35,314.4276275295688
10,29,0,0,0,11,37,336.5210394669846
13,32,0,1,0,11,42,377.999901622403
12,30,0,0,1,10,36,327.2567156496316
11,30,0,0,1,8,38,346.6750488632536
10,29,0,1,1,10,37,337.30301758700955
11,30,1,1,1,11,38,344.60587896621377
12,29,1,1,0,10,39,357.0769853768992
10,27,1,0,0,12,39,352.68285614090075
7,30,1,0,0,10,39,350.1380767376763
4,29,1,1,1,9,36,328.7432656658903
9,24,0,0,1,10,37,336.0091949054772
9,29,1,0,1,8,39,354.69868504680426
10,29,0,0,0,7,36,327.54488100381747
12,30,1,0,0,10,41,370.38753354217664
14,30,0,0,1,12,37,334.1185595363238
11,30,0,0,0,13,39,354.22302193519687
6,32,0,0,0,5,34,308.8501591088346
8,29,1,1,1,11,37,334.7245457132586
9,28,1,0,1,10,37,336.9985093303797
10,28,0,0,0,11,38,343.60281980720583
8,30,1,1,0,10,40,359.5766167369077
4,30,0,1,0,12,37,334.9902342452346
8,32,0,1,0,10,37,333.1970543919352
10,33,0,1,0,13,38,341.8876673824315
7,33,1,1,1,13,39,349.25892529751127
8,31,1,1,0,11,40,359.3069026551284
10,31,0,1,1,10,38,346.0633884400862
10,29,1,1,1,9,37,335.8072952751202
9,32,0,1,0,13,39,349.5055714208574
12,27,0,0,0,10,37,335.3691080361687
5,28,1,0,1,10,38,344.8062936892246
6,29,1,0,0,15,41,369.6486544497457
9,31,0,0,0,8,37,335.81789214155253
13,28,1,1,1,10,37,339.90116931035
7,31,0,1,0,12,37,333.69289526231506
12,31,1,0,1,11,38,343.3886960783518
6,27,1,1,1,10,38,346.77607752196303
11,32,0,1,1,10,35,316.73111846947086
10,29,0,1,1,9,35,318.27622328697123
21,31,0,1,0,12,43,391.2141835254316
7,27,0,0,1,12,39,353.67026850820645
9,30,1,0,1,8,38,346.4449048944366
10,31,1,0,0,11,41,369.5220444368695
8,30,1,0,1,10,39,352.1543030095344
13,28,1,0,1,9,38,346.8163304962061
6,32,0,1,1,11,36,322.99014826296764
11,30,0,0,0,9,38,347.74789262253296
12,33,1,0,1,11,37,333.38822178590806
11,29,0,0,1,12,38,343.2704850209956
12,29,0,1,0,13,40,362.51156964035096
8,30,1,0,0,5,35,319.4474547858506
6,28,0,0,1,12,41,370.5693401052923
3,27,0,0,0,11,33,299.6915882149457
10,28,0,0,0,9,38,346.2737078191296
10,30,1,0,0,8,38,344.18608564714134
