individual_age,education_years,gender,rural_residence,minority_status,local_childcare_availability,childcare_subsidy_received,employment_status
11,27,1,0,0,10,38,180.58353526204976
5,30,1,1,0,9,42,200.140636228094
3,30,1,1,1,4,40,192.97461303604223
8,37,0,1,1,9,41,196.41347040553717
9,29,1,1,1,6,39,185.10420066955805
12,28,1,1,1,10,41,192.77534531837884
9,28,1,1,0,7,38,181.7420184795473
13,29,0,0,0,8,37,178.7270550384729
4,33,1,0,0,12,46,215.17390390838375
7,29,0,1,0,6,37,179.45693659032722
9,29,0,1,1,9,41,194.50729687153947
9,30,0,0,0,7,37,180.8669300530069
11,31,1,0,1,7,36,179.16980210206765
13,29,0,1,1,8,36,176.5639797647675
10,29,0,0,1,5,38,183.51866440301083
7,31,0,1,0,12,44,206.0345474055414
13,29,0,0,1,9,42,197.13230114919028
8,31,1,0,1,9,40,187.7861623614481
5,26,1,1,0,9,39,187.51015715365293
7,30,1,1,1,7,39,187.05436516218612
12,36,1,1,0,7,39,187.07889003892905
12,34,0,1,1,5,41,197.2534110839639
5,29,0,0,1,9,42,200.20500140355236
13,30,1,0,1,10,41,191.33705227788843
8,26,0,0,0,6,37,180.1665116903058
9,27,1,1,1,8,42,198.4206010652335
7,32,1,0,1,7,41,196.7853623937284
7,28,1,1,1,8,39,185.7754957112258
12,29,0,1,1,7,39,187.6588463888313
13,28,0,0,0,8,39,184.4993959650313
9,26,0,1,0,11,39,182.87963889051585
10,27,1,0,1,7,38,180.58602321547008
7,30,1,0,1,9,41,192.1873525582771
16,28,0,1,1,6,37,179.88179730849205
10,27,1,1,0,10,40,187.5655326078681
11,27,0,1,0,5,36,175.37596622199004
7,31,1,1,1,10,42,198.4173384416163
10,30,1,0,0,9,40,190.24538952182965
9,27,0,0,0,10,39,183.1720493375231
15,28,0,1,0,4,34,166.75963787400153
8,29,1,1,1,7,41,194.61316876236276
7,25,0,1,0,3,36,177.4062982623116
11,30,1,1,0,11,41,190.75184172693116
8,28,1,1,0,10,42,196.3537470828336
6,32,0,1,0,7,42,197.95993614025105
4,27,1,1,0,5,40,194.50131637292665
10,33,1,0,0,10,39,185.8500987110012
11,24,0,1,1,6,36,176.2103963479645
15,28,1,0,1,13,41,191.0283982552648
13,26,0,1,1,10,40,191.2236344922745
7,29,1,0,0,7,39,186.4171682572886
10,29,1,1,0,7,39,184.8161071540813
8,30,0,1,0,7,40,191.1621243071447
6,32,1,1,1,8,43,201.12086796233012
7,30,0,1,0,6,40,191.32980758017052
10,30,1,1,0,4,37,179.90663436425186
10,34,0,0,0,5,40,192.73674437654097
6,34,1,0,1,9,43,205.0117440676136
9,29,0,1,0,6,39,187.10273585698923
12,28,1,0,0,6,39,187.4296236058639
8,29,1,0,0,7,42,196.36165167474903
15,28,0,1,1,1,31,156.37481975455145
10,34,0,1,1,7,40,193.28427007543863
8,27,0,0,0,7,40,188.9257156095655
10,27,0,0,0,8,39,186.0874115727008
10,30,0,0,0,8,40,191.56474388632284
10,29,1,0,1,5,38,184.88756328210377
14,34,1,1,1,9,39,188.6996498684848
8,28,0,0,0,10,38,182.1055329810441
12,29,0,0,0,6,37,179.49585336306274
8,32,0,1,1,6,40,191.24919739295632
11,33,1,0,1,6,44,207.5318636237987
12,29,1,1,1,9,39,184.24736233809972
7,31,1,0,1,7,40,191.8436930665315
8,30,1,0,0,8,39,185.48659983719784
9,28,0,1,1,6,37,180.9919588490027
9,28,0,1,1,6,39,186.3345329063475
11,28,0,0,0,6,34,167.1559806350167
8,30,1,0,0,9,41,193.78353036627783
10,24,0,1,1,7,38,181.91524829920317
7,31,1,1,0,6,40,193.49068023078192
12,28,1,1,1,9,38,183.7017153566228
8,27,1,0,0,6,38,181.07316152275496
13,32,0,0,0,9,39,186.9638554055334
9,35,0,0,0,7,39,187.232523145881
19,26,0,0,0,9,36,174.14554793037664
10,26,1,0,1,8,36,173.96618236143982
12,33,1,0,0,7,40,189.72055295468968
9,31,1,1,0,4,38,182.96444673441908
6,33,0,1,0,11,43,202.1351181044741
11,33,1,1,1,10,42,198.90065503459192
11,31,1,0,0,6,37,179.53422412090816
9,31,0,0,0,7,41,195.50858116070145
18,26,1,0,1,7,35,167.88759600522943
10,25,0,0,1,12,42,195.88438250538124
9,34,1,0,0,11,44,207.65250009508125
10,26,1,1,0,10,42,195.166834480718
9,28,0,0,1,8,41,194.26854379202345
10,33,1,0,0,8,42,198.521448766764
10,30,1,1,1,7,37,176.5281788922191
12,30,0,1,1,10,41,195.39766229715448
6,29,0,1,0,8,40,189.2019461838713
14,31,1,1,0,9,39,189.2356686049942
11,30,1,0,0,11,42,197.343627135585
6,30,1,0,0,6,42,198.46585517354256
7,31,1,1,0,6,42,199.04879052778475
11,31,0,1,0,6,37,181.6610538324741
14,32,1,0,0,7,36,176.25307473640964
15,30,0,1,1,7,39,186.37682476579025
11,30,0,0,0,7,39,187.36273375686707
9,29,0,1,0,7,37,177.44191370421944
8,31,1,0,1,7,41,197.63226309133788
13,22,1,0,1,6,38,180.19857156320467
5,28,0,0,0,7,41,195.6825072690288
12,28,0,1,1,5,35,171.49203987060108
7,30,1,0,0,6,38,181.4672066468472
12,27,0,0,1,8,38,182.20645366592052
14,31,0,0,0,5,38,185.31454910901604
14,26,0,1,1,10,37,175.75736021148327
10,27,1,1,1,8,38,180.9616639259204
13,29,1,1,0,8,40,190.5917409857863
10,32,1,1,1,10,41,195.26536188715409
13,35,1,0,1,7,40,192.2098659597764
15,31,1,0,1,3,35,173.1819380061457
7,34,0,0,1,8,43,205.27287539392185
9,29,1,1,0,10,40,188.44680198729344
11,30,1,0,0,5,36,177.86692800578825
5,26,0,1,0,10,41,191.8776323813161
10,27,1,1,0,7,37,177.2239177959696
12,32,0,0,1,10,41,195.3064810346229
8,34,1,0,0,12,44,205.12460110179387
7,29,1,0,1,7,39,187.9618964890141
10,30,0,1,0,11,43,200.51927433879965
7,31,0,1,1,8,41,193.4355440783704
10,28,1,0,1,4,36,174.79232723276044
3,28,1,0,0,4,38,183.96613373262505
7,31,1,0,1,8,39,186.1738595237706
10,31,1,0,1,10,42,199.8595461009229
9,25,1,1,1,7,36,173.33220307671033
5,30,1,0,1,10,44,205.86484515553445
7,28,0,0,1,7,38,185.4938696943653
9,28,1,1,0,7,37,179.00387587208309
10,28,1,1,1,7,38,183.2184881079659
5,29,0,0,1,9,41,197.16365606108664
11,30,0,0,1,8,39,187.25808643547128
1,29,0,1,0,9,40,189.71494902876043
11,29,1,1,0,6,37,180.3379419549222
11,29,1,0,0,11,43,200.647664244566
6,31,1,0,1,7,43,203.0064667897904
14,29,1,1,1,7,39,184.60211321582403
6,29,1,1,0,5,39,187.6537855912862
10,29,1,1,1,9,42,195.8038665213868
12,30,1,1,0,7,38,180.5820251629817
10,26,0,0,1,6,40,190.91817409425684
12,31,1,1,1,11,39,185.1343273040623
10,25,0,0,0,7,37,177.70524399403538
9,31,0,0,0,9,39,186.0372413364554
8,34,1,1,1,6,40,189.67285928752693
11,28,1,1,0,7,38,183.5011652718404
16,28,0,1,0,2,34,168.49485568592394
5,30,0,1,0,13,43,200.55953490780084
8,32,0,1,0,10,39,187.976548425868
9,31,1,1,0,10,40,191.4730428898472
6,28,1,0,0,7,40,190.3505314411639
7,35,0,1,1,9,42,201.21863514057333
10,31,1,0,0,7,42,199.6316572640774
7,26,1,1,0,8,40,189.1895904301387
13,29,1,1,0,8,40,190.91921104016765
11,32,0,0,1,7,37,181.28059198527652
9,28,0,0,0,8,40,189.92543456843347
11,30,0,0,0,6,40,186.3914284708696
13,31,1,1,0,4,38,181.5155835224374
13,30,0,0,0,9,40,192.09202823380988
11,27,1,1,1,7,36,175.31296372713405
8,30,1,0,1,6,39,186.96148251868564
8,31,0,1,1,5,39,189.20741369276877
9,29,0,0,1,7,40,190.08676704727296
6,30,1,1,0,8,40,190.04744695714444
12,27,1,0,0,6,36,174.68352011837587
10,33,1,0,0,6,40,190.60460725943943
10,31,1,0,0,9,39,184.86205666192717
10,31,1,1,0,7,39,187.0016693788345
13,28,0,0,0,8,37,178.99494103443826
12,31,1,1,0,4,39,188.43417301841467
11,26,0,0,0,8,38,179.9197586787801
13,30,0,1,1,9,41,192.2352301686828
10,29,1,0,1,7,40,187.76414022375764
4,31,0,1,1,8,42,200.0743447312288
8,29,1,1,0,9,42,198.5163700375213
10,30,0,0,1,9,37,179.97603635427532
5,27,0,0,1,10,41,193.69542850609264
9,30,1,0,0,8,41,195.70378527429145
15,27,0,1,1,7,35,171.32475913341256
6,27,1,1,1,6,39,186.00213352387067
9,30,0,1,0,7,39,186.5133186442919
10,28,1,0,0,4,38,182.14421968635955
12,26,0,0,0,8,36,174.6092216397082
10,32,0,1,0,10,41,192.37779012437352
8,26,1,1,0,7,38,180.53496241589335
8,31,0,1,0,10,43,204.01278237961807
10,29,0,0,1,5,37,182.2079983087909
7,30,0,1,0,8,40,191.43125040163508
6,30,1,0,0,5,40,193.73311973223852
7,32,0,0,1,8,41,196.6478150453415
16,28,0,0,0,10,39,186.03971907751952
5,30,1,1,1,11,44,204.0755023903108
11,33,0,0,0,7,39,186.5037007033897
9,28,1,1,0,8,41,190.27119153056003
10,32,1,1,1,8,42,197.40798923535328
6,30,0,0,0,6,40,192.46389699709155
9,31,1,1,1,10,42,198.6414941249912
12,29,1,0,0,10,40,187.9575240385744
11,26,1,0,0,5,39,184.44894075913984
4,27,0,1,1,7,40,189.6435429020277
10,29,1,1,0,8,40,192.3070656429319
10,29,1,0,0,9,39,184.173024928816
13,26,1,0,0,7,39,184.9062810063609
12,28,0,0,0,8,39,185.0378472763104
10,28,0,0,0,8,37,176.4830414568734
13,28,1,0,0,6,40,190.5673395515668
9,30,1,0,0,8,41,188.9742479291259
8,31,0,1,1,3,38,185.10952985773903
13,28,1,0,0,10,38,181.74181921916085
12,29,0,0,1,6,36,177.09800345494
6,31,0,0,0,11,43,201.9480011009532
9,29,1,0,1,6,36,175.30979934235816
8,28,0,1,0,8,39,186.31929348279567
11,30,0,1,0,8,40,187.57880215007685
10,30,1,1,1,4,39,187.2782665572492
15,33,0,0,1,8,37,179.57273625942705
8,32,1,0,0,6,40,190.6947371918535
8,28,1,0,1,10,40,186.42282733075015
4,32,1,1,1,6,41,195.5090407266992
9,31,0,0,1,7,41,195.46884085919967
17,27,1,0,1,5,35,171.51318005866025
15,27,0,0,1,7,36,173.14580851462716
17,28,1,1,1,8,37,176.7685755230285
9,28,0,0,1,6,36,178.19227239152517
8,30,0,0,1,5,39,188.6620209577341
8,27,1,1,0,11,40,188.96006426631325
11,32,1,0,0,6,36,174.61255419396423
14,27,0,1,0,7,37,179.90803550230265
12,28,1,0,1,8,39,184.08709909751627
11,26,1,0,0,7,38,179.39548249325557
7,29,0,0,0,6,39,188.0168706234676
9,28,0,1,1,10,42,197.9761212655317
11,26,0,1,1,14,40,187.42333270344864
9,32,0,0,1,8,43,202.8843179928656
9,25,0,0,0,9,40,189.57033124739127
7,30,0,0,0,8,40,192.2509082439808
10,26,1,1,1,11,38,179.260566924319
6,29,0,1,1,6,41,197.1480550733636
10,31,1,1,0,6,38,184.37378975220108
11,31,1,1,1,7,38,182.31567711569724
13,30,0,0,0,5,38,183.50652127035383
3,29,0,0,1,8,43,205.02812788054865
11,32,1,1,0,2,37,181.49935162397784
12,33,0,0,1,4,38,186.86479488205796
8,31,1,1,1,9,42,200.9287246932629
12,29,0,1,1,9,40,190.36009397709108
15,26,0,1,0,7,36,173.50605030206663
8,26,1,1,1,4,37,179.55008461309146
7,30,0,1,0,6,39,189.96187773084844
9,27,1,1,0,8,39,183.83776951678004
13,27,1,1,1,10,39,185.2995707735733
10,28,1,1,0,8,41,189.8169882343058
7,29,1,0,0,10,43,200.1544670755877
8,27,0,0,0,10,38,180.1467699526418
13,31,0,0,0,6,38,184.13867292912343
13,30,1,0,0,8,36,175.676384146549
10,30,0,1,0,8,41,194.3657481321856
10,33,1,1,1,8,40,192.13956588626792
8,33,1,0,1,11,41,194.03619416964844
9,30,1,0,1,7,39,187.60888613988556
9,31,0,1,1,9,40,191.87368430849315
14,30,0,0,0,7,39,185.2357274576744
7,33,0,0,0,8,40,193.66256946119088
8,34,1,0,1,9,40,190.97790257591004
10,31,1,0,0,4,39,187.91671351122335
12,28,0,1,0,7,38,180.6149102452489
8,29,0,1,1,9,40,190.8226896659978
9,27,0,1,0,10,41,194.4797326751508
8,27,1,1,1,9,40,191.16463785883053
8,31,1,1,1,7,41,195.9137775261489
12,32,0,1,1,7,41,195.42278386936897
10,25,1,1,1,5,37,179.51411922340398
9,26,1,0,1,9,41,192.41689361407404
12,30,1,1,0,9,42,197.89685749100292
12,30,0,0,0,6,39,184.5390141244045
9,27,1,0,0,7,40,190.1098705259137
9,29,1,1,0,7,41,193.41987885664724
10,29,0,1,1,5,36,175.22923031008037
14,28,0,1,0,8,35,167.45775940316656
9,27,0,1,0,7,38,184.2355492761168
3,29,1,1,1,7,42,199.5325545943388
10,27,0,0,0,12,41,192.3726805855637
11,29,0,1,0,8,37,179.27472418074325
13,34,1,0,0,6,38,186.23736647760396
8,28,0,1,1,6,38,183.16300480968636
8,32,1,0,0,10,40,188.0734816592881
11,30,0,1,0,7,38,180.868449248607
14,33,1,0,1,8,38,186.71823933510123
13,31,1,0,0,7,37,178.28856485996673
12,29,1,1,1,4,37,180.6360736524492
11,31,1,0,0,8,42,193.85284514222477
7,28,0,0,1,5,40,190.586343660032
11,31,0,1,1,6,38,185.51617126460275
10,28,1,1,1,9,36,174.0970424579017
4,30,0,1,0,6,39,188.6849774605309
13,29,0,0,1,8,36,175.7574691191627
13,28,0,0,1,9,40,193.2228254585765
13,26,0,0,0,9,37,179.43967134960738
10,30,1,1,0,7,39,187.25959869271284
8,29,1,0,0,10,42,198.18115906689928
9,30,1,0,0,6,41,195.10364476782428
9,27,0,0,1,6,38,178.41261840022693
10,29,0,0,0,7,41,193.62762635546432
7,29,1,1,1,6,39,188.39800861924317
5,29,0,0,0,8,43,200.8721710674248
10,29,0,1,0,9,39,186.91409898446045
6,27,1,0,0,6,37,180.4809947621008
8,29,0,0,1,10,39,183.7768574035612
5,30,0,0,0,4,40,192.11353796445263
14,30,1,1,0,7,37,176.9701917535034
7,31,1,0,1,5,39,188.33076203693625
2,25,0,1,0,9,43,200.7628127831099
8,29,0,1,0,9,41,196.7761568078984
14,26,1,0,0,3,37,178.36176216015744
12,30,0,1,1,9,40,192.84094402061115
13,29,1,1,0,6,38,181.3760303585312
9,32,0,0,1,6,40,191.976219731715
11,26,0,1,1,6,35,174.42160973730608
7,31,0,1,0,10,39,185.89492283634547
10,28,1,1,0,7,39,186.03186492120912
14,34,0,0,0,9,42,197.4060770329432
7,32,0,0,0,8,42,199.80742081844295
10,29,0,1,0,7,37,179.86320989067488
11,30,0,1,0,3,34,168.9725767933934
9,29,0,1,1,6,39,189.44623380720648
10,32,0,1,1,5,38,184.08258309638475
14,30,1,0,1,5,37,179.75372191701408
8,29,0,1,0,7,41,197.07374162552924
12,28,0,1,0,6,34,168.52284939119437
10,27,0,1,1,12,40,188.01398262798787
12,30,0,1,1,7,40,192.34682776393265
8,32,1,0,1,6,39,187.7893694791059
7,29,1,1,0,7,39,185.90248979431297
10,26,1,0,0,8,36,175.15615111392572
9,28,0,1,0,8,39,186.32736394378225
11,30,0,0,0,5,37,183.72772103473963
13,28,0,1,0,5,35,171.110769637112
6,28,0,0,1,7,36,176.65268735769442
8,27,0,1,0,7,40,188.67835805360232
12,32,0,0,1,7,40,189.5110360096068
9,28,0,1,0,9,39,186.8943356836712
8,30,1,1,0,7,43,202.22659174006844
8,29,1,1,1,7,39,188.38642042142715
11,29,1,1,1,5,39,186.8145609100609
10,27,1,1,1,6,38,182.202029438834
6,31,1,0,0,6,39,186.51613987732105
7,33,1,1,1,9,47,216.1516987847993
4,29,1,0,1,8,40,190.2710273750634
9,27,0,0,1,5,39,187.0135607813693
10,27,1,1,0,4,35,168.94702328165158
11,30,0,1,1,9,41,192.44640870768575
7,29,0,1,1,6,37,178.57071204727646
16,25,1,1,0,6,36,172.35913448281067
