age,education_years,previous_income,working_hours_per_week,gender,union_membership,minority_status,local_unemployment_rate,job_training_intensity,annual_income
14,32,4,15,1,0,1,9,33,330.7415337438905
8,26,10,12,0,1,0,8,30,301.16276015742585
11,28,8,20,1,1,1,7,27,272.3283902912732
11,26,4,15,1,0,0,8,33,328.93807687759187
7,31,4,14,1,1,0,10,35,346.2891055335976
10,27,9,11,0,0,0,11,35,342.457268245131
16,31,8,15,1,0,0,10,32,319.5452312923605
11,27,9,8,1,1,1,12,37,363.26027000966354
8,29,7,11,0,0,0,9,39,381.77357733911634
10,28,8,14,1,1,0,6,30,297.8066318109037
12,28,11,17,0,1,0,12,31,307.6233208854164
9,30,10,16,1,1,0,11,33,326.2094640468272
10,27,2,13,0,0,1,10,36,357.02923367921466
11,26,6,13,1,1,0,7,31,312.1735502564116
10,33,9,11,1,0,0,10,40,389.2997730528171
13,25,8,18,0,0,1,8,30,299.1515062077935
17,29,8,15,0,1,1,10,34,338.3107408180762
13,25,3,13,0,1,1,7,30,302.24053459404087
9,28,14,11,0,0,0,11,36,351.72347419578114
7,32,4,13,0,1,0,7,35,348.56720698872283
9,28,4,13,0,1,1,10,34,337.3719555699207
6,27,7,9,1,0,0,12,41,400.6150058051814
16,30,12,10,0,1,1,9,33,326.5776057395116
10,26,8,9,1,1,1,10,36,353.2526846583056
13,29,4,11,0,1,1,11,37,364.656796434764
10,30,9,10,0,1,0,9,36,354.2805299748734
12,30,8,17,0,1,1,8,33,329.2466792685147
6,30,0,12,1,1,1,11,38,371.2603760264219
12,31,6,16,0,0,1,11,34,339.0743592001287
8,28,7,5,1,0,1,13,42,408.216425143968
10,28,10,12,1,1,1,8,33,326.7736582294785
8,28,3,6,1,1,0,10,39,382.0632022338625
12,30,8,11,1,1,1,11,35,342.0483986243231
9,29,9,14,0,0,0,8,33,325.83314369092443
9,29,7,10,0,0,1,11,36,354.72152359365725
7,30,10,14,1,1,1,10,36,352.4112100624106
8,29,10,12,0,1,1,10,35,344.1926902992602
12,27,6,11,1,1,0,12,33,327.830897753567
12,29,11,13,1,1,1,10,34,337.12225114241005
7,28,7,12,0,0,0,8,34,336.8373706460255
9,29,5,14,1,1,0,8,31,310.18627155764824
11,25,8,16,0,1,0,9,35,345.225023946831
9,29,18,15,0,0,1,11,33,323.3268859845267
6,28,9,10,1,1,1,12,41,400.11627014410345
11,33,12,18,0,1,0,9,33,326.223425202437
16,30,8,15,0,1,0,8,28,279.8816041059809
7,27,6,14,0,1,1,12,34,335.66931054429955
12,32,12,15,0,1,0,7,32,320.4268551667372
7,32,4,14,1,0,0,9,36,357.8066613857589
7,28,5,18,1,1,1,8,30,300.2679455334289
14,27,11,14,0,1,0,9,28,280.9221196756637
11,29,4,12,1,1,0,10,34,338.2359194481307
7,31,10,16,1,0,0,8,35,342.6121561855935
9,27,9,17,1,1,0,8,29,288.74446143181075
10,29,8,10,1,1,0,12,38,372.5725508316111
6,30,10,11,1,1,1,9,36,352.2160872794622
13,27,6,13,1,1,0,11,31,311.5244730545602
9,27,13,15,0,1,1,6,31,305.89569949025065
12,29,0,11,1,1,0,6,37,368.4574122100297
11,30,8,14,1,1,0,10,32,318.17690164211865
10,28,7,13,1,1,1,9,34,335.5626356980977
10,31,13,13,1,1,1,8,33,327.4886446291424
13,27,12,15,1,1,1,8,29,287.4794541040653
9,31,14,16,1,1,1,7,32,315.1459081085006
9,25,4,15,1,1,0,11,33,328.3438719159835
8,29,2,13,1,1,0,10,33,329.7871329522993
8,31,8,17,1,0,1,10,34,335.4931318552209
11,31,9,15,0,0,0,13,34,334.7952470237798
6,27,5,16,0,0,1,13,36,354.6200584652963
10,30,6,13,1,1,1,10,36,353.03306477377714
11,31,14,12,0,0,1,8,33,327.5812184247035
11,29,0,13,1,1,1,10,34,343.28179387370284
9,28,6,10,1,1,1,8,35,342.99250237960325
8,26,4,10,1,1,1,9,34,337.4526470912561
8,31,13,17,1,1,1,12,34,333.3792876166268
14,33,17,10,1,1,0,10,36,350.2918190560223
10,32,4,10,1,1,1,9,40,391.910180368398
9,32,6,9,0,0,1,10,39,385.3070474068715
6,33,2,14,0,1,1,7,39,387.2893080133396
15,25,6,15,1,1,0,10,32,320.37196035776367
3,29,9,19,0,1,1,10,34,336.7734978231121
9,31,10,14,1,1,0,11,34,334.68409761036594
10,27,6,16,0,0,0,8,32,318.7436793111842
14,33,11,14,1,0,1,11,34,333.4889472589801
2,30,13,12,0,1,1,13,41,396.2167525358301
9,29,2,16,1,1,1,9,34,338.4389994094957
11,30,10,14,0,0,0,11,37,361.79891934437336
11,28,8,14,0,1,0,6,31,310.30056134596714
9,26,2,9,1,1,1,11,36,353.2836228543335
12,29,9,11,0,0,1,9,34,334.6334722922319
8,27,4,13,0,0,1,11,34,338.14116571573334
10,32,12,16,1,0,1,10,35,341.4466597790287
11,32,14,7,1,0,1,9,39,379.33564366677626
11,27,9,14,0,1,1,9,33,323.31170000859646
12,30,10,14,1,1,1,8,30,299.9277185107215
10,30,4,15,1,1,0,11,34,338.29414227872525
7,31,6,10,0,1,1,10,36,352.69442548149965
11,28,4,14,0,1,1,8,33,331.09657614553254
12,27,6,13,1,1,1,9,30,299.05984546720543
9,31,9,15,0,1,0,12,35,342.0732971270439
13,31,2,16,1,1,1,10,32,323.6875474528356
9,32,8,16,0,0,1,10,33,328.2997975996808
13,28,7,11,0,1,0,9,36,355.27844869483823
8,31,5,10,1,1,0,7,37,366.0797217336468
11,27,4,17,1,1,1,9,31,311.7851933701252
16,34,1,10,1,1,0,6,39,387.245529003117
9,25,4,19,0,1,0,9,30,301.8478399946134
11,30,7,16,1,1,0,10,32,318.03941130730067
7,35,14,15,1,1,1,8,34,334.3441957687782
13,29,2,10,0,1,1,8,36,356.07622912831494
10,32,8,16,1,0,1,11,34,337.0997311871155
8,30,5,17,0,1,1,8,32,319.56389266099274
9,32,11,10,0,0,0,11,37,361.9614585582023
12,32,6,11,0,1,1,15,39,378.350075437644
10,27,9,15,1,0,0,9,33,328.4974478840172
10,29,9,14,0,0,0,11,34,335.8121567766916
8,31,6,14,1,0,1,7,35,347.3398309485344
10,32,5,12,1,1,1,10,34,337.7312809088234
9,29,7,13,1,1,1,11,35,347.408674499366
10,33,7,13,1,1,1,6,34,336.8288210937045
14,25,11,16,1,1,0,8,29,290.49134065872687
11,30,13,13,0,1,1,6,32,316.0579265751873
10,23,8,10,1,1,1,11,36,355.0050803467028
7,34,9,13,1,0,0,11,36,353.83094378411533
10,24,11,17,1,1,1,11,34,332.02141637283074
10,30,8,12,1,1,1,10,36,353.1471477266561
10,30,12,12,1,1,1,10,35,343.0004716564063
11,29,6,13,1,0,1,8,34,338.8861568893627
6,28,6,14,0,0,0,9,36,357.9486013018608
10,31,11,13,1,0,1,9,34,334.2493667879003
13,32,4,16,1,0,0,13,33,329.7865579109526
12,28,7,17,0,0,1,11,32,317.9532433085578
8,26,4,14,0,0,1,12,37,361.9559915029624
12,25,4,14,0,1,1,11,32,319.6879145766183
12,27,10,12,1,0,1,10,33,326.254437837033
10,28,8,14,1,1,0,10,34,335.1579866887232
9,30,9,14,1,1,0,9,31,309.8068535699782
10,30,11,13,1,1,1,9,33,322.5869943875824
8,24,12,10,1,1,0,11,33,325.2329029349125
10,29,6,16,1,1,0,6,29,292.41357005869327
10,27,5,15,1,0,1,10,31,309.188297517892
0,28,8,13,1,0,0,12,40,390.1851300107738
13,35,7,13,0,0,1,10,36,354.3093991542252
10,28,9,14,0,0,1,9,33,326.9881501371613
13,33,5,17,1,0,1,10,36,357.14394827165825
10,29,11,13,0,0,1,10,35,345.14917991943065
13,34,3,13,0,1,1,10,37,366.71126060930027
10,31,9,13,1,1,0,13,39,381.8181203247876
15,36,11,15,0,1,1,8,33,326.9460098083612
8,30,10,9,1,1,1,10,36,354.70359603252166
12,33,7,14,1,1,1,7,33,328.9993502564242
10,29,10,11,0,1,0,8,34,333.7058338106834
7,30,5,12,1,1,1,10,35,344.441368378125
11,30,8,15,1,1,1,12,36,356.0819569513259
8,30,2,14,1,1,1,9,35,346.2656623523936
9,28,6,12,1,0,0,10,35,347.992991443918
9,26,16,12,0,0,0,8,33,321.0400482829883
12,30,2,15,1,0,1,12,36,356.2446729283935
10,26,6,13,1,1,1,9,32,317.9028915558312
6,29,8,8,1,0,1,9,39,384.7214821763219
14,32,8,16,1,1,1,9,33,328.2456281696749
5,28,12,10,1,1,0,10,37,359.5412671134061
12,25,11,14,0,1,0,7,28,279.9490183717858
10,26,14,17,1,1,0,7,32,317.3119362533198
7,28,9,15,1,1,0,13,35,345.37498096727296
11,24,2,10,0,1,1,8,37,367.2543040955307
11,28,3,18,1,1,0,8,31,313.9976397804358
9,29,8,14,0,1,0,10,35,344.4981159289904
6,33,11,15,1,1,0,7,34,337.04675446268504
11,29,7,13,1,0,1,12,35,345.3817768221364
11,33,4,15,1,1,0,9,37,365.4738324472988
7,31,7,11,0,1,1,9,39,379.9307797636773
4,29,13,10,0,0,1,10,37,360.49505655288215
11,32,3,12,0,0,1,10,36,354.5061784017851
11,31,5,17,0,1,1,11,34,338.44780008074406
11,31,9,10,0,0,1,7,34,338.44370950815403
12,29,8,12,1,0,1,9,32,316.1395122247717
12,26,10,14,1,0,1,11,33,325.8243721585331
6,27,9,14,1,1,0,9,33,322.2788835863517
10,33,12,18,0,1,1,10,30,298.2908424205192
10,28,4,13,1,0,1,13,39,379.71962915146975
14,30,1,14,0,1,0,9,32,318.8084034133732
7,32,7,10,1,0,1,10,41,398.66436179855634
9,32,11,12,1,1,1,9,37,362.3706721917089
11,31,6,13,1,1,1,10,35,345.7204520373319
11,30,10,10,0,1,0,7,33,326.87965545010275
9,25,6,12,0,0,1,10,33,326.4772649462126
6,32,10,12,1,1,0,8,36,354.0702098864917
15,29,8,13,1,1,1,11,33,327.7361503625788
8,26,13,11,0,0,1,11,35,339.418296213128
4,31,13,12,0,0,0,9,35,343.32333751486505
9,29,9,15,0,1,0,10,35,342.8901722196386
10,27,3,7,1,0,1,7,34,341.2665527949924
10,28,13,11,0,1,1,10,36,352.93899335130624
9,28,2,10,1,0,1,9,38,374.4382018461921
12,28,5,10,1,0,1,11,37,366.1558669535648
3,31,10,11,1,0,0,8,37,363.3537092010074
11,29,4,17,0,0,1,10,35,347.78962152651724
11,27,11,14,0,0,1,9,33,325.12251040507704
8,30,9,14,1,1,0,10,36,354.31447695578765
13,29,4,12,1,1,1,10,36,359.0923865111056
11,27,11,15,0,1,1,8,30,299.16152658991274
8,28,9,15,1,1,0,12,33,326.25978798996044
11,30,8,15,0,1,1,11,32,319.42752618033427
12,29,11,18,1,1,0,12,33,325.1298071945349
6,32,2,10,1,0,0,8,39,385.0752054115076
8,34,4,13,0,0,1,7,38,374.5886476205122
8,28,7,12,1,0,1,8,34,336.40091016362504
14,31,14,10,1,1,1,7,35,345.4996834343563
4,27,6,14,1,1,1,5,32,322.24766287930504
8,31,3,16,1,1,1,9,35,349.5444862077568
10,32,8,15,1,0,1,12,36,351.46282571017224
10,34,9,15,1,1,1,8,34,337.5231031928697
9,28,12,9,0,0,0,12,39,379.6510657509074
8,30,10,14,0,0,1,9,34,336.778790916406
6,26,7,15,0,0,0,10,30,300.73586869186653
13,28,11,18,0,0,0,13,32,318.600107027055
10,29,10,14,1,1,0,9,33,327.7288822252765
12,25,10,15,1,1,1,12,31,308.54812133012194
6,30,9,17,0,1,1,7,34,337.6224878892337
10,30,3,11,0,1,1,9,34,337.2462357138894
9,32,12,9,0,1,1,6,36,354.63214125091827
11,27,7,13,1,1,1,6,31,309.12085753516743
8,31,11,14,1,0,1,11,37,364.8427529380717
7,30,10,14,0,1,0,7,35,346.7985925965775
14,31,5,14,0,0,1,10,33,329.202439865912
11,30,9,16,0,1,0,8,31,307.9068765782188
5,36,10,10,1,1,0,8,40,389.996745039172
11,30,4,14,1,1,1,7,30,302.63564583147763
9,31,9,13,0,1,1,9,35,347.6256341263941
9,30,3,13,0,0,1,6,36,357.17736314563444
14,30,11,16,1,0,1,4,27,273.5639131208558
15,32,5,15,0,1,0,11,33,326.20944389491393
11,32,3,13,1,1,0,9,37,367.5910427538234
10,26,7,11,0,1,0,9,34,336.4577354508523
10,33,4,17,1,1,1,7,33,329.51498861663623
10,26,4,12,0,1,1,10,36,355.8434903551423
7,28,10,19,1,0,1,7,31,309.70770673891315
5,29,8,12,1,0,1,8,35,344.4615349111579
8,24,8,15,0,0,0,9,34,336.2075564760267
10,29,6,11,0,1,0,11,35,345.9444311226476
6,25,4,11,0,1,1,11,38,371.6231148783347
9,34,6,18,1,1,1,8,33,329.4210715830899
9,26,8,17,0,0,1,9,32,318.7929417765049
10,33,4,14,1,1,1,13,37,366.5465600526861
8,29,8,15,0,1,0,10,33,327.0557717671198
11,27,13,17,0,1,0,6,29,289.6055505629932
10,30,9,11,0,1,1,8,34,334.81726906188067
14,30,6,14,1,1,0,13,35,344.64194577831404
10,30,5,13,1,1,1,9,35,347.5839005696414
9,28,4,16,0,1,0,6,33,328.42656755629696
14,31,7,13,1,1,0,12,31,309.9552064854944
8,25,7,12,1,1,1,11,37,363.75731851567696
10,34,8,16,0,0,1,10,35,346.0501815544201
11,27,9,14,1,0,1,10,35,348.2605698038296
4,32,6,15,0,1,1,10,37,364.131105442961
6,31,7,12,1,1,0,6,32,321.26397341534084
15,30,3,10,1,0,0,10,35,346.9264771866603
10,31,9,20,1,1,1,7,29,290.7188644242865
7,33,5,15,0,1,1,12,37,363.3022936511178
10,31,11,11,1,0,1,8,33,325.6559883900974
7,29,11,13,1,0,0,8,33,327.5653908198914
5,31,9,15,1,1,1,8,33,326.22287704876936
12,29,12,13,1,1,0,7,31,307.2483203070125
12,29,4,14,1,1,1,9,33,330.2718336336125
9,25,6,14,0,1,1,10,33,329.5804973770661
9,27,13,16,1,0,0,7,29,288.04701372530656
10,28,7,10,1,1,0,11,34,336.5925185898484
5,35,10,8,1,0,0,12,43,417.7312597104502
12,30,11,17,0,1,0,11,32,318.52834591180664
13,30,4,12,0,1,1,9,35,347.76166922381003
8,30,4,12,1,0,0,7,34,343.0726166901045
6,26,6,15,0,1,1,11,33,328.51205173806903
11,27,7,13,1,0,1,11,35,345.1113422890461
9,30,7,10,0,1,1,10,39,382.1249571426736
9,29,7,15,1,0,0,10,34,333.66175590885257
10,32,11,12,1,0,0,10,36,350.72369662964485
8,28,4,18,1,0,1,8,32,320.0178966637498
11,31,4,17,1,1,0,12,31,305.7670961964416
12,26,8,17,0,0,1,5,30,303.7021301888452
8,34,11,12,1,1,0,10,35,341.6473965866021
5,29,14,17,1,0,0,8,33,326.196668749207
12,29,7,15,1,1,1,13,34,337.1544776145777
11,27,6,14,0,0,1,10,32,319.0222495020819
11,32,12,7,1,1,0,13,36,349.55001356685403
11,31,6,14,1,0,1,11,36,353.50953840965025
7,28,6,11,1,0,1,11,37,363.6554617375782
11,33,8,15,1,1,1,9,35,345.09870384320675
7,34,6,15,1,1,1,6,35,350.5590196599481
9,31,2,16,1,0,1,10,34,339.58125180957
10,30,7,15,1,0,0,9,33,329.12291680474783
10,30,7,11,1,1,0,6,33,329.9316957326492
9,32,7,11,0,0,1,10,39,381.8149010712253
7,27,4,16,1,1,1,12,32,319.65767096941954
10,30,12,11,1,0,0,12,36,351.6823472942129
11,27,14,12,0,1,0,9,32,315.03286658310446
9,33,5,16,0,0,0,9,38,373.1512892800295
8,31,8,9,1,1,1,11,42,406.9229072076159
8,31,11,17,1,0,1,9,31,308.2987980129687
10,30,6,14,1,0,1,10,32,317.71756562259293
12,30,9,12,0,0,0,9,36,357.01158088739305
13,28,6,19,1,1,1,11,30,299.7853013026366
8,33,2,13,1,1,1,8,38,377.5024823380908
12,29,7,13,0,1,1,11,36,355.40682164081977
13,32,8,17,1,0,0,7,30,299.0492357466809
8,30,10,16,1,0,1,9,32,317.73943321458233
13,29,7,15,1,1,1,9,31,308.756257536873
9,31,8,17,0,1,0,10,34,335.2166756952451
9,29,6,11,1,1,0,13,38,371.7883946863532
12,29,4,18,0,1,0,8,30,303.26273142075263
9,31,11,10,1,1,0,7,36,354.22995137024134
12,31,5,18,1,0,1,8,30,302.84758136702783
8,27,7,16,1,1,1,7,30,301.77367831726605
7,30,3,12,1,1,0,10,38,374.1186417136693
10,31,5,14,0,0,1,11,37,365.8218932194668
13,28,12,16,0,1,0,7,29,292.4672857935583
11,34,7,15,1,1,0,10,36,356.2834924215744
8,29,12,16,1,0,1,9,32,314.2133902731098
12,29,8,11,1,1,0,10,36,353.9638293054644
11,26,10,16,1,0,0,14,33,325.16866139986564
10,28,10,13,0,1,0,7,32,317.99272332556006
9,35,9,14,0,1,0,11,35,345.0565210825123
15,30,1,14,0,1,1,7,34,342.09176577937325
8,32,13,11,1,1,1,12,36,353.3616883609368
9,25,9,9,0,1,1,10,37,363.83776756086047
8,30,4,12,1,1,0,11,37,366.0573466803053
12,28,6,12,1,1,0,8,33,329.75472679484545
10,32,10,14,1,1,0,11,35,342.48834274395136
11,28,9,15,0,0,1,10,34,334.6977792779183
9,28,13,11,1,1,0,10,32,315.2491718124592
12,30,10,13,1,1,1,9,36,355.82066282135486
6,31,10,17,1,1,0,8,31,308.99433843954193
12,30,15,14,0,1,1,9,34,332.1736603600959
10,26,3,14,0,1,1,11,33,329.6152623568205
14,30,1,10,1,1,1,10,37,364.61448555512527
9,31,12,13,1,0,1,9,35,343.466373637643
11,28,3,17,1,1,1,9,32,322.19898325476544
9,29,5,13,1,1,1,5,31,310.97413329405595
10,30,8,13,0,1,1,7,32,317.56717459124104
10,28,1,18,0,1,1,8,32,319.5903405721314
8,29,7,17,1,1,0,13,34,336.2819487249229
14,29,11,9,1,1,1,5,30,298.8780336453823
13,31,10,11,1,1,0,14,35,343.6832266644426
12,28,6,17,1,1,1,7,29,292.0475304668157
6,28,9,14,0,1,0,9,36,355.59338727183945
9,30,6,12,1,0,0,13,36,352.7619169063703
15,29,3,16,1,0,1,5,31,314.927763430367
7,29,6,14,1,0,0,6,36,356.8174031764173
11,28,9,17,1,0,0,5,29,290.86439428770825
9,28,7,14,0,1,1,11,34,333.01306030296456
6,30,10,13,0,1,0,10,34,337.0111304902762
17,30,6,6,0,1,1,12,37,363.55585021286646
12,31,5,10,1,1,1,8,36,356.9956280842737
14,34,4,15,1,1,0,10,37,369.0266585710184
14,27,9,13,1,0,1,8,31,309.24587910727416
11,27,12,14,1,0,0,10,34,332.14262282308374
9,33,7,12,0,0,1,12,39,380.1727259484306
11,27,5,13,0,1,1,12,33,327.1061514664144
13,28,9,13,1,0,1,8,31,309.69128411991915
7,30,10,14,0,1,1,10,33,325.7900943169342
14,29,8,16,1,1,0,9,29,289.7597141763293
12,30,4,12,1,1,0,7,34,338.980518357722
7,30,6,15,1,1,0,9,33,327.9347114972972
10,29,6,16,1,0,0,8,32,320.06971389055127
9,30,9,16,0,1,1,12,34,333.9727404266137
10,29,5,18,1,0,1,8,31,311.09999793427386
11,27,4,14,1,1,1,10,35,344.7970680911005
11,28,7,14,0,0,1,10,32,317.21146661846853
9,30,12,14,0,1,1,10,35,343.8375353582783
5,27,8,17,0,1,1,7,32,319.1847582800259
3,27,3,11,1,0,1,11,38,371.7513533164667
10,33,10,15,1,0,0,10,32,315.20029604433535
8,32,2,12,0,1,1,8,38,374.3444833399651
9,28,7,19,1,0,0,11,33,327.95558801866974
8,27,5,14,1,0,1,10,35,348.4204829796326
11,29,6,12,1,1,0,13,37,365.07502577657954
6,29,6,12,0,0,1,8,39,383.360921385559
7,31,7,11,0,0,1,12,38,370.4503868590165
8,30,12,17,1,0,0,11,32,318.11972247398467
13,33,9,13,1,1,1,7,32,319.98705289848755
10,28,12,13,0,1,1,9,33,323.57248254669827
7,27,6,6,1,1,1,9,38,373.0932673544588
14,34,9,15,0,0,1,13,34,333.4841970248271
9,30,5,13,1,1,0,9,36,355.3815840515174
13,27,10,13,0,1,1,11,35,344.4645052252599
13,31,6,12,0,0,0,9,35,346.5137484475614
10,27,12,11,0,1,0,8,34,334.4445264040051
12,32,7,12,0,1,1,9,33,327.42408507384783
16,27,11,18,1,0,0,11,28,280.5395844217207
10,31,10,13,1,0,0,9,34,336.2471959442987
8,30,3,15,1,1,1,11,38,371.5086806590007
13,32,6,8,1,0,0,10,37,365.9562853433713
5,29,0,14,0,1,0,10,38,375.8115396625845
6,31,0,16,0,0,0,9,36,359.9874580427334
10,28,7,12,1,1,0,7,34,335.97936524765134
12,32,13,14,1,1,0,9,34,335.158853083377
9,27,5,11,1,1,1,8,34,335.8917474512607
12,29,4,12,1,1,0,10,34,338.83530753804854
11,27,8,10,1,0,1,13,36,351.05429158457
12,25,6,17,1,1,0,8,28,280.5585295711519
10,30,11,16,0,1,1,7,30,300.33745423097804
12,26,7,13,0,1,1,7,33,329.6692229386576
12,24,8,13,1,0,1,13,33,325.43312625609434
10,30,6,13,1,0,1,10,37,365.8158908219958
14,30,1,12,1,0,1,5,35,350.0537185885207
13,30,4,17,1,0,1,6,30,302.62147133163074
13,27,11,15,0,0,0,12,32,317.3801082546195
4,29,7,17,0,1,1,7,32,318.481584276807
11,31,6,11,1,0,1,10,35,346.5462234717702
10,29,7,14,0,1,0,11,34,337.1264759041548
7,29,6,16,1,1,1,10,33,326.6394711651359
9,25,11,15,1,1,1,8,30,299.5858397378807
8,29,8,12,1,0,1,9,35,344.80874071954025
8,28,6,10,1,1,1,9,33,325.0100545744549
8,30,10,13,1,1,1,9,35,343.08432213261744
10,35,9,17,1,1,1,7,34,334.7417584358797
11,29,9,13,1,1,0,13,36,353.50962126650995
4,27,8,13,1,1,1,11,35,342.59776896490786
11,34,13,17,0,0,1,8,33,326.8459282067819
15,29,15,8,1,1,0,10,35,341.0668689022581
5,28,4,17,1,1,0,7,35,350.4366241513758
6,28,5,20,0,0,0,7,30,304.6182627662436
11,29,7,17,1,1,0,12,34,336.496493791857
14,29,8,13,1,0,0,12,35,345.1726719784909
11,27,8,15,0,0,1,6,32,321.25340222195723
10,25,5,13,1,0,1,6,31,312.24328120263226
10,23,10,16,1,1,1,11,31,306.9751584960998
4,28,3,15,1,0,0,9,34,337.9648806600728
11,34,12,13,1,1,1,8,32,318.15296924297434
9,32,13,13,0,0,0,5,32,318.1799807479369
6,29,4,12,1,1,0,10,36,355.22488515732783
6,28,8,13,1,0,0,11,35,343.4175248054968
15,28,8,13,1,1,1,9,33,327.568592426767
6,23,4,9,1,1,1,10,37,362.5445559012022
10,33,11,18,1,1,1,14,33,323.717079007139
15,32,10,16,0,1,0,9,33,328.931614787577
10,31,10,14,1,0,1,11,35,343.718533316288
11,27,7,11,1,0,1,9,35,346.9627643372805
12,28,9,12,1,1,1,10,35,344.7941525400865
11,28,6,17,1,1,1,10,33,328.859533293088
5,27,5,14,1,1,1,11,37,363.9856756142608
9,29,10,13,0,1,1,13,37,361.5098653370219
5,30,6,16,1,1,1,9,32,317.1994674496753
9,33,6,13,1,1,1,9,39,386.1342325323082
10,29,4,13,0,1,1,11,38,373.17712259287225
4,29,10,14,1,0,0,11,34,333.1728093980184
8,29,7,15,0,1,0,11,34,336.3935789179062
13,32,8,16,0,1,1,8,29,292.75921319668714
8,31,9,11,0,0,1,9,37,368.6736578898461
6,33,8,13,1,1,0,12,39,382.4374951107489
13,30,5,19,1,0,1,10,32,320.0500998422386
10,30,5,13,1,1,1,9,40,393.9077404654122
11,30,7,15,1,0,0,8,33,327.31527570819
11,31,14,11,1,1,1,8,32,315.8719852312106
10,28,7,14,0,1,0,10,33,328.89713858791515
8,34,7,10,1,1,0,12,41,397.6385395961301
10,28,10,10,0,0,1,10,34,335.3851425300778
15,27,7,12,1,0,0,8,32,318.17445845605585
12,29,10,11,0,1,1,8,33,326.70435193670227
8,30,11,16,1,1,1,9,30,295.74647461176164
9,31,5,13,1,1,0,10,38,370.4224591071151
6,28,2,15,1,1,1,12,37,365.43994019877374
10,30,10,15,0,1,1,8,34,333.8943736177191
7,30,8,14,1,1,1,11,35,343.39312639231764
8,28,11,14,1,1,1,11,36,352.2317749787055
