age_years,monthly_income_dollars,cost_of_living_index,home_ownership,policy_beneficiary,housing_policy,quality_of_life_index
26,19,9,1,1,1,33.980986599061474
28,24,11,1,0,0,22.5720140233887
29,19,5,1,0,1,32.06117221046754
31,15,10,1,0,0,29.210926568710164
37,28,16,1,1,0,16.856341543052814
27,27,12,1,0,0,20.408677188817485
33,25,13,1,0,0,23.083170895722805
30,20,11,1,1,1,30.80709878230805
25,23,13,0,1,1,31.00645741029287
32,18,13,1,1,1,32.32167273396397
33,26,10,1,1,1,26.472445700354207
30,17,8,1,1,0,28.14989761245147
25,11,11,1,1,1,39.654934911412006
33,26,11,0,1,1,26.89932387956809
37,27,7,1,1,0,18.82507514514699
36,20,10,1,1,1,29.83420676308977
50,18,9,1,1,1,27.55753921826459
38,23,8,0,1,0,20.996053971781503
27,15,4,1,1,0,29.19189651604523
22,15,13,0,1,1,37.84726131014222
49,13,11,1,0,0,23.864914495367152
27,22,11,1,1,1,31.757654809073543
27,19,13,1,1,0,28.01318587254618
28,25,11,0,1,0,22.35101335125476
31,22,10,0,1,0,24.451022592368503
43,26,13,1,0,1,24.66213768376421
27,30,10,1,0,1,24.998305894702657
41,20,15,0,0,0,23.645388156043005
18,36,7,0,1,1,23.735421679743435
13,20,12,0,0,0,31.083070957421643
30,27,9,1,1,1,26.930146543589206
41,13,7,1,1,0,26.852983449264155
23,37,2,1,0,0,14.405403151300144
24,24,6,1,1,0,23.86933623369522
25,24,9,0,1,0,23.01329401377892
26,17,6,1,0,0,28.13689384792615
36,12,11,0,0,0,32.083683563618344
26,15,15,1,1,1,40.23381099299289
26,20,8,1,1,1,35.01716062226966
30,19,10,1,1,0,27.930715919373256
37,29,8,1,1,0,15.384856567139146
24,16,16,1,0,1,36.39636512253944
26,33,13,0,0,0,17.51902707107472
31,20,12,0,0,0,26.83571363404576
37,21,9,0,0,0,24.61563653015906
33,25,14,0,0,0,21.62925041251385
24,26,12,1,1,1,29.16746003092352
30,24,6,1,1,0,23.861526881923343
23,17,11,0,1,1,37.3324604536873
35,26,9,1,1,1,24.283176311628957
30,16,8,1,0,0,28.47681585364284
29,17,11,1,1,1,34.10461081752752
26,37,8,1,1,1,21.55569637474622
18,20,9,1,0,0,27.45633970797088
26,33,12,0,1,1,24.94524471759542
19,20,10,1,0,1,36.05572179945122
39,18,4,0,1,1,29.39158780633474
39,19,6,1,0,0,23.81766386603993
33,19,9,1,1,0,25.836175653970816
41,29,14,1,0,0,15.585420651539629
21,24,12,1,1,1,31.368053371726663
47,15,7,1,1,1,29.77684094141541
35,25,11,1,1,1,26.96055376681912
39,33,11,1,1,1,20.434931037579176
31,27,7,1,1,0,22.670119847587845
34,14,17,1,0,0,29.19602890453401
28,30,9,0,0,0,18.504994281007917
14,16,12,1,1,1,40.940939054200975
30,28,9,1,1,0,20.210201626594976
19,35,13,1,0,0,17.002735441310538
28,28,5,0,1,1,27.380500197688463
28,18,8,1,0,0,27.59898991476065
23,17,9,1,0,0,30.151065405129163
34,20,12,0,1,1,30.275100209087604
27,20,11,1,0,0,27.935701432811957
21,12,10,1,1,0,34.32568891779313
35,24,8,1,1,0,20.647640029977467
17,12,10,0,0,0,35.91375910616684
16,11,9,1,1,1,41.99843945198028
37,21,7,0,1,1,29.937043481813816
34,16,9,0,1,0,27.60879037575667
34,11,10,1,0,0,30.91527635943248
30,22,10,0,0,1,29.85467108856173
19,3,8,1,1,0,41.30870968427371
18,16,11,1,0,0,34.08887418262198
37,15,11,1,1,0,26.997522006923173
29,29,3,1,1,1,24.46435492061397
30,23,4,0,1,1,29.32203185107694
23,19,9,1,1,0,27.042508031573355
23,19,7,0,0,0,27.234425147959715
36,20,7,1,1,1,29.167674999514286
28,24,10,0,0,0,23.804797063154798
27,22,10,1,1,1,32.257525133276125
24,16,9,1,1,0,30.09716373557094
30,25,8,1,1,0,20.56557846474223
43,26,8,0,1,1,22.794926956278747
31,17,6,1,1,0,25.628303229920984
23,30,10,1,0,0,20.56143867391156
36,16,9,1,1,0,25.086733595710808
31,18,10,0,1,1,33.60223115959039
17,17,10,0,0,0,31.67690174534704
18,15,14,0,1,0,34.05696062430093
33,20,11,0,1,1,30.7909880688332
24,24,11,1,0,0,23.89322939243247
32,13,5,0,1,0,30.93240508783036
36,25,15,0,0,0,21.6919377302549
27,17,8,0,0,1,34.6713229123577
22,21,3,0,1,0,25.92361295586052
25,13,10,1,1,1,38.11197898183736
27,23,6,1,1,0,23.97747288977634
41,17,9,1,1,0,25.275392641350887
20,20,11,1,1,0,29.23968748423233
20,27,13,1,0,0,24.13957944725443
22,15,11,1,1,0,30.75568345118392
13,25,5,1,1,1,31.75630908614216
22,20,11,0,0,0,27.153120128444108
29,7,10,0,1,1,40.86004510365878
32,15,10,1,0,0,31.19125045810261
36,19,10,1,1,0,24.48004670919223
27,11,8,1,1,0,33.67746469924273
32,14,10,1,1,0,29.235684865921023
34,21,8,1,1,1,30.68567542199145
26,21,11,0,1,0,27.910356990108824
23,13,6,1,0,0,32.84273861870008
35,6,10,0,1,0,34.57812974058659
31,13,12,1,0,0,31.997621023444747
48,32,8,1,0,1,16.40240582964845
34,26,2,1,1,0,20.085331826817672
28,16,12,0,1,0,28.71766863607713
46,21,7,1,0,0,19.68114404507101
31,17,2,0,1,1,31.78017748985776
24,12,15,1,1,1,41.27426078866274
22,26,11,1,1,0,24.293054587885667
49,15,14,1,1,1,30.04760556479577
22,23,8,1,1,1,33.85237761998768
29,20,15,1,0,1,32.674187052612496
27,17,14,1,0,1,35.81444312596473
25,26,10,0,0,0,22.2845368665111
37,21,13,1,1,0,23.51459043782536
32,16,9,1,1,1,33.23118490815867
19,23,15,1,1,1,33.52419575741187
27,11,8,1,1,0,33.35331170381697
30,26,13,1,0,0,20.437131074946947
33,19,8,1,1,0,24.1395158578852
20,19,5,1,1,0,27.355939172049588
36,26,7,0,1,1,25.04615799445586
27,21,8,1,0,1,32.234264217100325
36,25,10,1,1,0,21.235452406069985
45,22,10,0,0,0,19.167811702698724
22,27,3,0,0,0,21.64632382590182
26,13,6,0,1,0,31.976524932075552
39,27,9,0,0,1,26.137218007624497
32,17,10,1,1,0,28.197577981429813
43,25,12,1,1,1,24.8933787938433
20,20,15,1,1,1,36.868068317266136
38,17,10,0,0,0,25.583395824016435
33,11,10,0,1,0,31.424466018477137
29,33,8,0,1,1,22.353742231557398
21,24,14,1,1,1,32.744435689718834
30,28,9,0,1,1,25.35856657230047
17,17,10,1,1,1,39.280952237647234
45,20,11,1,0,0,19.966271255375236
33,20,13,1,1,1,30.96203716744815
40,29,4,1,1,1,21.28506912507033
27,25,9,0,0,0,24.76584812466972
17,12,13,1,0,1,43.32584114910714
34,14,10,1,0,0,29.43264470677527
23,38,11,1,1,1,21.82713524411298
37,19,6,1,1,0,25.06822636543211
35,28,8,0,1,1,24.45625307958497
27,18,9,0,0,0,27.319030307534742
26,19,7,1,0,0,27.422408050319408
13,22,11,1,1,1,36.19050530549208
28,23,9,0,0,0,23.148323377822205
25,26,10,1,1,1,29.909997824014244
35,17,7,1,1,0,26.13416507480228
33,23,9,1,0,0,23.848933537609035
32,20,14,0,1,0,26.15100195908116
24,34,7,0,1,1,24.127201187151247
31,13,8,1,1,0,30.63368763423858
38,18,9,0,0,1,30.460988272423467
34,14,8,0,1,1,33.49106428836529
23,18,15,1,0,0,28.095310636359827
48,24,6,1,1,1,23.93458165908985
32,24,11,0,0,1,29.83266018106028
32,24,5,0,1,0,19.809707849151376
28,24,7,1,1,0,24.20379230555277
32,14,13,1,1,1,36.91818038692411
21,11,11,1,1,0,35.1700302216807
31,25,11,1,1,1,29.53350203594463
33,30,8,1,1,0,17.447860559426587
30,17,9,1,1,1,34.006683976906054
39,22,13,1,0,0,22.53576496828021
33,27,10,1,0,1,27.846667010876217
37,21,9,0,1,0,22.72785314025066
19,6,7,1,0,0,37.76695877771107
29,21,9,1,0,0,24.234173299517348
33,18,7,1,1,0,27.52374570762553
31,22,7,0,0,1,30.527369215895853
39,17,6,1,1,1,32.05681478614986
26,25,11,1,0,0,24.518043634967142
30,9,12,1,1,1,41.85264339388211
30,17,10,1,1,0,26.447882812895816
19,13,14,0,1,1,40.92793291504576
30,19,8,1,1,0,26.5002998024947
18,22,13,1,0,0,27.566328082524407
38,18,10,1,0,0,24.904847395631634
25,10,9,1,0,1,39.21282904056376
40,20,9,0,0,1,27.41813829411165
31,14,8,0,1,0,29.106383340143093
37,17,12,1,1,1,32.970183711799926
23,19,5,1,0,0,27.39321551913238
19,3,5,1,1,1,46.151992121997885
18,13,9,1,1,0,33.1086987568643
25,25,12,1,1,1,29.148004149453417
34,20,6,1,1,1,31.513699317987054
28,5,11,1,0,1,43.67678390172512
23,14,9,1,1,0,31.85204774708739
33,13,9,0,0,0,29.378123977535623
23,14,9,0,1,0,30.886468311278687
31,13,10,0,1,1,37.038147671958
32,18,9,1,1,1,32.198365387068534
40,16,8,1,0,1,31.724041048730857
33,29,11,1,1,1,25.14604378523472
38,16,8,0,1,0,26.838438965570145
22,23,3,0,1,1,32.467284830343075
35,19,9,1,1,0,25.324403734869776
25,23,6,1,1,0,22.5966023710456
14,22,9,1,0,1,37.06317844162566
40,25,13,1,1,1,24.35514337197662
20,14,10,1,0,0,33.64623097353988
39,15,7,1,1,1,33.527764372716874
23,13,6,1,0,0,31.003196312961887
18,21,9,1,1,1,33.46179967708736
41,21,10,1,1,1,28.602223624246403
43,12,10,0,0,1,32.40376810128568
37,9,9,0,1,1,35.8753905620475
29,27,15,1,1,0,20.78035042835642
19,14,10,0,1,1,38.92497520420327
32,14,4,0,1,1,35.40339340827924
24,14,11,1,0,1,39.303847363170725
35,25,9,1,1,1,26.488966464489483
25,27,8,1,1,0,23.259004629339955
41,28,13,1,1,0,17.944034491262876
46,12,10,1,1,0,27.96806544610554
30,17,12,1,1,1,35.63737013565408
40,17,6,1,1,0,22.93137016268583
32,26,10,1,0,0,22.013579532134283
34,19,13,0,1,1,32.69851082852522
25,33,10,0,0,1,24.69217813402281
29,18,5,0,1,1,34.72537274556491
22,17,7,0,0,1,37.312533850315134
35,16,16,1,0,0,27.748513564855045
18,28,5,1,1,1,29.207935161389067
31,18,7,1,1,0,26.95308077712181
41,17,11,1,0,0,24.254853617864956
16,24,13,0,0,0,29.29774091037025
22,28,12,1,1,0,21.777035596130684
32,13,16,0,1,0,30.68957592222054
41,28,12,0,1,1,23.385790156385905
43,26,8,1,1,1,23.15788177404556
18,17,10,1,0,0,29.52007669948327
24,29,12,1,0,0,22.271581499570544
21,10,11,1,1,0,36.14901829449424
39,16,8,1,0,0,26.623403747230352
38,14,8,1,1,1,32.75823328572957
8,30,7,1,1,1,31.670882946082912
24,26,11,1,0,1,30.833077165041004
29,22,12,1,0,0,25.37568042901217
23,4,10,1,1,1,44.57547879235084
20,23,11,1,0,1,33.042086576461685
8,12,12,0,1,1,44.111431405462426
14,14,9,1,1,1,41.23819513895623
32,19,4,1,0,0,25.43491759156089
24,21,10,1,1,0,27.15798740507716
25,32,13,1,1,0,17.32030786613472
44,9,1,0,1,1,36.4489334104936
35,15,9,0,0,1,34.08773282793999
31,21,13,0,1,1,30.73844646800054
38,16,8,1,1,1,35.11762795600433
39,20,15,0,0,0,24.088800085389707
33,26,12,1,0,1,25.46205264952091
20,16,6,0,0,1,38.41424250988152
15,20,14,1,1,1,36.79258343662344
36,19,10,1,1,0,23.721695523507268
29,15,9,1,1,1,36.92115105210539
32,21,6,1,0,0,23.865550570430244
19,19,10,1,1,0,28.71446725793548
37,15,10,0,1,1,34.07449917866998
46,11,8,1,1,0,26.297464617205808
21,16,12,0,0,1,37.82446248951114
28,28,5,1,1,1,27.463154045988087
37,25,4,1,1,1,24.657095995438866
32,31,11,0,0,0,18.40197792517589
16,34,5,1,1,1,24.27137504547691
51,23,10,0,1,0,17.655521734452808
28,21,5,0,1,1,30.91435121308701
35,25,7,0,1,1,25.766393943347563
20,22,12,0,1,1,34.732416741842364
30,11,6,1,1,1,38.11031909050049
33,12,14,0,0,0,29.255605619029808
31,14,5,1,0,0,29.551599202366063
31,20,10,1,1,1,32.70298614825626
27,31,6,0,1,0,15.958629743781534
35,28,9,1,0,1,24.039798143161303
24,26,12,1,0,1,28.12380326747478
