age,education_years,income_level,registered_voter,political_affiliation,urban_resident,voter_education_program,voting_rate
28,20,5,0,0,0,1,75.55876679146056
18,16,3,0,1,0,0,65.711991557041
32,23,3,0,0,1,0,66.51864177254737
12,24,4,0,1,1,1,65.63210695837586
25,15,4,1,0,0,0,65.51130235188366
20,16,5,0,1,1,0,63.84029937365626
5,22,7,0,0,0,1,64.25580838397607
16,20,6,0,0,0,1,69.35094454833772
23,24,9,0,0,1,0,65.98249197409662
30,25,6,0,0,1,0,66.58519176358722
30,18,3,1,0,0,0,67.47270118622465
23,18,8,0,1,0,0,66.02744124816442
27,20,9,0,1,1,1,76.13374691328029
17,22,7,1,1,0,0,63.04813501388338
32,30,6,0,1,0,0,68.89531004148155
16,24,8,0,0,1,1,69.81569078891505
18,24,6,0,1,0,1,71.32335798207889
27,23,6,1,0,0,1,73.43410013292734
9,23,5,1,0,1,0,59.65111147762661
26,18,2,1,1,0,1,72.7649937149213
28,21,3,0,0,0,0,65.59278188217263
25,29,7,0,0,0,0,63.64085302691338
0,17,7,0,0,1,0,55.02212782544416
8,22,6,1,0,1,1,65.6719419496313
43,20,8,0,0,0,0,74.2170064256923
20,23,8,0,0,0,1,69.74307399265801
23,24,9,0,0,1,1,71.70803004246298
36,20,8,0,0,0,0,70.40431626907142
20,25,5,1,0,1,1,69.67314796516912
36,24,8,0,1,0,0,72.80305801929042
23,18,5,0,0,0,1,68.46695545267202
22,28,7,1,1,0,0,64.67086654049122
12,17,4,0,0,0,1,66.21243853974732
31,24,3,0,0,1,1,73.70136042117564
23,21,6,1,0,0,0,63.29721759681578
12,18,6,0,1,0,0,60.25019198613504
37,18,6,0,0,0,0,67.94629574708041
21,25,5,1,0,0,1,70.7279143704599
38,20,4,0,1,0,0,71.11496469274783
36,26,6,1,0,1,1,74.70227897582342
31,22,7,0,1,0,0,68.26220107351342
23,31,5,0,1,0,0,65.20298558749326
28,31,5,0,1,0,1,74.8796353652315
22,22,4,0,1,1,0,64.62224640235996
24,25,7,0,1,0,1,73.12699661191391
46,22,4,1,1,0,1,81.7238609082806
10,22,9,0,0,1,1,67.46418461308923
32,22,6,0,0,0,0,70.28222881060607
27,23,7,0,0,0,0,67.06223405659553
30,23,9,0,0,1,1,73.70049206144753
24,31,6,0,0,1,0,65.01550281085747
18,23,0,0,0,0,0,62.06717816769201
8,21,5,1,0,1,0,58.80963901139524
19,25,6,1,1,1,0,63.549697957278006
26,30,5,0,1,1,1,74.58081292069747
11,28,7,0,0,0,0,59.558865557253455
15,27,3,0,0,0,0,60.28423730186765
12,24,5,0,0,0,1,67.36840482110128
28,26,8,0,0,1,0,67.5395230876789
13,25,6,0,0,0,1,67.52860733657384
14,22,8,1,0,1,0,62.62805032235124
22,14,9,1,0,0,0,64.73899527889098
19,22,6,0,0,1,1,68.34630475106019
30,17,6,1,0,0,0,67.45905240959961
30,25,10,1,0,0,1,74.2737443638958
21,20,5,0,0,1,1,69.02076250225122
18,16,6,0,0,1,0,62.92614413057707
15,31,3,0,0,1,1,68.08198127414748
25,23,11,0,0,0,1,73.2921545516894
13,29,7,1,1,1,0,61.5089748864075
20,21,6,0,1,1,0,64.77941187691978
17,24,7,0,1,0,1,69.32392533838092
30,25,2,1,1,1,0,67.5961668301749
30,26,3,0,0,0,1,71.66359268329643
15,24,5,0,1,0,1,67.96160723880188
31,23,4,0,0,1,1,74.97386029708196
1,18,5,1,0,0,0,54.5114713931668
24,25,7,0,0,1,1,71.72127042784443
42,33,8,1,0,0,1,78.1923243033313
32,22,9,1,0,0,0,68.48008378997872
25,27,3,0,1,1,0,64.97205768215683
44,27,3,1,0,1,0,73.88955684798681
32,24,3,0,0,1,0,69.01023651517528
29,14,8,0,0,1,0,68.51728337848952
32,26,6,1,1,0,1,76.925171904874
17,9,4,0,0,0,1,68.90191992565548
33,24,2,1,0,0,0,67.33368548305587
27,23,4,1,0,0,0,66.68529776289088
11,21,3,1,0,0,1,66.47884659510666
27,25,3,0,1,0,1,73.15649259727466
24,25,4,0,0,0,0,65.06528974245488
26,24,7,0,1,1,1,75.64866189591514
37,23,4,0,1,0,0,69.93801464976686
20,31,4,1,0,1,1,70.2066630907316
18,25,6,0,1,0,0,63.52852229550849
21,30,4,0,0,1,0,64.18259177335781
18,23,9,0,1,1,0,63.665746863029625
12,23,5,0,1,0,0,60.48733722645435
6,26,5,1,0,0,0,57.94564036414633
19,24,7,1,0,1,0,63.34312620852543
30,21,3,0,1,1,1,74.65816738041258
26,21,9,1,1,0,1,74.15004923431047
13,23,2,0,0,1,0,59.05194941097533
17,22,3,1,0,0,0,61.052807437354126
6,19,7,1,0,1,1,65.13812278956911
8,23,5,1,0,0,0,56.74795381772479
12,28,7,1,0,0,0,59.487255974863245
21,23,4,0,1,1,1,71.16469457365224
35,26,6,0,0,0,0,69.66434738685078
21,22,6,1,0,0,1,69.13445424408694
17,24,6,1,1,1,1,69.7266787071117
12,26,4,1,1,0,0,59.875116134340296
25,29,1,0,0,0,0,64.76437679912162
47,27,5,0,0,0,0,73.93962517634459
-8,34,9,0,1,0,1,59.52281411766791
8,21,4,1,1,0,0,58.960008374392
20,29,3,0,0,1,0,62.85818621240754
16,19,9,0,0,0,1,68.59465723271926
27,24,6,0,1,0,1,74.02928172853835
21,17,7,0,0,0,1,71.49013635714138
17,22,7,1,0,0,1,70.31526467119687
16,23,5,0,0,1,1,68.25074761141234
28,20,9,0,0,0,0,67.84828826663755
38,31,5,0,1,1,0,72.23888417251167
18,20,3,1,0,0,1,68.80622469884749
4,26,2,1,1,1,0,55.72395101874706
32,26,8,0,1,1,0,68.67494732034346
28,25,7,0,1,0,0,66.5063585181458
18,24,6,1,1,1,1,71.47860479211502
23,23,5,0,1,0,0,65.46836204623709
20,23,2,0,0,0,1,70.16621684011064
22,19,7,0,0,1,1,70.66072053832006
21,28,5,1,0,0,0,64.01336331276212
17,14,2,1,1,0,1,69.37721459338329
37,25,6,1,1,0,0,70.1966694788057
8,22,5,0,0,1,0,57.96967334765292
19,27,5,1,1,0,0,61.74434920559898
13,23,5,0,0,0,1,66.24870850644209
26,26,8,0,0,0,1,73.88108907938646
2,28,4,0,0,1,0,57.3338460608603
30,30,9,1,0,1,1,74.23517771280282
28,17,7,0,0,0,1,74.55186641062316
39,19,3,0,0,0,1,76.97566754391161
29,30,8,0,0,0,0,67.12119609970372
19,26,6,0,1,0,1,69.85501850973829
26,17,6,1,1,0,0,67.57745970660316
19,28,5,0,1,0,0,63.867599779672695
-1,22,5,1,0,1,0,54.383717029688114
16,28,2,1,1,0,1,69.5865170622279
41,26,5,0,0,1,0,74.21886773311319
33,29,7,1,0,0,0,68.56553760831034
39,22,7,0,0,1,0,71.85066878578904
31,23,6,1,0,0,0,69.5344816692751
27,18,7,0,0,0,0,65.60484760884101
36,22,8,1,0,1,0,70.09978805372765
18,26,12,0,1,0,0,63.77355375703032
30,20,7,0,1,1,1,73.83419023078673
5,20,9,0,1,0,1,65.7858598429752
13,27,3,0,1,0,1,68.93007119043969
22,20,9,0,1,0,0,63.432728794607534
32,30,8,0,0,0,0,68.80710435697796
24,18,2,1,1,1,1,72.35744774773453
8,21,8,1,0,0,0,59.84065659366336
35,19,4,0,0,0,1,74.65478129869233
12,24,12,1,0,1,1,67.0355540466628
13,23,4,1,1,1,0,62.45616865726521
26,24,3,1,0,1,0,66.52726412414066
28,24,9,0,1,0,1,72.53021509177731
29,26,3,1,0,0,0,67.76776452434856
24,17,8,0,0,0,1,71.71799706480404
22,21,7,1,0,1,1,70.46946271568284
30,26,8,1,1,1,1,76.54033735454433
16,24,4,1,0,1,0,62.63357850853297
27,16,5,1,0,0,1,72.66160625438314
27,21,8,0,0,1,0,66.15442836365843
10,25,4,0,0,0,1,65.44853235880223
20,22,9,0,0,0,1,69.30783746333442
27,26,7,0,0,1,0,67.02061652564133
15,23,3,0,0,0,1,67.4859814088386
20,19,4,0,0,0,1,71.12924347659312
27,24,8,0,0,0,0,67.558172028252
30,29,10,1,0,0,1,74.40324850771593
21,18,5,1,1,0,1,69.82608398938137
21,30,5,0,1,0,1,70.89201163555227
33,26,7,1,0,0,0,68.66859127430787
26,24,5,0,0,0,1,71.94072805106657
19,22,8,0,0,1,1,71.31722691419111
9,19,5,0,1,1,1,67.8889983648955
34,25,7,0,1,1,0,70.71758177430881
18,24,5,0,1,0,0,62.64054568682711
9,21,5,1,0,0,0,59.36537034942318
31,28,1,0,1,0,1,72.72076221768049
39,26,5,0,0,1,1,76.34238118927934
29,14,7,0,1,0,1,73.84182472475504
16,27,3,0,1,1,0,60.24968331689556
32,25,5,1,1,1,1,76.7355955920116
26,22,7,1,1,1,0,65.89000594568559
20,23,1,0,0,0,0,62.31111009766573
33,21,4,1,1,0,0,68.07071309015463
6,20,4,1,0,1,1,64.15998012127254
23,21,6,1,0,0,0,65.49694366619678
24,29,3,1,0,0,0,64.80642991726052
33,20,8,1,1,1,0,71.00123104516227
35,27,5,0,1,0,1,76.51481196797718
10,20,2,0,1,0,1,66.74152173643132
26,22,8,1,0,0,0,67.0084313464525
15,28,2,0,1,0,0,60.8352079053502
23,21,6,0,1,1,0,66.75328589952416
44,27,8,1,0,0,0,75.3014079949652
23,23,6,0,0,1,1,73.84696641678593
7,27,5,0,0,1,1,65.51239164701971
22,20,8,0,0,1,0,63.59902900512208
24,24,3,0,1,0,0,65.62712656641972
31,27,3,0,1,1,1,75.83845165681416
29,29,6,1,0,0,1,73.07387892582564
33,18,7,1,1,0,0,69.18889206123451
14,19,4,0,0,0,1,67.6663228186525
22,25,1,1,0,0,1,70.03080573291369
11,14,8,0,0,0,0,59.00266586795872
26,27,5,1,1,0,0,67.87761652568277
20,20,3,0,0,0,1,67.82867338428788
30,23,1,0,0,0,1,72.62133061093604
17,20,6,1,0,0,0,60.81387196828142
44,23,8,0,1,0,1,82.86559422447633
34,23,5,0,0,1,1,75.77247749582686
30,24,8,0,1,0,0,69.23983010784085
8,31,5,1,1,1,0,59.46749336066357
25,25,8,0,0,1,1,71.29442916451413
18,22,5,1,0,1,0,60.23164198012195
2,29,5,1,0,0,0,56.80914136315869
26,24,7,0,0,0,0,67.08240000634791
24,22,7,0,0,0,0,67.64667382161431
13,22,5,0,1,1,1,68.54733150674902
34,24,7,0,0,0,0,69.59598843655345
13,31,3,1,0,1,0,60.084755554729135
11,24,2,0,0,0,1,65.33716759780461
29,26,6,1,0,1,0,66.09529806196737
19,25,3,0,1,0,1,72.55126213470895
33,28,3,1,0,0,1,75.73708694810341
34,25,5,0,0,0,1,75.50727720839355
30,23,7,0,0,1,0,67.80968574123736
32,26,5,0,0,0,1,72.9263556217566
19,28,5,0,0,1,0,62.63088925798246
22,32,6,0,1,1,1,70.80548929176847
24,24,5,0,0,0,0,65.85281237630733
10,25,5,0,0,1,1,63.64037875058439
13,24,6,0,0,0,1,67.85948783725861
45,26,6,0,0,1,1,81.04444236815021
29,20,6,0,0,1,1,72.78489680614423
25,24,4,0,0,1,0,65.08235969328986
18,26,9,0,0,1,1,71.0254876880304
18,24,3,0,1,1,1,70.29605260703705
15,21,6,0,0,0,1,67.74324430839123
13,22,6,0,1,0,1,66.9218400883816
19,23,4,1,0,0,1,69.96692495635969
26,26,6,0,0,0,1,72.64692396637395
34,27,5,0,0,1,0,69.78985824478967
14,28,9,0,1,1,0,62.56833351976309
28,28,4,0,1,1,1,73.10621877497246
30,26,3,0,0,0,1,74.03715900438411
38,15,7,0,0,1,1,78.87917676555722
30,24,3,0,0,1,1,75.68769870641795
26,21,4,0,0,0,1,71.55528256035726
6,17,6,0,1,0,1,67.05942462941434
28,20,6,1,0,1,0,66.41218671024704
28,21,4,1,1,0,1,74.71784652213333
27,21,5,0,0,1,1,74.36396878363585
34,26,3,0,1,1,1,75.64573676795241
17,23,6,0,0,1,0,64.06444942111199
29,29,5,0,0,1,0,66.33876215120756
20,17,3,1,1,0,0,64.93601119298911
16,19,3,0,1,1,1,68.62431478753074
46,22,5,1,0,1,0,73.66275752960095
39,31,7,0,0,0,1,78.75282732597479
20,29,4,0,0,0,1,70.67738648609254
30,21,3,1,0,0,0,65.73073237066687
16,25,9,1,1,0,1,70.92671502917932
39,21,5,1,0,1,1,79.31375467386555
35,27,4,0,1,0,0,70.29814927215617
30,26,5,0,0,1,0,68.33799523174092
30,20,5,1,0,0,1,73.72952707834307
29,26,7,0,1,1,0,68.20463909853358
23,17,5,0,1,0,1,70.86020442899087
26,26,3,1,1,1,1,72.32589017157977
14,21,4,0,0,0,1,67.3964069074312
26,23,6,0,0,0,1,71.92423096040633
29,27,8,0,0,1,0,68.58105294810943
22,22,3,0,1,0,1,73.50198879380233
21,19,2,0,0,0,0,65.75194536052173
6,29,7,0,0,1,1,64.39734914104612
22,28,4,1,0,1,1,69.84874909519017
31,34,9,0,0,0,0,69.04887203716713
32,26,7,0,0,0,1,75.961667457433
41,27,7,0,0,1,1,78.05648892823325
16,21,6,0,1,0,1,68.78191149910468
35,26,5,0,0,0,0,69.02930513571296
27,17,7,0,0,0,0,65.32859139713443
21,26,6,1,1,0,1,72.67908997434849
32,22,7,1,0,0,0,68.00337357393984
39,23,6,1,1,1,1,79.65498791004136
39,21,9,0,0,1,0,72.9356545869579
29,17,8,0,0,0,0,65.59460737955244
30,27,4,0,0,0,0,66.89132192196098
9,28,6,0,1,0,1,65.73826091087764
15,22,8,0,1,0,0,63.542034029624496
36,26,8,1,0,1,0,69.04384350815982
5,24,7,1,1,0,0,57.70960508116825
33,25,7,0,1,0,0,68.23265470589129
28,24,7,1,0,0,1,72.58272450632555
29,15,6,0,1,0,1,74.14271544024223
29,19,9,0,0,0,0,66.98097977458175
21,28,3,0,1,1,1,70.74598135616515
18,23,6,1,0,0,1,68.79756764931462
18,25,6,0,1,0,1,68.1885051549803
21,23,4,1,1,0,0,63.35358722623361
32,21,5,1,1,1,1,75.63360583326354
27,28,3,1,0,1,1,73.44362585577306
37,23,7,0,0,0,1,77.38303285571986
32,21,5,0,0,1,0,68.69315384795252
26,20,3,0,1,0,0,64.67733259757716
20,23,3,1,0,1,1,69.56573589775239
25,24,10,1,1,0,0,66.45373795652256
19,18,4,1,1,0,0,62.977126296333374
15,22,11,0,0,0,0,61.6225547038288
19,25,3,0,0,0,0,61.8043063233061
0,20,8,1,1,0,1,63.49905358436705
21,24,7,0,0,0,0,63.24930938772968
12,24,5,0,1,0,1,67.3012065490295
24,26,7,0,1,0,0,64.67146973938927
36,25,7,0,1,0,0,70.99782078694585
23,21,7,0,0,0,0,65.26416166168018
11,19,8,1,0,0,0,60.07496865783544
33,19,9,1,1,0,1,76.92855185968244
13,30,6,1,1,0,1,68.09428748416546
32,24,6,0,0,1,0,67.57969028460207
32,23,12,0,1,0,0,70.04422820969285
40,25,4,0,0,0,1,77.6103264407585
28,14,7,1,0,0,1,74.32335684574876
34,29,5,0,0,0,0,69.23774849110455
26,24,5,1,1,0,1,74.52647390137375
18,23,5,0,0,0,1,68.81966589201623
12,30,4,0,1,0,0,61.15168430784048
25,25,7,0,0,0,1,69.70872481220059
23,22,8,1,1,1,0,66.46857525079544
14,24,7,1,1,0,1,68.26576727579557
36,18,6,0,0,0,1,79.54914959813436
29,22,2,1,1,0,0,68.11803718196116
32,27,7,1,0,1,1,76.34259569666595
20,25,2,1,0,0,1,70.68980278373677
36,25,8,1,1,1,1,78.68689685281527
38,26,0,1,1,1,0,73.5496662254434
48,23,1,0,0,0,1,80.04294472454983
35,20,8,0,1,0,1,77.16972320492602
24,25,5,0,0,0,1,70.6022086642728
38,25,1,0,0,1,0,71.32632833568641
11,24,8,0,0,1,0,59.95491094407692
25,23,4,0,1,0,0,66.9385977908548
29,25,3,0,0,1,0,66.90161485009189
22,22,7,1,0,1,0,66.62941504013304
13,22,8,1,0,0,1,68.27612383923709
22,23,5,1,0,1,0,64.36740019785896
9,24,6,0,0,0,0,58.20214030595072
26,20,5,0,0,1,0,65.9385742849052
36,23,3,1,0,0,1,76.58184955889321
13,25,7,0,1,0,1,69.04375107227887
6,23,6,1,0,0,1,63.74834106911733
33,23,9,0,0,1,1,75.71233238349011
38,26,6,0,1,1,0,72.3797210366365
