education_years,political_interest,civic_participation_score,registered_voter,prior_voting_history,campaign_invitation,campaign_participation,political_knowledge_score
1,3,1,1,0,1,0,50.3013850563823
1,2,0,1,1,0,1,56.32841323114394
4,3,-1,1,0,0,0,49.542582848884045
5,2,0,1,1,1,1,55.85119640372006
7,3,0,0,0,1,1,56.11584602515856
5,3,0,1,1,0,1,55.43286206827408
2,2,0,0,1,0,0,50.10720225333608
3,2,0,1,0,1,0,51.8858587952446
6,2,0,1,1,1,1,55.91164656680238
5,3,0,1,0,0,1,57.08065810268355
9,3,0,0,1,1,1,56.41756914275992
8,2,0,1,1,1,1,57.16690064777928
2,3,0,1,1,1,1,55.56327248757787
8,2,-1,1,0,1,1,55.84777309453126
6,2,0,0,1,1,1,56.44185884024522
3,3,0,1,1,0,0,49.670711538307145
3,3,0,1,1,1,1,56.10695802861764
4,2,0,0,1,1,1,57.256618423874166
0,3,0,1,1,1,0,46.73624174438951
0,2,0,1,1,1,0,49.54909746586115
3,2,0,0,0,1,0,51.58983858505143
5,2,0,0,1,0,1,56.24542883296642
2,2,0,1,1,1,1,54.68622879086209
2,2,0,0,1,1,0,48.42961689770164
4,3,0,1,1,1,1,55.79242262672263
0,3,0,1,1,1,0,49.73323696655273
5,3,0,1,1,0,1,54.1685749336368
2,3,0,1,1,1,0,49.45737175893133
2,3,0,1,1,0,0,49.48568608944433
2,2,0,0,1,0,0,50.55013609442041
5,2,0,1,1,0,1,54.74585123814279
6,2,0,0,0,0,1,57.47993442297916
4,3,0,0,1,0,0,51.68059140401616
7,3,0,1,1,1,1,57.01857849673903
3,2,0,1,1,1,0,50.23698283957673
1,2,0,0,1,1,0,50.38222301549854
7,3,0,0,1,1,1,58.599159718798376
5,2,0,1,0,0,1,55.64202182040989
3,4,0,0,1,1,1,57.26570839430666
2,2,0,1,1,1,0,49.327340223800455
2,3,0,0,0,0,0,50.447048255577
2,3,0,0,1,1,0,49.85305752304244
2,2,0,0,1,1,0,50.40496687774816
2,2,0,1,1,0,1,56.16536949600096
-2,4,0,1,1,1,0,48.9951333090451
0,2,0,1,1,0,0,48.89358192764681
4,3,0,0,0,0,0,51.75039371669261
7,2,0,1,0,1,1,55.44198898797981
6,3,0,1,1,1,1,56.24094925304297
4,3,0,1,1,1,0,49.68404351360822
2,2,0,1,1,0,0,48.29435187095352
3,3,0,1,0,0,0,48.42004292501265
8,2,0,0,1,0,1,56.10851625260688
6,3,0,1,1,0,1,54.44824367900158
-2,2,0,1,1,1,0,50.57679090126933
4,3,0,1,1,1,1,54.04659408640191
4,3,0,1,1,1,1,55.46742602281047
3,3,-1,1,1,1,1,54.08601633426419
4,2,1,0,1,1,0,49.58613467516064
2,3,1,1,1,1,0,47.75767970550019
2,3,0,1,1,1,1,55.03432397060365
3,3,0,0,1,1,1,54.08119541285171
0,4,0,1,1,1,0,49.2503850946452
4,2,0,1,1,0,1,55.18173646598012
3,2,-1,1,1,1,1,57.55190821242105
2,2,0,1,0,1,0,50.711000502649455
6,2,0,1,1,1,1,54.66441803855798
1,3,0,0,0,1,0,50.08609492435634
1,2,0,1,1,0,0,50.10567875940742
4,2,0,0,1,1,1,56.79766089479864
3,3,0,1,0,0,0,49.57891223629136
3,3,0,1,1,0,0,48.805713356809534
7,3,1,0,0,1,1,56.95310589769865
4,2,0,1,0,1,1,55.2700631397141
3,3,0,1,1,1,1,57.78304863775879
2,2,0,1,0,1,0,48.95671874295559
7,3,0,0,0,0,1,55.80436227733098
2,3,0,1,1,1,1,55.85872060243434
7,3,0,1,0,1,1,54.83011238917418
1,2,0,1,1,1,0,48.40136291819373
0,3,1,1,1,1,0,48.88547990206381
3,3,0,1,1,1,0,49.73980080244254
1,3,1,0,1,0,0,48.95855328092668
0,2,0,0,1,0,0,48.83272802066405
5,2,0,0,1,1,1,57.234184338065326
5,2,0,0,1,1,0,50.82306429794558
4,2,0,0,1,1,0,51.524294107535816
5,2,0,1,1,1,1,56.18498553611137
0,2,0,1,1,1,0,49.584615749180266
3,2,0,1,0,0,0,49.14647747094696
2,3,0,1,0,1,0,49.382852714820096
8,3,0,0,1,1,1,56.74451627527967
7,3,0,1,1,1,1,54.76384866615577
4,2,0,1,1,1,0,51.39069946840476
4,2,0,0,1,1,1,57.3986676312956
4,2,0,1,1,0,1,57.463409532683805
5,3,0,1,1,1,1,54.56905009222368
5,2,0,1,1,1,0,48.11369004026216
0,3,0,1,1,1,0,48.934883611613095
6,3,0,0,0,0,1,57.72599410809748
0,2,0,1,1,1,0,49.19592062604415
4,2,0,0,1,1,0,51.84613913089958
5,2,0,0,0,1,1,55.8360487681965
0,2,0,0,0,1,0,50.29965629152645
4,3,-1,0,0,1,1,55.288812780221946
3,3,0,1,1,1,1,54.88720348074937
1,3,0,0,0,0,0,48.72724816512019
1,3,0,1,1,0,0,49.92147167518853
6,3,0,1,0,0,0,52.18422074065042
6,3,0,1,1,1,1,54.56325297263312
4,2,0,0,1,1,1,56.48534482185153
4,2,0,1,1,1,1,56.23740538742912
2,2,0,1,1,0,1,56.19631990910291
4,2,1,0,0,1,1,55.745717882195606
4,4,0,1,0,0,0,49.33231630917429
-2,1,0,1,0,1,0,48.42273937640103
3,1,0,1,1,1,1,55.539326316157634
2,2,0,0,1,1,1,56.17373520190623
4,3,0,0,1,1,1,56.99832786229865
5,3,0,1,1,1,1,54.85422789565804
2,3,0,1,1,1,0,49.80577847954721
4,2,0,0,0,1,1,55.40248743661435
4,1,-1,1,1,1,1,56.70734289164511
5,2,0,1,1,0,1,55.18646652223323
3,2,0,1,0,0,0,49.57917312394526
3,4,0,1,1,1,1,55.35069382104195
5,3,0,1,1,0,1,56.54454552341183
7,2,1,0,1,0,1,56.15486763866478
4,3,0,0,1,0,0,50.01515903930989
3,2,0,0,1,0,0,51.219967119105306
4,2,0,1,1,1,1,56.71577573359515
2,3,0,1,1,0,0,49.93590091902677
0,2,0,1,0,0,0,49.62677380175503
4,2,0,0,1,1,1,55.844632381772406
0,2,1,1,1,1,0,47.739333522470126
2,2,0,1,0,0,0,51.20001657126859
5,3,0,1,0,1,1,56.50619790740046
5,3,0,1,1,0,1,55.50132139574059
5,3,0,1,0,0,0,50.75612983113111
2,3,0,0,1,0,0,49.205743984854
4,2,0,1,0,1,1,54.826722071618846
5,2,0,1,0,0,1,57.81826547277805
3,4,0,1,1,1,1,55.498699789924885
4,3,0,0,1,1,1,54.97021552784977
5,2,0,0,0,1,0,51.51766745654973
2,3,0,1,0,1,0,48.78470252002232
4,2,0,0,1,1,0,50.503448827117445
3,2,0,0,0,1,0,51.40232659161986
5,3,0,1,1,1,1,55.1466792139003
7,2,0,0,1,1,1,57.6549687023305
3,3,0,1,1,1,0,49.456196666098585
4,3,0,1,1,0,1,55.567665197486015
2,3,0,0,1,1,0,49.791476157561625
4,2,0,1,1,1,1,54.947522081969616
0,3,0,1,1,1,0,49.28241756543466
7,3,0,1,1,1,1,56.4935543791813
0,2,0,1,1,1,0,50.53596011459122
2,2,0,1,0,1,0,51.1289302921072
3,2,0,0,1,0,0,50.04969030041515
6,2,0,0,0,0,1,55.31215351148845
5,2,0,1,1,0,1,55.6755721589391
5,3,0,1,1,0,0,48.74453748354462
3,2,1,0,1,1,1,55.7066875723994
5,2,0,1,1,1,1,54.208487019675566
4,4,0,1,0,1,1,55.83699951889657
4,3,0,1,1,0,0,49.115422358604725
1,2,0,0,1,1,0,50.55369196947331
3,2,0,0,1,1,0,50.80144959372053
3,4,0,1,1,0,0,50.32499990034413
6,3,0,1,0,1,1,55.9086530228309
2,2,0,1,0,1,0,51.759789172943066
2,3,0,1,1,1,0,51.13435690994988
3,3,0,0,1,1,0,51.14721331988888
4,3,1,0,1,0,1,56.85632973922888
5,3,0,1,1,1,1,54.96737091160563
6,2,0,1,1,1,1,54.15971571779652
5,2,0,1,0,0,0,50.41099527282534
3,1,0,1,1,1,0,50.0376728667405
2,3,0,0,1,0,0,51.2186460122971
5,2,0,0,0,1,1,56.92577512410951
1,2,0,1,1,1,1,56.751344716537474
0,2,1,1,0,0,0,49.47955187489031
1,3,0,0,1,0,0,49.99919377055112
6,2,1,1,1,1,1,57.48804218125
3,3,0,1,0,0,0,48.76270732265142
4,2,0,1,0,1,1,56.079716130318026
5,3,0,1,1,1,1,56.00270098775568
6,3,0,0,1,1,1,55.39847649701991
4,3,0,1,1,1,0,49.15045552956836
4,2,0,0,1,1,1,57.1684743036387
5,2,0,1,1,0,1,54.96924717519192
4,1,0,1,1,1,1,55.66760654021678
5,3,0,0,1,0,0,50.2123662905693
0,3,0,1,1,1,0,47.15086163195448
5,3,0,1,1,1,1,57.32390076300189
4,3,0,1,1,1,0,49.381766968191805
5,3,1,1,1,0,1,55.49712232480433
1,3,0,1,1,1,1,55.21790098557258
6,3,0,1,1,1,1,55.80259722045837
2,3,0,1,1,1,0,48.29516063660135
6,1,0,1,1,1,1,55.67992354489279
4,3,0,0,0,1,0,51.13339189564179
1,2,0,1,1,1,0,49.09665413191071
1,3,0,0,1,1,1,55.0757098548248
4,2,0,1,1,1,0,49.071806101850825
4,2,0,1,1,0,1,55.22407183059229
5,2,0,0,1,0,1,57.19168707421403
8,3,0,1,1,1,1,56.460659511617855
3,3,0,1,1,1,0,49.113865576978725
5,3,0,0,0,0,1,55.294053264301645
2,4,0,0,0,1,0,49.17416591298688
6,2,1,0,1,1,1,55.76984934584726
3,3,0,1,0,1,0,49.96413373648596
2,2,0,1,0,0,0,51.999508866930135
1,2,1,1,1,0,0,49.03003697757352
4,2,0,1,1,0,1,56.41226627297913
2,3,0,1,1,1,1,55.56297299642527
7,2,0,1,0,1,1,56.560891564333055
2,2,0,1,1,1,1,55.4664265729185
2,3,0,0,1,0,1,56.39817794338117
1,2,0,1,0,1,0,49.32808998937837
6,3,0,0,1,1,1,57.52624834715841
5,1,0,1,1,1,1,55.43040800027717
7,3,0,1,1,1,1,56.81505492496077
2,2,0,1,0,1,0,51.0097099579309
2,2,0,0,1,1,0,50.26779642323432
4,3,0,1,0,1,0,51.21243672636083
2,3,0,0,1,1,0,50.72497062111477
4,3,0,1,1,1,0,49.47498635122493
4,3,0,1,1,1,1,56.02940386985407
5,3,0,1,1,1,1,55.23289455049184
7,3,1,0,1,1,1,57.98653103235311
3,4,0,0,1,0,0,51.14643964185702
6,2,0,0,0,0,1,57.06258387871336
3,2,-1,1,1,1,1,56.02065646564442
4,3,0,0,1,1,1,57.37642838715461
4,3,0,1,0,0,1,54.03192738130193
5,2,0,1,1,1,1,54.68236582662544
1,2,0,0,1,1,0,50.22649042786747
2,3,0,1,1,1,0,49.69300270018355
1,3,0,1,0,1,0,48.38861775143787
5,2,0,1,1,0,1,55.0861292704156
3,3,0,0,1,1,0,51.28608256955058
6,3,0,1,1,0,1,56.28075021805928
2,3,0,1,0,1,0,50.63665093862535
4,2,0,0,1,1,1,55.65097513638495
5,3,0,1,1,1,1,55.71177728508795
2,3,0,1,1,1,1,53.76906047937024
6,2,1,1,0,1,0,49.73087965661776
0,3,1,1,1,0,0,49.316683648779566
1,2,0,1,1,1,0,49.44924045481009
3,3,0,0,1,0,1,55.654522197077554
1,2,0,1,1,1,1,55.0287583417265
3,3,0,1,1,0,1,56.45810320603289
-2,3,0,1,0,1,0,49.19849882274888
2,3,0,0,1,1,0,49.03658494023806
5,3,0,0,1,0,1,54.97903440243333
4,2,0,1,1,1,1,56.47831397793173
5,2,0,1,1,0,1,55.77571653940876
9,3,0,0,1,1,1,56.45258498884128
3,3,0,0,0,1,0,51.02184818416653
4,2,0,0,1,1,0,49.48792021529276
7,2,0,1,0,1,1,57.20168549989497
3,3,0,1,0,1,0,50.776473021145335
2,2,0,0,1,1,0,50.85568234233498
6,2,0,0,1,1,1,55.34347316413789
4,3,1,1,0,1,1,56.94570849021692
3,2,0,0,1,0,0,47.177200329018014
4,2,0,1,1,1,1,56.053675325412826
1,3,0,1,0,0,0,50.15032618568814
0,2,1,1,1,1,0,48.55512259446803
1,3,0,1,0,1,0,50.66552740771093
5,3,0,0,1,1,1,56.346027098142784
5,3,-1,1,0,1,1,55.36332459701908
5,3,0,0,0,1,1,54.733593658959286
3,2,0,1,0,1,0,49.806889115603454
4,4,0,1,0,1,0,48.87904190172703
3,2,0,1,1,1,1,54.545074506472936
4,2,1,1,0,1,0,49.663550025448
5,2,0,1,0,0,1,56.73346139987599
3,1,1,1,1,1,0,49.69947936255524
4,3,0,1,1,0,1,52.76973327105609
6,2,0,1,0,1,1,58.195070818787805
6,2,0,1,0,0,1,56.21343607728322
6,3,0,1,1,1,1,55.55622150525869
0,3,0,1,0,1,0,50.56900270401063
4,1,0,1,1,0,1,56.6051578286482
2,2,0,0,1,1,0,49.16683182708319
11,2,0,1,0,1,1,56.11814761754959
4,2,0,1,1,1,1,54.189134482355385
2,2,0,0,0,1,0,49.80543849450746
3,3,0,1,0,1,0,49.47748567536063
-3,2,0,1,1,0,0,48.028783101308704
0,1,0,1,1,1,0,48.556904595465696
3,2,0,1,0,1,1,57.97518077545459
4,2,0,0,1,1,0,49.331732223227874
1,3,0,1,1,1,1,55.460894844925726
4,3,0,1,0,1,0,49.89374583177133
4,2,0,0,1,0,1,57.20507184576136
1,3,0,1,1,0,0,50.832803144045045
5,2,0,1,0,0,0,50.629839639724544
3,3,0,1,1,1,1,53.09361064434698
7,2,0,1,0,1,0,49.39855987295116
3,3,1,1,1,1,1,54.64919874585284
3,2,0,1,1,1,1,55.014530435712366
9,3,1,1,1,1,1,55.78852173547825
0,3,0,1,1,1,0,48.65636791579299
3,2,0,0,0,1,0,49.60162992662652
3,2,0,1,1,0,0,49.2565707779092
2,2,0,1,1,1,0,47.90021772242508
6,2,0,0,1,1,1,57.37429664216452
6,2,0,0,1,1,1,56.150068604801774
3,3,0,1,0,1,0,49.69007134338612
4,2,1,0,0,0,0,49.72893726065248
3,2,0,1,0,1,1,56.39735502014302
6,3,0,1,1,1,1,56.26181108855738
5,3,0,1,0,1,1,56.14663665287026
1,2,0,0,1,1,0,48.69774699573605
7,3,0,1,1,1,1,54.89057396474517
2,1,1,0,1,1,0,49.925020442066185
4,2,1,1,0,1,1,56.286395122856845
5,1,0,0,1,1,1,58.98264867908208
1,4,0,1,1,1,0,49.71185161659509
4,2,0,0,1,1,0,50.0786520213974
6,4,0,1,1,1,1,57.77971159465122
4,2,0,1,1,1,1,55.60364543996904
6,2,0,0,1,1,1,55.02558012709876
6,2,0,1,1,1,1,56.21406658017479
1,3,0,0,1,1,0,48.41972398684736
6,3,0,1,0,1,1,56.175720714302166
3,3,0,1,0,0,0,50.16169146025502
2,2,0,1,1,1,1,55.58252396016059
1,2,0,0,1,1,0,49.11346282078615
3,2,0,1,0,1,0,49.17144582304029
2,3,0,1,1,1,1,55.4355552209721
0,3,0,0,0,0,0,50.37281521562748
3,3,0,1,1,1,1,55.28097474270108
3,2,0,1,0,0,1,55.3976236157292
0,2,0,1,1,1,0,50.266290113042125
0,2,0,1,1,1,1,55.94861723812165
1,3,0,1,1,0,0,49.267461271701286
2,2,0,0,0,1,0,49.29018390081338
0,2,0,1,1,1,0,49.23276309477392
4,3,0,0,1,1,1,55.84732238057887
0,3,0,0,1,0,0,50.02401498877189
5,3,0,1,0,1,0,50.43401454984435
5,2,0,1,1,1,1,56.56493936504653
0,3,0,1,1,0,0,47.09660649538903
1,3,0,0,1,1,0,49.47697840250374
3,2,0,0,0,0,0,48.70979357833016
4,3,0,1,0,1,0,48.29619433944372
3,3,0,1,1,1,0,49.9707775943478
3,4,0,1,0,0,0,50.28108442992583
4,1,-1,1,1,0,1,55.94826853376207
4,3,1,1,1,1,0,49.34387106884009
-1,2,0,0,0,1,0,50.71375570984044
5,2,0,0,1,1,1,57.3934739105123
4,3,0,1,1,0,0,48.200066849557054
5,2,1,0,1,1,0,50.14102880106358
2,4,0,1,1,0,0,50.47947651735716
9,3,0,1,1,1,1,54.85169128184536
2,1,0,1,1,1,0,47.80103538767645
3,2,1,0,1,0,0,49.45523933546906
4,2,0,1,0,1,0,47.537757880177445
4,2,0,1,1,0,0,49.68446235894149
1,3,0,1,0,0,0,50.53142948957853
0,2,0,1,1,1,0,49.42878712325239
5,3,-1,1,1,0,1,57.01903835559706
5,3,-1,1,0,1,1,55.4458980551633
3,3,0,1,1,1,0,50.55375724099554
