age,education_years,income,political_engagement_score,trust_in_government_score,gender,minority_status,rural_residence,political_campaign_exposure,voting_behaviour
32,14,11,25,2,0,1,0,0,51.74453318762309
25,23,5,14,3,0,1,1,1,53.48141529286686
46,11,10,12,3,0,0,0,1,50.81343408828918
43,15,7,11,3,0,0,0,1,50.1172856485538
27,16,6,13,4,0,0,0,0,44.44422126899068
30,17,15,13,5,0,0,1,0,48.26839911336505
35,23,9,13,4,0,0,0,0,43.528287229638856
24,15,9,14,4,0,0,0,0,47.57656854066718
17,25,2,12,4,0,1,0,1,53.43107315696653
41,13,7,12,4,0,1,0,1,48.82926747703191
19,25,10,14,4,0,1,0,0,49.18795647020127
21,29,9,22,5,1,0,0,0,48.06808022611537
22,18,12,9,4,1,0,0,1,54.8162651816115
32,20,8,5,2,0,0,0,1,50.91283627247503
30,21,5,20,1,0,1,0,1,55.21075364536395
35,13,11,17,5,1,0,0,0,46.90527657550199
20,27,5,17,4,1,1,1,0,47.02318600548619
18,19,11,9,6,0,1,0,1,55.802377105240886
25,36,9,24,4,0,1,1,0,48.582013621670775
10,22,6,13,3,0,0,1,0,50.2316272346356
24,15,11,8,3,0,0,1,0,46.44954582148112
31,13,6,8,6,1,1,1,0,41.77633448049732
29,21,10,4,2,0,0,1,0,45.08040719749156
40,2,8,10,5,0,0,0,1,53.51236712908831
27,21,9,23,6,1,0,1,0,48.119334455797926
41,34,12,23,1,0,1,0,1,57.97694404083332
31,20,7,15,3,0,0,0,1,55.5820721637504
34,20,8,19,3,0,0,0,0,46.69804771035828
13,24,7,13,3,0,1,0,0,48.56618994413676
22,22,9,12,5,0,0,1,1,53.46192348855297
16,25,11,16,3,1,1,1,0,49.85407149644425
40,29,13,4,3,0,1,0,1,50.09525499500574
26,28,3,19,4,1,0,0,0,45.80960755215925
28,27,13,12,3,0,1,0,0,47.53416838278079
27,23,11,7,5,0,1,0,1,53.20927178843991
31,27,10,18,3,0,0,0,1,54.11205275440946
30,26,11,17,3,0,0,0,1,55.459422156602166
23,29,6,14,4,0,1,0,0,45.210644121810034
37,20,7,12,4,1,0,1,0,43.77186071772852
32,26,9,15,6,1,1,0,0,43.72333999391085
31,21,10,19,5,0,0,0,1,57.08800529135196
30,11,9,17,3,0,0,1,1,56.19779097498419
30,23,9,18,3,0,1,1,0,47.99514074767392
38,19,8,7,4,1,0,0,1,51.71176524869996
38,21,12,14,5,0,0,0,1,53.797608616283135
28,21,14,7,3,1,1,1,1,52.96873352279594
22,26,7,11,5,1,0,1,0,46.25305267673912
28,22,12,4,4,0,1,0,1,53.59254801983904
36,23,10,13,0,0,0,0,1,55.36187777926463
42,23,11,2,4,1,0,0,1,48.469267391848426
38,18,10,6,4,0,0,0,0,43.31172821445684
16,15,14,13,4,1,1,1,1,60.38326255933658
47,19,12,20,4,0,0,0,1,53.11425233165185
31,24,13,10,5,0,1,0,1,55.08903061618732
21,23,3,16,2,0,0,0,0,45.98209214571615
40,20,12,20,5,0,0,1,0,46.87641582472668
15,27,6,8,3,0,0,0,1,54.13736272864488
26,20,10,19,4,1,0,0,1,56.8598106812121
19,15,11,14,4,1,0,1,0,52.31572508541674
22,28,7,16,6,1,1,0,0,46.23805871190882
22,19,10,21,1,1,0,1,0,51.99512740270872
27,23,7,3,4,1,1,0,0,43.87649021070337
44,20,10,20,4,0,0,0,1,51.50623683134401
29,11,12,10,4,0,1,0,1,55.12873959326665
24,28,10,14,4,0,1,1,0,48.459763388234975
32,20,7,13,4,0,0,0,1,52.49456932388844
25,12,6,22,1,0,0,0,1,57.51574982399282
51,13,12,10,3,0,0,0,1,51.28618794538569
37,15,9,16,3,1,0,1,0,45.8740047856677
33,20,9,18,5,0,0,0,1,53.47586404765352
31,15,9,14,3,0,0,0,1,53.64286328742504
21,13,5,9,3,1,0,1,0,46.17822290042487
27,28,4,16,4,0,0,0,0,44.87758581761579
40,18,10,15,6,1,0,0,1,52.48920909523344
37,12,8,9,3,0,0,0,1,51.65397656078806
31,10,15,15,2,1,0,1,0,50.8581688630192
25,17,11,16,5,0,1,1,0,49.7269969851338
28,12,10,22,4,0,0,0,0,49.15925436098754
36,18,5,17,2,0,0,0,1,51.8148908570935
36,8,10,3,2,1,0,0,1,49.10072801865958
25,16,9,8,2,0,0,0,0,45.85945306153607
38,20,12,17,5,0,1,0,1,55.70829425072517
26,20,9,17,5,0,0,0,1,53.28111402953777
28,10,10,9,1,0,1,0,1,56.29553775811206
29,21,12,18,4,1,0,0,1,56.65046924131941
25,12,9,20,4,0,1,0,1,55.872243876509984
29,28,8,8,3,0,0,1,0,44.68128207705361
23,11,13,10,5,0,0,0,0,48.76204054162078
37,19,7,10,5,0,0,0,0,42.586741763224886
39,14,3,19,5,0,0,0,0,44.429812691674535
34,20,11,18,2,0,0,0,1,57.203123727682126
24,26,11,10,4,1,0,0,0,45.49178395534327
30,13,15,13,1,0,1,0,1,57.48784255916958
39,15,10,12,4,1,1,0,1,51.45991981856894
20,8,14,16,2,1,1,0,1,59.19168660537764
25,26,14,16,4,1,0,0,0,48.84310185239247
30,27,14,12,4,0,0,0,1,55.31408381702879
49,21,15,14,3,0,1,0,1,53.28277570346077
29,29,5,21,2,0,0,0,0,46.6040571692027
33,21,9,27,4,0,0,1,0,48.367515551160245
19,17,11,17,4,0,0,1,0,50.89157784398703
20,21,6,23,4,0,0,1,0,48.12903016603192
33,18,12,16,3,0,0,0,1,55.091752340753246
11,14,4,13,3,0,1,0,0,47.07510544058947
33,31,10,9,5,1,1,0,0,42.866696637993776
30,27,16,9,5,1,1,1,0,48.11278283988648
37,13,7,18,4,0,0,0,1,52.66268239889151
47,21,11,14,3,0,0,0,1,52.57826964572543
33,15,4,14,6,1,0,0,0,42.89903230859301
15,16,9,2,4,0,0,0,0,44.03725275862024
27,13,13,19,3,0,0,1,1,57.6606980409494
27,16,5,16,5,0,1,1,0,45.84730786031403
43,22,3,13,4,0,0,0,0,41.82721618218546
28,20,13,23,6,0,0,0,1,57.076111399515966
29,12,8,8,3,0,0,0,1,51.95554017949935
35,18,8,15,5,0,0,1,0,45.11951167644984
41,14,14,18,3,0,0,0,1,54.09223827929221
22,18,10,11,4,0,1,0,0,47.958100350336245
31,19,5,13,3,1,0,0,0,45.0289465779665
27,15,12,12,5,0,0,0,1,56.08717227283147
24,24,8,12,3,0,1,0,1,54.550769044609886
30,14,11,15,5,1,1,0,1,54.56278995385256
29,29,12,10,1,0,1,0,1,56.36963782409184
36,19,7,15,4,1,0,1,0,43.85462097981306
35,17,7,18,5,1,0,0,0,45.04467835705965
36,21,8,24,3,1,1,0,1,56.84363505908296
20,23,9,17,1,0,0,1,0,50.468222251024336
33,20,12,9,3,0,0,0,0,47.15041731757003
45,16,5,10,3,1,0,0,1,47.979423432287774
22,24,6,17,4,0,0,0,0,47.54966364540238
30,21,9,10,0,0,1,1,0,47.91814956467967
25,20,7,9,4,0,1,1,0,45.35460983677432
31,12,10,0,4,0,0,1,0,41.49909117020161
37,14,15,21,4,0,1,0,0,49.16105329006804
28,19,7,14,3,0,1,0,1,52.03266304180229
29,22,10,17,2,1,0,0,0,49.70381171648968
29,25,7,16,3,0,1,0,1,54.19412200726505
38,24,13,12,2,0,0,0,1,55.44589925135209
25,16,3,12,3,0,0,0,0,44.72032349401
23,15,8,15,4,0,0,0,1,52.616742896810656
30,15,9,23,3,1,0,0,1,56.50602293295851
28,15,8,12,2,0,1,1,0,45.771191312281
30,19,12,7,6,0,0,1,0,43.760353088272566
36,13,5,12,4,1,0,1,0,41.00975616038711
12,17,11,12,4,0,0,0,0,49.91881915893615
27,18,10,8,-1,0,0,1,0,48.12823417905
42,18,9,9,9,0,1,1,1,47.30930173533645
39,22,12,8,2,0,0,0,1,52.66412047883857
27,17,14,17,4,1,0,1,0,48.66172834061889
31,19,8,19,4,0,1,0,1,55.32334612495752
34,31,12,11,7,0,1,0,0,44.65899888500478
30,18,16,9,4,1,1,1,1,55.38383723248576
26,23,7,22,6,0,0,1,0,47.16004882549869
34,28,12,15,2,0,1,0,1,57.288628225702574
22,23,10,9,3,0,0,0,1,53.57556873048302
34,27,11,15,1,1,1,1,1,56.01607923790962
40,28,4,11,5,0,0,0,0,40.15637705287308
30,34,4,8,4,1,0,0,1,48.93376197474051
27,24,12,17,5,1,1,0,0,48.244728089606255
22,21,10,6,3,0,0,0,1,53.90105502781192
34,11,8,12,3,0,0,0,1,53.80045827628656
30,11,3,8,2,0,1,1,0,43.74668191797785
25,7,9,22,7,0,1,0,0,48.55893239682655
16,22,12,15,3,1,1,1,0,51.53824714749789
39,20,10,19,5,0,1,1,0,45.09709174811673
37,21,9,11,4,0,0,0,1,51.6985532312552
37,30,6,11,5,0,0,0,1,51.627997828163664
16,12,9,12,3,0,1,1,1,55.8372143028466
32,9,9,11,5,0,1,0,1,54.52767753170143
26,27,11,11,2,1,0,1,0,48.05059946018635
24,22,8,18,4,0,0,0,1,54.93416677480621
30,26,8,19,5,0,0,1,0,44.64734213691904
31,10,10,21,5,0,0,0,1,54.23650436006736
24,21,12,11,3,0,0,0,1,56.36241876824002
32,9,7,18,2,0,0,0,1,55.17379488696978
24,25,9,14,4,0,0,0,1,54.54330590716399
23,12,15,9,3,0,0,1,1,57.57606129739777
40,20,4,14,8,1,0,0,1,47.04263215064857
33,15,8,15,7,1,0,0,0,45.37882984028217
30,31,5,11,4,0,0,0,1,49.57548677852387
41,17,9,13,2,0,0,1,1,52.655747338348384
28,26,12,12,2,1,1,0,1,55.62776190722455
44,15,10,16,1,0,0,0,0,44.3539698024844
35,27,9,11,3,0,0,1,0,43.40711668467579
31,25,2,17,6,0,1,1,0,44.18663048080169
38,28,14,8,4,0,1,0,1,52.881460855817686
47,9,4,10,5,0,0,1,0,39.05370907294988
27,19,11,10,2,1,1,0,1,56.7483375241307
21,21,10,16,5,0,1,0,1,56.12502722708545
33,22,7,6,3,0,1,1,0,41.55934677769744
28,19,5,9,1,0,1,0,1,53.10132582326203
28,16,6,19,3,1,0,1,0,45.7813640388129
29,19,9,8,6,0,1,0,0,42.30397451041435
31,17,16,18,3,0,0,1,0,51.703534752253184
31,14,11,14,4,1,0,0,1,54.01672041327007
21,15,13,16,5,0,0,0,0,48.76555822805133
24,18,7,16,4,0,0,0,1,53.37427603775862
43,14,6,6,2,1,0,0,0,40.05852439426426
34,17,8,13,6,0,0,0,0,44.741721202402246
33,21,8,18,3,0,0,0,1,53.47733375826942
29,18,8,17,5,1,0,0,0,45.78922668667128
36,12,12,12,4,0,0,0,1,54.33526390403347
35,15,14,14,4,0,1,0,1,56.36000470559554
22,10,12,7,0,0,0,1,0,48.7097115850227
33,24,7,16,5,0,0,0,1,51.99621140908449
14,16,5,21,5,0,0,0,0,47.06235047910263
23,18,10,13,5,1,0,0,1,54.06899568849523
24,20,7,16,4,0,0,0,0,46.37679821621112
26,22,1,13,1,0,0,1,0,42.45712657314177
16,17,10,28,4,0,0,0,0,53.13771965288624
34,14,10,9,4,0,0,1,1,52.22267084910858
28,25,12,15,0,0,0,0,0,50.134335317906576
16,26,11,6,3,0,0,1,0,48.748033557789
15,18,15,17,4,0,0,0,0,52.29915888378615
27,13,10,23,3,0,0,1,0,49.94952138462471
37,16,7,18,5,0,0,0,1,53.27632419533041
26,21,12,22,1,1,0,1,0,53.93001350958435
37,25,9,8,3,1,1,0,0,43.52861166963442
33,22,12,12,7,0,1,0,1,52.12358408088079
27,16,9,14,4,0,0,0,0,48.93235420246539
18,32,7,9,6,0,0,0,1,52.83422517170747
24,20,10,17,5,0,0,0,0,49.5369035970181
7,17,9,20,4,0,1,1,0,52.676983815390486
29,22,15,0,2,1,0,1,0,46.2786939573318
41,18,13,11,4,0,0,1,0,44.49869400000404
28,15,9,17,2,0,0,0,1,57.98330378280148
22,8,11,15,4,0,0,1,0,50.09432418529815
30,27,11,13,4,0,0,0,0,44.72287658822162
21,13,11,12,5,1,0,1,0,46.4326005673457
24,23,12,13,6,0,0,0,0,47.316068613996606
24,19,9,11,4,0,1,1,0,45.65327634850351
39,14,14,11,4,0,0,1,0,45.93764930322644
28,16,7,17,5,0,0,0,0,45.1365483995387
20,25,6,20,0,0,0,0,1,57.71401298494107
33,26,6,9,4,0,1,0,1,51.79459313679165
37,23,7,15,4,1,0,0,0,43.14536170908144
42,16,13,19,5,0,0,0,0,46.84651562606095
34,28,7,17,4,1,0,0,1,52.31331068928003
20,25,14,13,1,1,0,0,0,50.64869938860991
44,32,15,10,1,0,0,1,1,54.50591433822311
34,21,8,15,4,0,0,1,0,44.96931145598101
14,17,8,8,3,1,0,0,0,46.69086632528534
33,22,9,13,3,0,1,0,1,54.54710273777861
26,20,7,7,0,0,0,1,1,54.01870138993967
29,19,6,3,4,0,1,0,1,48.83818826533043
14,21,5,5,4,0,1,0,0,43.22809260183994
19,14,8,5,5,0,1,1,0,45.444882801142064
22,15,10,6,2,1,0,0,1,54.08458045352844
30,17,11,10,0,0,0,1,0,47.36905853218645
51,22,8,9,3,0,0,0,1,49.222007117630575
27,29,13,20,7,0,1,0,0,47.59549119287298
22,16,8,16,5,1,0,0,0,48.22044346728174
26,28,11,21,5,1,0,0,0,48.861700329070345
32,20,6,7,4,0,1,0,1,50.1236296428358
26,19,6,13,2,0,1,1,1,55.99340257417026
29,21,5,16,3,1,0,0,0,43.61225949440189
29,22,14,15,3,0,0,0,1,57.55358062489564
37,24,7,18,0,0,0,0,1,53.72009621030982
26,8,10,4,6,0,0,0,0,44.20535960076111
24,18,8,10,0,0,0,0,1,53.90355025785582
31,17,10,20,4,1,0,1,0,49.15967033918336
24,26,8,18,6,0,0,1,0,45.761620144013584
36,14,11,15,5,0,0,0,0,44.99345599398952
34,21,7,9,1,0,0,1,1,50.95474106440184
33,30,9,18,2,1,1,1,0,47.99064671466247
35,17,15,8,4,0,0,0,1,53.69024896750416
29,15,11,13,4,0,0,0,1,55.90404766801383
24,24,11,4,4,0,1,0,1,52.39367579854694
23,22,7,9,3,0,0,1,1,54.50352168827552
14,28,7,21,4,0,0,0,0,49.39764759928562
18,19,10,16,4,1,0,0,0,48.86422893514722
37,22,4,20,1,0,0,1,0,47.20192204286099
30,13,9,14,5,1,1,0,0,45.29928944938822
34,29,12,12,4,1,0,0,0,45.22639236431815
33,30,10,19,3,0,0,0,0,45.24350442110213
39,23,6,9,3,1,0,0,0,41.06045224335784
28,28,6,2,5,1,0,0,0,40.86363948244092
30,21,6,16,4,0,0,0,1,53.77706009867074
33,24,9,7,6,0,0,0,0,42.96615352962179
16,16,7,18,4,0,0,1,0,50.03783694695493
33,16,15,16,4,0,0,0,1,55.76289060048551
20,26,6,13,1,0,0,0,0,46.22608982828088
21,25,7,21,1,0,0,0,1,57.8901697506101
41,34,8,9,7,0,0,0,0,38.78897786222502
51,23,12,18,4,0,0,0,1,53.47909291819175
35,21,15,5,2,0,0,0,1,55.53052048101148
38,11,12,9,4,0,0,1,1,51.21564303553193
33,20,8,7,3,0,0,0,1,49.3839347615352
36,26,5,16,4,0,1,0,1,50.44116460765506
24,24,12,16,7,0,0,0,1,56.0092827434618
41,19,10,15,4,1,1,1,0,45.42875525359631
19,27,8,8,4,1,1,0,0,43.943977764849485
28,17,6,13,2,0,0,0,0,45.96851121287869
34,22,12,13,4,0,0,0,0,46.17545593150796
45,15,15,15,5,0,0,0,1,53.62700295868849
31,32,8,17,4,0,1,1,0,45.48412113036334
24,20,8,17,6,0,1,0,1,55.535257568794
41,11,10,13,4,0,1,0,1,50.6188323934302
46,13,8,21,4,1,0,1,0,43.6733553388526
30,11,11,16,7,0,0,1,0,46.34605417223417
38,21,6,10,5,0,0,0,0,41.3359288191191
34,24,12,22,6,0,0,1,1,58.008094676537496
15,14,10,13,3,1,0,0,0,48.74260470537623
35,21,12,18,6,0,0,1,0,44.86879914449327
28,18,13,6,2,1,0,0,0,46.9769591556534
32,26,10,17,3,0,0,0,1,57.101148516508886
30,25,6,15,3,0,0,1,0,46.137423859620085
20,17,14,6,4,0,0,1,0,47.96564422604895
24,18,10,13,7,0,1,1,0,46.96128663908842
25,15,18,22,5,0,0,0,1,60.84951000099119
35,20,13,17,6,0,0,0,1,56.06190550232024
18,25,8,9,7,0,1,0,1,52.38292625053408
23,31,11,5,1,0,1,0,1,53.44202063098975
32,24,7,9,4,1,0,1,0,44.39508071130275
40,24,9,16,3,0,1,0,1,52.422828278971416
37,25,9,17,5,0,0,0,1,51.75707490988877
39,21,12,1,4,1,0,0,1,47.77732109406321
32,19,8,14,2,0,0,0,1,54.802894012934
24,28,6,13,0,1,0,1,1,54.13038040853934
11,24,19,12,4,0,1,0,1,60.21157743078388
13,19,12,17,4,0,0,0,1,60.0724595244961
24,17,12,17,3,0,0,0,0,50.16862575869752
33,28,11,6,0,0,0,0,1,52.484736770026736
18,38,13,17,5,0,0,1,0,49.64086164513613
27,18,14,18,4,0,1,0,1,59.24907736736999
27,11,15,16,2,0,0,1,1,58.78630174606161
26,19,5,12,0,0,0,0,1,54.33740175055389
17,15,7,16,4,0,0,1,0,47.55149300979564
35,23,11,13,3,0,0,1,0,45.56145715428931
32,17,14,12,4,1,0,1,0,47.90626704851901
36,18,9,19,1,0,1,0,1,55.47184660485699
46,18,6,11,2,0,0,1,1,49.61968397738325
40,16,8,19,4,0,0,0,1,54.06380729270481
32,19,9,18,1,1,1,0,1,54.24511828249428
40,17,11,18,6,1,0,0,0,43.54622297092946
26,21,10,21,3,1,1,0,1,56.04000824100257
42,20,12,15,2,0,0,0,1,54.87260843594015
37,14,3,18,5,0,0,0,1,50.83287776205485
31,24,7,13,5,1,0,0,0,43.93012108180748
42,21,11,12,2,1,0,0,1,54.172589097883886
35,14,2,25,7,0,0,1,0,43.019071950168296
22,14,10,18,6,0,0,1,1,55.78908842943232
23,26,8,16,2,0,0,0,0,47.47040031136641
28,28,5,7,2,1,0,0,0,42.47879072672274
28,17,5,7,4,0,0,0,1,51.378638624256666
22,13,8,13,3,0,1,0,1,55.14435701846136
31,16,7,13,3,0,0,0,1,53.1352888125375
39,14,9,15,7,1,1,1,0,43.14090199341015
34,20,6,6,4,0,0,0,1,49.53301241046424
25,13,10,15,4,1,1,0,0,47.17868686083523
28,34,4,23,7,0,1,0,0,44.25420509205621
31,24,15,16,1,0,0,1,0,50.0846477666666
12,20,6,15,5,0,0,0,0,48.02476716635942
37,23,12,18,3,1,0,0,0,47.42043376974109
41,17,8,10,8,0,0,1,1,47.89031077485022
28,28,6,30,4,0,0,1,1,58.55097547227517
21,17,8,10,4,1,1,0,0,46.99653401506332
23,24,16,10,6,0,0,1,0,49.40026352812561
19,25,12,4,5,1,0,0,0,44.75117535467669
15,23,12,6,5,0,0,0,1,53.14182264238077
25,24,9,15,3,0,1,0,1,56.29336798654114
32,24,9,19,3,1,0,0,1,54.975442054050944
34,19,10,10,4,0,0,0,1,52.56058335696665
33,16,12,10,4,0,0,0,1,54.15430860737446
31,17,10,11,5,0,0,1,0,45.19904581725363
29,19,12,11,4,0,1,1,1,55.19227764997904
33,21,11,10,3,0,0,1,1,55.39226820772143
19,15,12,9,2,1,0,1,0,46.90621715767068
27,20,4,25,5,0,1,0,0,47.17892490999599
27,16,9,14,2,0,0,0,1,55.28915294332308
42,25,16,17,2,1,0,0,0,48.85780899435788
40,30,11,11,6,0,1,0,0,43.83107253620537
38,18,10,14,3,0,0,0,1,54.79438606570218
20,17,5,7,4,1,0,0,0,45.04323440448651
19,22,5,15,5,0,0,0,0,46.10556279308042
34,11,17,22,6,0,1,0,1,58.6451086290901
42,24,6,10,1,1,1,0,1,49.74046754691578
33,25,12,18,4,1,0,0,1,55.06374293279944
17,18,8,10,2,0,0,1,0,46.86719862149998
33,17,11,16,2,1,0,1,0,48.51744919509475
33,26,10,11,5,0,1,0,1,50.76333911339484
42,19,17,13,1,0,0,0,1,55.96210964538379
31,20,9,24,4,0,0,0,0,48.07316630376008
24,5,13,8,3,1,0,1,0,50.25850240259882
15,21,8,13,5,1,0,0,0,46.9634238757443
45,24,10,15,3,1,0,0,0,45.73934219344168
31,11,14,16,4,0,0,0,1,56.37651531418458
20,18,11,19,5,0,0,1,0,51.765739534098486
45,5,8,15,2,0,0,1,1,50.91421992040864
23,14,8,17,6,0,1,0,0,47.01227426988779
25,11,8,18,1,1,1,0,1,56.06309391558545
30,15,10,19,3,0,1,1,0,47.46566536021847
37,27,14,12,2,0,0,1,1,55.70107860226411
32,32,9,11,3,1,0,0,1,53.24240039089421
37,14,7,9,4,0,1,0,1,50.19215891569769
27,21,13,5,6,0,0,0,0,43.706761066982935
18,26,13,9,1,0,0,0,1,56.949925660498906
28,23,6,17,3,0,0,1,0,47.2069288901295
24,23,13,19,2,1,0,1,0,50.82563870032266
18,16,11,0,3,0,0,1,0,45.00724904618031
21,23,8,17,4,0,0,0,1,55.86327692249067
34,19,8,8,2,0,0,0,1,52.64976412345293
40,31,5,12,2,0,0,0,1,49.96095124482445
39,17,7,16,5,0,0,0,1,52.07182396983203
31,23,8,14,1,0,1,0,1,55.01475701825476
32,30,10,17,3,0,0,0,0,47.81411983400321
32,15,13,6,0,1,1,0,1,56.11666792602929
40,26,14,14,2,1,0,0,1,55.139719257810256
42,24,11,10,5,1,0,0,1,50.63983734308292
30,32,7,10,6,1,1,1,1,48.50446611880026
22,14,5,18,3,1,0,0,0,49.25548337855383
42,19,12,15,6,0,1,0,0,45.861207446144405
35,18,10,9,4,0,0,0,0,44.56525459000742
36,26,6,11,1,0,0,0,0,44.396476742909705
21,25,9,12,3,0,1,0,0,47.90530352464565
20,12,9,17,7,1,0,0,0,46.91779942593443
23,22,11,13,3,0,0,0,1,56.40746695879356
14,15,11,15,2,0,1,1,1,58.08266526542647
28,15,11,13,3,0,0,1,1,56.59090202704572
22,13,12,11,2,1,0,0,0,49.33876431453845
27,28,10,18,3,1,1,0,1,56.13255396076863
28,30,9,13,3,1,1,0,0,46.07539181641636
22,23,10,14,3,0,0,1,1,56.48162595869981
24,8,12,8,2,0,0,0,1,56.75448689265754
41,4,9,12,5,0,1,0,1,51.15385557020824
47,31,6,19,2,1,0,1,1,51.6946532159421
36,33,13,20,6,0,0,1,1,54.62096475552192
26,28,10,5,4,0,0,1,0,45.23036999245191
20,11,13,22,6,1,1,0,1,58.86403939858404
34,28,5,22,3,0,0,0,1,53.398969033599066
19,20,11,11,3,0,0,0,1,56.829155260626194
43,13,8,5,3,0,0,0,1,48.529018418906745
30,15,10,12,6,0,0,1,0,44.68689536010696
31,19,16,6,3,0,0,1,1,55.97384551170753
34,15,7,16,1,0,0,1,1,53.8911300619826
31,15,10,7,4,0,0,1,1,51.43958684923968
23,10,7,10,5,0,1,1,0,44.19875917134931
35,26,9,11,4,1,1,0,1,51.22096997087963
33,15,4,20,5,0,0,0,1,51.42970683424504
33,23,14,9,6,0,0,0,0,45.847849430846274
33,24,9,20,4,0,0,0,0,46.445598254790696
23,20,5,12,4,0,0,1,0,43.463954730279326
28,17,7,7,9,0,0,0,1,49.86066273256765
51,20,11,17,3,1,0,0,1,54.16126192598397
32,26,3,20,1,1,0,1,0,46.34226595801787
38,22,5,10,1,0,0,1,0,41.38733464914127
32,6,12,12,2,0,0,0,1,55.23958344430376
29,18,5,16,5,1,0,0,0,46.315369144520254
37,17,8,19,7,0,0,0,1,51.04409419476101
47,15,12,8,1,1,0,1,1,54.05585141764707
26,24,12,19,3,0,0,1,0,49.30483187277072
28,15,13,19,4,0,0,0,1,56.77675086958569
13,14,11,4,4,0,1,1,0,47.93807932582154
18,15,11,15,7,0,0,0,0,47.64240751654813
34,27,7,16,4,0,0,0,1,52.80873712399817
27,26,8,16,4,0,0,0,0,46.213404683770655
38,20,14,4,2,0,0,0,0,44.52983078544725
24,10,15,5,6,1,0,1,0,44.43629497926238
32,29,12,12,3,0,0,0,1,56.95664189203336
41,23,13,14,7,1,0,0,0,44.00227268865571
20,15,7,12,3,0,0,0,0,47.01878804942428
5,21,9,10,4,1,0,0,0,51.66196501889239
33,17,10,19,4,0,0,1,0,46.33495918882102
17,13,7,12,0,0,0,1,0,48.10284181702762
25,26,8,12,5,1,1,0,0,46.66350103013802
30,8,2,12,3,0,0,0,1,51.98686649371856
