student_age,parent_education_years,gender,free_lunch_qualified,school_quality,local_tutoring_budget,tutoring_intensity,student_performance
9,27,1,0,1,9,19,59.67839373330828
10,28,1,0,0,6,17,58.77914316216442
6,28,0,1,1,2,21,72.74288767492939
10,29,1,0,1,10,18,57.57458734207484
5,28,1,1,0,9,22,71.80472910465848
7,29,0,1,1,9,20,65.864149104574
6,26,1,0,0,9,22,73.44157452026859
5,28,1,1,1,9,20,68.25059655263739
10,29,0,0,1,7,19,65.4614716234965
11,28,0,1,1,8,16,57.23133730436317
10,28,1,1,1,9,20,65.087470140473
12,30,1,1,1,11,16,55.1730939479418
12,30,1,1,0,10,17,54.19763903093445
9,29,1,1,1,7,18,62.11223777073497
10,29,0,1,1,7,16,57.249018022830825
8,28,0,1,1,10,22,71.06125617775852
9,30,1,0,1,8,20,65.85995443514832
12,30,0,1,1,8,16,55.46902426856002
6,26,0,1,0,8,21,69.74086043126724
8,31,1,1,1,6,19,64.15617277195963
3,27,1,0,0,12,26,79.36381613024211
15,30,0,0,0,7,15,49.18716679531962
12,30,1,0,1,14,19,59.468435755032615
13,30,1,0,1,8,15,52.67532584683545
10,29,0,0,1,9,21,68.12694737933136
9,32,1,1,0,7,17,60.72187871284381
6,28,1,1,0,8,20,68.89051563829784
13,28,1,0,1,8,16,54.28402682693065
9,31,0,1,1,9,17,56.04387346533945
11,30,1,1,1,11,18,61.24232908442642
15,33,0,1,0,6,13,44.25971228855377
13,25,1,1,1,8,17,60.75284056637934
5,31,1,0,1,9,20,65.78235771897667
7,32,1,0,0,7,21,69.33825978804789
9,28,0,0,1,9,20,64.18349779397384
10,31,1,1,1,10,18,59.26403152883962
12,31,1,0,1,7,14,49.86709811536424
5,30,1,0,1,13,24,77.50235991584728
12,32,0,1,0,9,17,56.25065750113525
6,28,1,0,0,9,21,70.56743119720643
8,29,0,0,0,10,21,69.97468989903302
10,30,0,0,0,5,19,63.79713102503455
11,29,1,1,1,8,17,54.883794418228206
12,32,1,1,1,8,14,46.45002863481434
10,31,1,1,1,10,18,59.10805270526756
9,25,0,1,0,7,20,69.68579958295278
12,32,1,1,0,8,16,55.280596583780536
14,32,0,0,1,8,17,55.895604703787285
2,27,1,1,0,11,22,71.16731985696012
6,25,1,1,1,9,23,75.2645835810187
10,36,1,0,0,10,18,59.15727219446544
15,26,1,0,0,9,16,53.28293599855306
6,28,0,0,0,4,18,65.14996738190536
11,32,0,1,1,12,19,60.56943998445821
10,29,0,0,0,8,21,68.94621910990695
6,28,0,1,0,10,24,78.39773020650105
10,27,0,0,0,2,15,51.99846192018933
10,31,0,1,1,10,21,66.14344474712894
10,27,1,1,1,8,19,63.66802015378431
14,29,1,1,1,10,16,55.54511863815151
14,27,1,0,1,9,15,52.27395880341764
9,30,1,0,0,6,18,62.35462785972097
13,27,1,1,0,12,21,67.6710328022973
9,33,1,1,1,9,18,58.185363637003285
9,31,1,1,1,10,19,63.10083647492508
13,29,0,1,1,11,21,65.55540278940686
5,29,1,1,0,10,22,72.34617126640808
12,29,1,1,1,5,15,54.82605700641044
8,31,1,0,0,6,19,63.41008980654564
13,27,1,0,1,6,16,54.68488332270617
10,29,1,0,0,8,18,61.35846353016533
8,31,1,0,1,8,17,60.9083453149705
11,36,0,0,0,5,15,48.39966368726204
12,28,0,1,1,7,15,52.77627133374458
11,28,0,0,1,13,19,62.11164874367993
18,29,0,1,0,9,16,52.40448065473728
11,30,0,1,0,9,16,55.22993420096792
10,29,1,1,1,10,20,63.80820965039424
5,31,0,0,1,13,22,71.47704410592915
9,32,0,1,1,7,18,59.95118095382352
10,29,0,0,0,6,18,60.17343800501335
5,25,0,1,1,10,20,68.83915829831435
8,34,1,0,1,11,18,60.17666215486037
7,30,0,0,0,8,19,64.15522946548269
10,31,1,0,1,10,18,58.78282067368741
8,28,0,1,0,7,18,59.79971050322155
5,29,0,1,0,7,20,67.44071312037573
8,29,0,1,1,11,20,66.87265538646696
8,34,0,0,0,9,19,60.674960774503845
9,29,1,0,1,8,18,60.94909621085323
8,30,0,0,1,10,21,68.10940311441996
6,29,1,0,1,9,22,72.87161878888016
8,29,0,1,1,11,23,73.65068351508366
8,28,1,0,0,14,23,72.47383613123218
8,24,0,0,1,6,19,65.60878256831988
6,31,1,1,0,9,19,61.48354510159571
5,37,1,0,0,11,21,65.96347831591751
6,33,0,1,0,9,18,58.97558810893303
7,30,1,0,1,7,18,60.37345190341416
10,31,0,0,1,10,19,63.90543117703061
13,32,0,1,0,9,15,48.71726682134933
11,33,0,0,1,7,14,48.04869904786853
8,28,0,0,0,4,21,71.8155880607929
6,33,1,0,0,7,16,56.37200704687943
12,27,1,0,0,4,16,56.14124558635135
11,28,1,1,0,7,16,54.99490784893255
11,28,1,0,1,8,18,60.724026377432
10,33,0,1,1,9,18,57.72492247224461
11,33,0,1,1,7,16,55.265021705887456
13,27,0,1,1,7,19,64.8617668777659
13,28,0,0,1,8,16,57.1073857035756
9,34,0,0,0,7,18,61.271787672295154
9,30,1,0,0,11,20,62.94767012278847
7,31,0,0,1,8,18,60.98995174108769
9,30,0,1,1,6,18,62.72677030921007
10,29,0,0,1,7,18,60.02219774740449
12,29,0,1,0,6,15,52.83845256522056
13,26,0,0,1,10,18,61.02307820641059
7,28,1,1,1,11,22,70.31705090899445
8,32,1,0,0,10,19,62.35206666936027
10,29,0,0,1,10,24,74.56091134442269
11,33,1,1,0,14,18,57.93715419505923
12,32,0,1,0,12,19,62.24654400874624
9,31,1,0,0,5,19,64.09416552020112
14,24,0,0,1,5,16,58.434181688952016
1,32,1,0,1,7,21,71.28196527911489
9,30,0,1,0,10,19,60.74967781618188
8,32,0,1,1,8,20,67.62090698795174
8,31,1,0,0,7,19,61.12622603474007
5,29,0,0,0,8,23,75.60286549310968
10,25,1,0,0,9,21,69.73650833950757
14,30,1,0,1,3,15,50.92321833442552
11,30,1,1,1,9,19,64.19285385517856
13,27,1,0,0,10,20,64.9029726268613
8,30,0,1,0,12,21,66.8694445877934
13,30,0,1,0,7,17,55.93289384856119
10,32,0,1,0,7,17,61.60276968158476
11,30,1,1,0,6,16,56.13945132212277
11,29,1,1,0,11,21,67.34821955861214
10,32,1,1,0,10,20,62.02845323672426
13,30,1,0,1,5,15,53.76750203138585
9,28,1,0,1,6,17,61.38904817362129
10,30,1,1,1,9,19,61.777345755301056
11,33,1,1,1,10,18,59.61114220364507
10,30,1,0,0,9,18,59.87723484889697
5,28,0,1,1,7,21,72.16491224355762
11,28,1,0,0,7,17,56.71273124113112
7,31,0,0,1,9,19,63.92857415666317
12,32,1,1,1,11,16,50.35010055297462
12,28,0,0,0,7,17,56.611612484986
9,28,1,0,0,10,17,57.25789878809934
7,28,0,1,0,9,22,69.60345448781264
10,31,0,0,1,10,19,59.749584725489385
9,28,0,1,1,7,19,61.643141250314265
8,31,1,1,0,11,22,70.12043268760951
13,34,1,1,1,7,12,46.32512905342967
9,37,0,0,0,4,14,51.13216659539479
8,30,1,1,1,8,19,64.7770873095904
11,36,0,0,1,8,14,43.68435245418955
9,27,0,1,1,11,21,68.26090559966171
10,31,0,0,0,9,16,52.9206621180621
10,31,0,1,1,6,20,63.27451139528665
8,32,0,0,0,5,19,62.43302171370253
6,29,0,0,1,14,23,70.02683097297681
9,27,0,1,0,12,23,73.81562041310254
13,32,1,1,1,5,16,53.43433976876086
5,32,0,0,0,8,21,67.54173352174534
13,29,0,1,0,11,17,54.999782915900255
7,30,0,1,0,9,21,70.12896187350736
14,35,1,0,1,11,18,56.8133389218853
11,31,0,1,0,8,18,60.2570715390405
12,31,1,1,1,5,16,54.95302273667669
12,28,0,0,1,8,19,61.12126194974335
8,28,1,0,0,12,20,65.10308152101139
14,35,0,0,0,8,15,49.400890170974336
9,33,0,1,0,10,21,65.05998189078365
9,29,0,0,0,10,20,65.89212701333226
11,30,0,1,0,7,18,60.21216629900374
11,26,0,0,0,8,19,63.19198931993581
10,33,1,0,1,8,17,56.89297116610064
9,27,0,0,1,8,18,60.58380941430584
7,27,1,1,1,8,21,71.09541199053412
13,31,1,0,1,7,16,56.39925175657806
9,28,1,1,0,11,20,64.45276020571487
8,31,0,0,1,10,20,65.0153743223533
2,31,0,1,1,8,21,70.29983431515672
3,26,1,1,1,8,21,72.77410746510658
13,30,1,1,1,8,17,57.94308545869131
9,28,0,1,0,8,22,70.501936523677
9,29,1,1,0,7,17,60.3282997999948
10,26,1,1,1,6,18,60.67409957276705
15,27,0,1,0,7,14,48.69347001688513
11,26,1,0,1,6,17,60.06783583080748
5,29,1,1,0,7,21,67.24960776281705
9,32,1,0,1,6,15,53.73030644794495
14,29,1,1,1,11,17,53.88481296437766
14,29,1,0,1,11,17,57.799609415213766
11,29,1,0,0,10,20,65.49376438305764
7,31,0,0,1,7,21,68.69488856782044
6,26,0,1,1,11,23,80.20712804350713
13,29,1,0,0,10,15,48.306529982062
12,30,1,1,0,10,17,55.54504920372267
10,26,1,0,0,14,23,66.37470655348572
11,30,0,1,1,9,15,51.438740074573886
11,31,0,0,1,9,17,57.975238441928994
11,30,0,0,0,7,18,59.591735711225326
10,30,0,0,1,6,17,58.13573280721474
10,29,0,0,1,10,20,66.36184719075143
12,31,0,1,1,8,18,59.0070808856354
10,29,0,0,1,11,20,64.51661584819537
11,33,0,1,0,8,18,59.52804233154888
10,28,0,1,0,9,21,67.55834435803618
12,29,1,1,1,6,13,48.2417530337025
9,28,1,0,1,6,21,70.6362265252501
11,28,0,1,1,10,16,53.57438282117538
5,28,1,0,0,11,24,77.11126529935714
11,28,1,1,1,8,18,59.66096464817003
7,30,1,1,1,7,18,64.0080417763066
12,28,1,0,0,7,17,57.6576574388465
11,31,0,1,0,6,15,53.663509742081736
4,27,0,1,1,12,23,75.11196998240506
10,27,0,1,1,9,20,64.91554319415557
11,34,0,1,0,10,19,58.80202950734493
12,31,0,0,1,7,17,55.07984888151467
6,33,1,0,0,9,19,63.75746341770674
13,31,0,0,1,10,14,47.83827464753752
9,29,0,0,1,7,20,63.50256480642277
9,29,1,1,1,9,21,68.46506372102732
10,31,0,0,1,8,17,56.79385605080972
8,32,1,1,0,9,19,63.264245817101816
5,30,1,1,1,7,19,65.46958103879213
14,35,1,0,0,8,12,42.5462063943703
8,32,0,1,0,4,17,59.35315373249769
8,29,0,0,0,10,19,64.07951517493005
9,32,1,0,1,9,17,57.40045812265264
7,34,1,1,1,9,18,60.85518416037248
5,30,0,0,0,8,22,72.69248574081806
8,27,1,0,1,8,19,64.1439834731772
4,31,0,0,0,10,19,61.84295559651727
12,26,1,0,1,12,19,60.55748159389864
3,28,0,1,0,9,25,80.32144225180454
11,30,1,0,0,11,20,65.63044994058767
11,30,0,1,0,7,18,61.01298595764821
8,27,0,0,1,8,20,67.8749476717327
12,34,1,0,0,8,16,53.247655585185086
9,35,1,1,1,8,16,55.64883045641684
6,31,1,1,0,11,21,67.76477070928186
11,32,1,0,1,9,19,65.44773325786302
13,27,0,0,1,10,19,64.49134627471254
11,28,0,0,0,6,19,61.834175613261934
8,31,1,1,0,5,17,57.92778330854141
9,31,1,1,0,8,20,65.20971090034553
10,25,0,0,0,5,19,67.55514524084059
5,29,0,1,1,12,24,77.56556172804403
9,27,1,0,0,7,22,71.59998615972744
9,26,0,0,1,9,21,70.39187345644625
6,29,0,0,0,11,23,75.53234539948136
9,26,0,0,1,10,19,63.9497238061964
10,29,0,1,1,8,21,69.35819715066826
8,30,1,1,1,8,18,60.45531576342015
11,32,1,0,1,9,16,52.84698814789315
10,26,0,1,1,8,19,65.80314450035887
11,32,1,0,0,9,15,52.96882722678094
9,29,0,0,0,4,15,54.12187100536162
12,29,0,1,0,13,20,65.42975008792126
7,30,0,0,0,9,21,67.6607525890522
8,27,1,1,1,8,21,70.80033357135592
9,28,1,0,0,9,20,65.57132653543005
10,31,1,0,0,9,17,56.89375762306794
6,29,1,1,0,10,22,69.4403726041185
11,32,0,1,0,9,18,58.53711097019222
11,27,0,0,0,9,18,59.73285965654307
5,25,0,1,0,3,19,66.25165542915299
10,26,0,1,0,12,19,63.69957764727469
9,34,1,1,1,10,18,56.59790086672593
8,33,1,0,1,9,20,66.01744676466308
14,31,0,1,1,6,17,58.965266171612
8,34,1,0,0,7,14,50.184627653562046
10,28,0,1,1,12,21,66.01867996772295
9,26,1,1,0,7,20,67.29988617690442
11,32,0,0,0,15,18,58.86647108916222
13,33,0,1,0,4,13,42.64549285085152
10,31,1,1,1,8,14,49.49532226985677
9,26,1,1,1,11,22,73.65327104283504
14,26,1,0,0,11,18,56.46799406716559
12,35,1,1,1,10,14,47.48465107600075
12,29,1,1,0,8,17,56.88623164886322
8,30,1,0,0,11,17,55.37789296235533
8,33,1,0,0,7,18,59.61974966069581
9,32,1,0,1,7,18,61.30076352965521
7,33,0,1,1,8,15,54.079036606126095
9,28,1,0,0,12,23,72.52505592287113
10,25,0,1,0,9,21,68.41449685367645
9,27,1,1,1,7,18,61.82094451072238
9,28,1,1,0,12,22,67.93542699319231
9,25,1,1,1,9,22,73.2609395617367
15,34,1,1,0,11,15,45.94710720109402
8,26,0,0,0,8,22,71.87600829643797
11,30,0,0,0,8,21,67.283047647777
9,29,0,0,0,6,16,53.057683079095625
9,30,0,1,0,9,21,67.76208517729975
9,26,0,0,0,10,18,60.83070304581545
7,30,1,0,1,8,21,70.95651948975328
11,25,1,0,1,8,18,62.40532178982667
10,27,0,0,0,5,18,59.42857003925934
10,29,0,1,1,6,19,62.2680795893704
7,29,1,1,1,9,21,69.18075534653991
14,33,0,0,1,9,16,54.6431517311933
11,29,0,0,0,9,21,66.5452726433589
10,25,0,1,0,8,17,58.4463028019584
10,32,1,1,0,14,22,68.60744885827062
4,30,0,0,0,6,21,68.62929632186622
6,31,0,0,1,7,21,67.47281469842899
6,30,0,0,1,9,21,70.47043466970905
7,28,1,1,1,8,19,65.24851540233291
13,28,1,0,0,12,19,61.78196678571537
9,31,1,1,0,5,17,59.10158000165676
13,29,0,0,1,7,19,62.72446215857785
10,27,1,0,0,5,18,62.98013200925176
5,26,0,0,1,10,24,81.76065516497917
9,32,1,1,1,10,18,59.49425911443997
6,30,0,1,1,8,19,64.04731843232665
8,28,0,0,0,13,23,72.93011078588343
11,30,1,1,0,7,19,60.9061938827727
6,25,0,0,0,8,22,75.27552221425215
9,29,0,0,1,9,21,70.96406847846133
10,29,0,0,0,6,17,57.65260505797513
10,29,0,1,0,9,20,65.09587520551219
11,26,0,1,1,8,20,65.31659104975496
11,34,0,1,1,10,19,61.88180018338214
4,30,1,1,1,11,26,81.93280236270067
10,27,1,1,0,10,20,66.80494991056631
4,31,0,1,1,7,20,66.77939263389237
16,29,1,1,0,6,12,40.22715160537463
8,30,0,0,1,6,19,64.1482982651099
12,30,1,0,0,10,18,58.399605990322485
13,32,1,0,1,10,17,57.76215586232372
7,30,0,0,1,9,20,67.78518540239996
12,30,1,0,1,8,16,56.18175066248063
9,28,1,1,1,9,18,59.30688157833339
12,30,1,1,0,8,17,55.7133109725254
10,27,1,1,0,10,20,63.86200537664474
5,29,0,0,0,8,21,71.87951019094065
9,29,1,0,1,7,18,60.55597851583647
12,29,1,1,1,14,20,66.14829051482938
10,29,1,1,0,9,18,58.093819854269896
8,26,1,1,0,6,19,63.348014094514
5,28,0,0,0,8,21,69.79978916878586
5,30,0,1,1,8,21,69.70441222759538
8,31,0,0,0,9,20,62.69362770072636
8,29,1,0,0,11,21,68.2150353975649
6,30,1,0,0,8,21,70.08143072851408
17,32,1,0,0,10,15,48.92125112949559
15,26,0,1,0,4,13,45.50670906551083
7,30,1,0,1,11,21,69.29250356248974
5,30,1,1,1,11,25,78.3944918299249
9,33,0,1,0,7,17,55.79296963465768
10,28,1,0,1,6,15,53.63612815618507
9,28,1,1,1,9,19,63.94630643272544
13,26,1,1,0,8,21,66.70943226024498
12,34,0,0,0,9,16,52.76601368644751
16,31,0,0,1,9,13,46.51731853304636
13,34,1,1,1,8,16,53.25831793076139
12,26,0,1,0,8,19,62.94783680989099
9,28,1,0,1,9,21,68.57631842771029
9,27,0,1,1,10,21,69.59990104811618
10,29,0,1,1,10,19,64.08456945035253
5,27,1,1,0,9,24,77.39458667443616
