education_years,age,gender,union_membership,local_unemployment_rate,job_training_intensity,annual_income
5,27,1,1,10,17,209.5785770054385
9,33,1,0,7,15,201.7232304127661
10,25,1,1,6,19,224.6630544374598
15,31,1,1,6,15,200.77945273198375
11,27,1,1,10,18,217.37954454171972
5,30,0,0,7,14,189.0446296228332
14,33,1,0,8,17,222.70136885442213
13,30,0,0,7,16,206.13926578664683
10,31,1,1,9,16,211.080744708442
12,27,1,1,7,21,244.28371654925613
10,29,1,1,4,14,189.07304648424216
8,29,1,1,5,14,187.7068240171458
11,29,1,1,7,15,198.04632069479945
8,34,1,0,10,12,179.57366254793018
12,30,1,1,8,17,215.52119098862116
8,32,1,1,8,13,187.07200827775225
14,32,1,1,6,12,179.80416699619772
8,25,1,1,6,18,216.88567424381128
9,32,1,0,7,12,179.86646992286722
11,30,1,0,5,16,206.7127937115858
11,29,1,0,13,20,232.90109180545443
9,26,1,0,9,19,222.6708057452564
13,30,1,1,5,17,217.84189251046317
11,31,0,1,6,16,208.63703504510465
13,29,1,1,10,18,222.6527225395484
11,28,1,1,11,20,236.62880099640284
4,27,1,1,12,16,200.7984029579041
8,27,0,0,4,14,185.6219909558121
10,29,1,1,6,14,189.31801203960472
9,30,0,1,8,16,204.27400697905185
8,30,1,1,9,15,199.3611922195779
12,26,0,1,7,20,232.8673654120339
5,26,1,0,9,18,215.61751197547943
12,28,1,1,5,16,205.66979962672755
10,29,1,1,8,14,188.40707806681272
12,31,1,0,5,15,200.91587219523635
10,32,1,1,10,16,211.67133164549207
12,29,1,0,5,14,187.2449121425049
11,28,0,1,9,17,210.3423913762699
10,28,1,0,11,18,215.87327048623007
11,31,1,0,10,17,215.01249670487903
8,34,1,1,7,13,189.5024218898441
8,32,0,0,7,13,185.08154952106048
10,32,0,1,10,14,194.0536923812802
13,30,0,1,7,16,211.476750663842
7,29,0,0,3,13,181.92633834750927
11,28,1,1,5,16,204.01114925801292
7,24,1,1,11,23,255.2454449993786
11,28,1,1,6,18,221.1184736424468
8,29,1,0,7,13,179.07463715881812
11,32,1,1,10,15,201.18395416216768
15,30,1,1,7,18,223.44999867588743
7,30,1,1,10,14,189.64702348809024
10,32,1,1,6,14,194.27003078753825
7,32,1,1,5,11,170.68944355962972
12,28,1,1,9,17,211.1310746811837
7,26,1,1,5,16,203.5031784158844
10,30,1,1,5,15,201.01841992614845
10,31,1,0,4,14,192.65707767010147
4,29,1,1,6,14,185.82876353569904
11,27,1,1,6,17,213.6761233826045
9,31,1,0,8,14,191.9608706219317
11,26,1,1,9,17,208.5386859887253
10,31,1,1,8,15,199.33860044167628
8,26,0,1,7,17,207.08877481793644
11,28,1,1,12,18,217.60817592953867
8,30,1,0,5,14,190.34344170423253
8,28,1,1,7,17,213.2172954014011
10,29,0,1,5,14,188.3763327018229
3,30,1,1,7,13,180.5776446364493
10,32,1,1,6,13,185.5909370778499
8,30,0,1,9,13,182.9962101198628
9,30,1,1,9,17,213.5351635952582
11,28,0,1,5,15,197.20791260941277
7,26,1,0,7,16,202.5047657203449
8,32,1,0,10,16,209.50086796024627
10,29,0,1,9,15,197.0234349566481
12,30,1,0,7,16,205.80128486535872
11,33,0,0,7,16,212.2792431054792
10,30,1,1,6,13,182.1348216385965
11,28,1,1,5,16,204.9703432354972
14,26,1,1,6,18,216.6810199312587
9,29,0,1,7,15,196.82079601383796
12,29,1,0,5,16,205.39600271360325
13,26,0,1,7,17,209.95001420177775
9,29,1,1,6,16,205.29482087534487
12,33,0,1,8,12,177.39404034854357
10,29,1,1,4,16,206.9407027536925
8,31,1,1,7,13,187.3726715180717
12,33,1,0,11,15,202.42486807976329
4,25,1,0,8,16,195.92476541226807
7,33,1,1,7,10,161.94509287377335
10,27,1,1,7,17,210.6978542602949
8,28,1,0,5,17,210.9868040709996
13,28,1,1,8,18,222.13876952437485
7,31,0,1,9,14,191.31812431864265
10,30,1,0,6,14,189.1004033626044
15,31,1,0,11,18,227.937102841666
10,29,1,1,5,14,189.42871375510083
12,29,1,1,10,15,196.4210261568412
8,30,1,1,6,15,197.15858706683628
10,28,1,1,3,15,197.23369194701144
13,29,1,1,9,17,212.8801501883156
10,29,1,0,7,18,219.987801338146
1,29,0,1,8,14,185.49247072838256
11,26,1,0,6,17,208.47869327764005
10,25,0,1,10,20,230.31259329233413
6,28,1,1,9,16,202.33570277783008
10,28,0,1,11,18,219.00837205858
7,32,1,0,7,12,178.36843419715413
6,28,1,0,12,18,216.0365553629821
13,32,1,1,7,12,179.5052691949821
11,29,1,1,7,16,204.9598506864474
12,29,0,0,11,15,195.2460581857453
9,30,0,1,9,15,198.61518004012305
6,27,1,1,8,17,210.4534714578281
5,34,1,1,6,11,173.63042745693815
12,32,0,0,9,17,215.99726184575565
9,35,1,1,7,9,155.34849024157506
11,28,0,1,7,17,211.10192061960427
6,30,1,1,5,11,166.64030929524642
10,28,1,1,11,19,229.0166708940104
6,27,0,1,11,18,219.38676319909928
10,26,0,1,6,15,194.56535127629456
7,30,1,1,10,16,201.30091026585092
10,29,1,1,5,13,183.63053227207183
10,27,1,1,9,18,217.18199382014672
9,29,0,0,6,14,187.88521993598417
9,31,1,1,10,14,192.014114092571
8,32,0,0,8,12,177.35975924467078
4,25,1,0,9,18,213.5024760211079
5,30,0,1,7,12,174.55323181860362
8,26,0,1,10,20,231.634028832286
11,34,1,1,8,11,172.4876617600961
6,28,0,1,7,11,162.97447286921647
8,29,1,1,6,14,188.0568497743477
8,27,1,1,8,17,208.2842614644958
9,31,1,0,6,14,191.6669055624241
11,28,1,0,4,15,195.81488409476935
8,30,1,0,6,13,181.7965983069692
9,29,1,1,10,17,210.15306739917452
10,29,0,0,5,14,188.57429056591693
12,30,1,1,8,14,190.0089857872405
14,29,1,1,7,19,231.9720418518972
12,32,1,0,8,16,208.83650567582004
11,33,1,0,11,15,202.8372261469749
15,34,0,1,9,16,213.741714141931
10,26,1,1,7,16,199.85831281984215
9,26,0,1,9,18,215.32317196496032
6,27,1,1,10,18,218.37362422081773
10,29,1,1,9,17,213.28920302870085
6,28,0,0,5,15,196.1214652729636
7,30,1,1,7,14,190.0662009942439
5,27,1,0,10,18,217.64406429950745
12,31,1,0,9,13,183.59246013532248
1,25,0,0,8,19,223.01051760194605
7,25,1,1,5,17,208.2831293366464
13,32,1,1,5,13,185.61866872713597
8,31,1,0,6,14,194.7873043381541
3,30,1,1,3,12,173.66916646959723
8,31,0,1,8,15,201.08284829521727
13,26,1,1,7,21,242.20008208878133
15,32,1,1,9,15,201.1919740572165
9,30,1,0,8,15,196.6212346638445
13,29,1,0,8,18,222.39026111279827
9,27,1,1,5,16,203.5597616015401
13,32,1,1,7,15,202.44973390075427
9,29,0,1,6,16,204.5747262345901
6,30,0,1,10,16,206.59627436164493
8,30,0,1,10,16,207.00638937643416
9,28,1,0,5,16,202.3227994994497
13,29,1,1,6,16,206.41908419628663
12,32,1,1,8,16,209.6953531072181
5,31,1,1,8,14,194.493643080248
11,26,0,1,8,17,208.43892888493505
12,33,1,1,9,17,217.6332784851304
10,32,1,1,8,13,183.99347345756647
11,32,0,0,9,16,210.72212426136156
6,29,1,1,5,13,180.15288921747097
8,28,1,1,12,18,218.29439261174875
10,31,1,1,8,15,201.4783877048205
13,29,1,0,10,17,214.36189172804583
9,34,0,1,6,9,155.59649130556093
10,27,1,1,9,18,219.70080791874744
8,29,0,1,6,13,179.2411047338257
12,27,0,0,8,21,241.76145118820327
12,33,0,1,10,13,187.49778991528777
3,28,1,0,8,12,170.5219933068791
7,34,1,1,9,10,163.59221198587687
9,29,1,1,7,14,188.46780214989911
7,33,1,1,7,13,188.2108072602281
9,29,1,1,8,17,215.68528682998152
9,25,1,1,7,19,220.03027130629968
8,28,1,1,8,16,204.60696798385337
11,29,1,1,10,20,236.8819061704192
6,31,0,0,10,15,199.1253650495827
4,24,0,0,4,16,195.78544193333957
7,30,1,1,8,14,193.88384071257656
10,26,0,1,10,17,208.6260002048971
7,29,1,1,11,18,221.7754475576688
14,25,0,1,5,17,205.42559544890256
13,29,1,1,9,15,194.52164108568925
8,30,0,1,10,15,198.3803055736418
11,30,1,1,2,13,187.79534535143577
10,32,0,0,10,15,200.95599962281543
5,28,0,1,8,16,202.0381771583562
10,30,1,1,4,15,200.6782567586544
7,27,1,1,8,15,191.84064647233745
12,30,1,1,5,14,189.18575202177877
12,30,0,0,8,15,196.25691820011937
6,29,1,1,11,20,237.5098359263673
10,28,1,1,7,16,203.2011971711339
8,30,1,1,7,15,198.0946400144912
7,27,1,1,11,16,200.47913228554245
9,30,1,0,5,11,167.26011005665515
8,30,1,0,6,16,209.55927922677668
10,29,0,1,8,17,215.80170363299368
13,30,1,1,8,17,214.8888995428743
6,27,1,1,8,18,218.6681738862364
7,29,0,0,5,13,181.40435637936
11,26,1,1,6,18,217.6730361899532
15,32,1,1,5,13,187.68946107149213
7,30,1,1,6,12,175.60379206284267
10,33,1,1,9,13,187.46074670287325
11,31,1,1,5,13,184.2087452462778
8,26,1,1,7,15,193.2876191667636
7,24,1,1,12,20,226.9650900480801
10,31,1,1,8,16,208.88182907931963
6,27,1,1,6,18,218.49326303242205
8,29,1,1,6,13,180.0610901738925
12,24,0,0,2,19,221.8174286223948
7,29,1,1,4,14,189.65914585557755
6,33,0,0,10,14,192.5293173869046
11,29,1,1,7,16,203.74096792261625
16,25,1,0,4,18,215.10139317963623
10,31,1,1,12,16,207.50765415880912
10,28,1,1,8,17,213.4900907027164
17,34,1,1,6,13,189.71573049362365
6,32,1,0,6,11,171.86559650218334
11,31,0,1,10,18,223.86675978696232
2,29,1,1,8,11,166.6473835186237
11,30,1,1,7,18,224.40450964525797
8,31,0,1,5,12,177.56902500753566
8,30,0,0,9,14,189.09466774456007
13,34,0,1,10,16,211.6532083732052
14,29,1,1,8,18,221.5532860273877
10,32,0,1,9,15,201.34879730600915
8,29,0,0,6,14,190.26663142258357
12,31,1,0,6,16,207.6343187046832
6,30,1,0,9,14,192.9694671896201
12,31,1,1,10,17,216.4633044923438
9,28,1,1,6,16,205.3839133223116
15,31,1,1,7,15,199.31600443645848
8,30,1,0,6,16,206.44191763024088
6,27,1,1,7,17,209.95917153321767
10,32,1,1,6,13,185.62288527490807
7,31,0,0,11,15,198.3349742149413
11,28,0,1,6,15,195.5866428514341
8,27,1,1,8,15,192.9120051907681
9,32,1,1,9,15,202.50578181639125
5,29,0,0,8,17,217.0868256193734
9,30,1,0,10,18,225.11861267546965
11,27,1,1,9,17,210.3423706920492
9,27,1,1,10,18,218.06139720837697
9,25,1,1,7,18,216.74887170981296
8,29,1,1,8,15,197.15888461522223
9,28,1,1,4,13,179.52906287531414
8,29,1,1,10,20,237.78047805420692
15,29,0,1,8,17,215.04837505814749
10,32,1,0,9,15,198.4330983789077
11,23,1,1,7,17,204.1831772269676
9,31,1,0,8,14,192.3040103697093
7,30,1,0,11,16,206.35109882660976
6,31,1,1,9,13,183.0221410430061
13,31,0,1,8,15,201.9624435316231
11,32,1,0,4,12,178.91490424597384
6,32,0,1,8,12,176.9159970605647
9,30,1,1,7,15,199.2575985220944
12,26,0,1,8,18,217.2273295333167
8,29,1,1,8,15,198.86254433835245
12,32,0,1,8,14,195.25616010571167
5,30,1,1,7,15,200.4296827926786
12,28,0,1,10,18,216.4413171986176
5,24,1,1,9,18,210.7337876649306
7,29,1,1,5,10,155.46753328437376
10,27,1,1,8,18,219.12180181375143
10,31,1,1,8,14,190.3948891059548
13,30,0,1,7,17,217.13950851897783
8,29,1,1,6,13,183.61238877318544
10,31,1,1,9,15,200.47343748619875
9,31,1,0,8,14,192.55370339968556
8,26,1,1,5,15,193.21106655893635
10,26,1,1,8,16,200.5756309970868
12,31,1,0,6,15,200.96836891103845
5,33,1,1,8,11,168.92106758900633
9,27,0,0,7,18,219.16972736920704
11,28,1,0,8,19,227.9489106315871
11,26,1,0,6,17,206.4781239733204
9,32,0,0,9,15,200.4306213956155
10,28,1,1,7,13,176.21465427754842
8,29,1,1,8,14,187.34515641619367
11,29,1,1,8,18,222.7577303735686
