age,political_experience,campaign_spending,incumbent_status,gender,minority_status,media_ownership,media_coverage,election_results
7,29,9,0,1,0,7,16,150.49552782871658
15,31,10,0,1,1,10,3,96.24655290033502
12,29,7,1,0,1,14,14,142.7694364583608
10,27,9,0,1,1,12,9,115.61779680771882
6,27,9,1,1,1,16,22,174.5442357948654
9,30,11,0,0,0,9,10,122.70283100128776
12,28,6,1,1,0,14,13,136.19167493920884
7,31,9,0,0,1,11,17,159.65509132832216
10,32,11,1,0,0,11,14,145.17096950691104
11,30,8,1,1,1,13,13,138.78192848099192
16,32,4,1,1,1,12,5,104.81241234907723
10,33,4,1,1,1,12,14,144.25956453978026
6,28,10,1,1,1,10,18,160.6105446568894
13,30,5,1,0,1,16,10,121.85274202528478
6,27,11,0,1,1,13,20,168.89720300852778
14,33,5,1,0,0,12,9,121.13955391730856
10,28,9,0,1,0,12,13,137.26050530684475
9,30,5,1,1,1,13,15,145.7263476625754
7,29,13,0,1,1,11,16,153.54817291001575
10,31,8,1,1,1,13,13,141.48155009589868
6,31,8,0,1,1,12,17,153.42622456176903
5,32,3,1,1,1,10,20,166.6953155496519
8,30,3,1,1,0,13,17,152.94799830727538
12,31,10,1,0,1,13,9,120.86871595333125
10,27,9,1,1,1,11,14,139.69653785456353
13,33,5,0,1,0,11,8,116.734566111869
12,34,8,1,1,1,10,5,102.8892275475789
11,32,17,1,1,1,13,10,131.16290543235547
9,27,14,1,0,1,11,17,159.15707398573818
7,31,2,0,1,1,11,15,141.912853894435
9,31,8,1,0,1,18,17,154.63201249435474
10,27,4,1,1,1,13,17,152.1538991025745
14,33,8,1,1,0,15,8,117.2080877175481
17,28,4,0,0,0,12,4,94.08234182032268
11,30,3,1,0,0,14,12,128.99984930209797
12,29,-1,1,0,1,13,15,142.31073009232685
4,30,10,1,1,0,12,23,182.18606438114105
5,29,0,1,1,1,10,20,164.01244392468303
11,29,8,1,1,1,10,10,123.00598404295783
14,31,8,1,0,1,12,10,127.8099381754965
10,32,7,0,1,1,11,11,129.2823828905423
8,27,7,0,1,1,9,16,148.03776269284072
8,28,3,1,1,1,14,17,149.96963083218694
5,29,3,1,1,0,10,22,175.9192782264646
9,29,6,1,1,0,13,15,144.02319624505333
8,28,8,1,1,0,13,18,158.30988431230105
9,32,5,1,1,0,13,15,144.82471594497122
12,31,8,1,1,0,11,11,128.62811040665034
9,32,3,1,1,1,9,14,138.98499233019308
12,29,6,0,0,1,11,9,120.371133212859
11,28,7,1,0,1,16,15,143.56268301722653
3,33,12,1,0,0,12,21,177.13241033982882
10,28,4,1,0,1,12,15,147.41813388562642
7,29,15,0,1,0,13,19,168.8021507777163
13,30,8,0,0,1,12,9,119.07285357047242
6,27,15,0,1,0,12,17,155.7200978772851
7,32,8,0,0,1,12,16,155.62949086219496
12,31,6,1,1,1,11,9,121.05502943780913
6,29,11,1,1,1,13,23,185.49346260911855
4,30,12,0,1,1,11,18,158.15329233800864
10,33,3,1,1,0,12,10,121.61892401087036
10,28,10,1,0,0,11,13,136.71030103071823
7,31,7,0,1,1,9,12,133.81379586434076
13,27,5,1,0,1,13,11,124.97126192607988
7,32,7,0,1,1,12,15,146.2516234114271
5,28,4,1,1,1,17,23,177.74380026601565
11,29,7,0,1,0,12,11,125.02364292116928
12,29,7,1,1,1,11,9,117.32091219300082
10,28,8,1,0,0,15,16,148.1131722189202
10,31,6,1,1,1,13,15,147.500532583544
12,27,10,1,1,0,15,15,149.1893179226505
11,34,5,1,1,1,12,13,138.85790452865038
9,33,8,0,0,0,10,11,132.27427058228702
11,32,3,0,1,1,13,9,117.69204979001532
14,28,8,1,0,1,15,9,116.50707166261618
12,26,7,0,0,1,11,10,123.58875982259046
8,30,9,1,1,0,7,12,129.13620354429304
8,26,13,0,1,1,15,15,146.03600636820684
12,32,7,1,1,0,15,14,144.15061265572265
7,28,5,1,1,1,13,17,148.1789089318962
11,29,11,1,1,0,15,14,141.25993468863018
13,30,7,0,1,0,12,7,109.26624194497673
6,29,9,1,1,0,12,19,166.1504483194054
11,32,8,1,1,1,12,11,132.82885814608255
8,32,8,1,1,0,9,15,147.97486953197924
4,31,12,1,1,1,12,21,176.31095534128153
10,32,7,0,0,1,11,15,152.05172042150923
18,29,9,0,1,0,10,1,85.21801476211557
11,31,9,0,1,1,15,11,129.77169255842617
13,28,16,1,0,1,10,7,114.49062951827094
16,29,2,1,1,1,10,4,92.59533499724502
5,31,12,1,1,0,11,21,177.74520896609806
11,30,10,0,1,1,13,8,115.11167095852956
8,30,13,1,1,0,12,17,160.46178373141072
6,30,7,0,1,0,10,18,161.24425586638966
8,31,2,1,1,0,14,20,164.74233808612755
11,32,10,1,1,0,16,13,139.577107554792
6,28,6,1,1,1,13,21,172.6987277793673
10,34,3,1,0,1,13,15,148.268224245991
13,29,6,1,0,0,10,12,136.54176880625798
8,31,10,0,1,1,13,17,157.42660321846805
12,30,9,1,0,1,8,9,123.2884336105556
11,25,8,1,1,0,14,13,131.24059029422824
16,30,6,0,1,1,11,3,93.8892261619578
9,28,6,1,1,1,13,19,164.90305414224213
10,28,11,0,0,0,11,13,139.3156608614106
4,33,3,1,1,0,13,22,177.19936360792002
11,30,8,1,1,0,11,11,126.73806826891176
7,28,4,0,1,1,10,14,136.338418765254
7,28,5,1,0,0,14,19,157.99859429995183
11,28,5,1,0,1,9,13,136.4770374920153
8,27,12,1,1,1,9,17,157.7541462421597
13,32,7,1,1,1,11,7,110.44796565545498
8,34,10,1,0,1,8,11,132.45249492745816
14,28,14,1,0,0,11,8,116.14347081543448
14,32,8,0,0,1,12,6,107.46640055695566
6,26,6,1,0,1,10,17,148.14490664045633
7,29,14,1,1,0,10,16,153.82875733805818
8,27,7,1,0,1,13,18,156.1387552534259
17,28,9,0,1,1,11,3,92.83524869722643
9,28,10,0,1,1,13,14,141.70548325156403
11,30,6,0,1,1,12,10,123.58959487257104
10,30,7,1,0,0,10,13,137.03252028554385
9,27,8,0,1,1,14,16,148.29965866881096
11,26,11,1,1,0,16,14,140.5846127330441
10,28,6,1,1,0,11,13,133.24327363032245
11,31,6,0,1,1,10,7,110.42199780136842
10,28,8,1,0,0,11,14,141.00820708135683
12,31,9,0,0,0,13,11,129.4626400271885
7,31,10,0,1,0,10,14,142.30088488938412
9,30,6,1,0,1,12,15,146.0650276727026
6,29,6,0,1,1,11,18,156.0741784790047
7,30,6,0,1,0,13,18,159.30923099317943
11,29,14,0,0,1,11,8,117.02683712633176
10,31,11,1,1,0,10,11,128.3424338428537
9,26,3,1,0,1,12,17,148.49017283740244
15,30,7,0,1,1,14,6,105.39168778424477
12,32,7,0,0,1,12,11,133.18320441124527
6,26,3,0,0,0,11,22,175.49394518199932
10,28,12,1,1,1,12,13,139.90639114230072
13,30,8,1,0,0,14,10,123.46580298032042
8,28,13,1,1,1,12,17,157.225239585858
10,33,6,0,0,0,10,12,136.36063036075143
6,32,9,0,0,0,13,21,178.5019525898251
7,29,8,0,0,1,12,18,159.47472936707774
6,29,12,1,1,1,12,18,161.24049556752504
11,27,4,0,0,1,14,15,145.24649438596242
12,29,2,0,1,0,9,8,108.79993070412492
9,32,11,0,1,1,14,13,139.38785429375014
12,29,10,1,1,1,14,13,142.75467324084823
7,35,10,1,0,1,13,15,152.71427962734887
7,31,16,1,1,1,11,17,159.18645319511438
7,30,9,1,0,0,13,18,162.39675602002623
7,23,8,1,1,1,8,19,161.03866893230364
11,28,8,0,1,1,11,10,123.51161562450618
9,32,9,0,1,0,12,14,145.60370366847468
14,34,11,1,1,0,9,8,121.03138651044613
15,31,6,1,1,1,12,5,101.87833119053424
9,31,11,1,1,0,11,14,145.96341819691176
7,32,11,1,0,1,11,19,170.06833367442272
13,24,15,1,0,0,13,11,127.9777383844392
10,28,6,1,1,1,13,16,148.81091714891534
5,29,7,1,1,0,15,22,174.91704032953004
9,28,7,1,1,0,12,17,153.31722180759994
11,31,15,1,1,0,11,10,126.64580006080324
10,29,3,0,1,1,16,15,141.8291167152431
9,30,9,1,1,1,12,17,158.26284170901533
6,29,13,0,1,1,12,17,157.9096306989206
11,29,11,1,0,0,14,12,131.98104814957838
13,32,0,1,0,1,9,6,101.5076778799271
2,32,10,0,1,0,11,23,183.14852836593
15,29,4,1,0,0,14,9,117.43402293138016
11,32,6,1,1,1,12,13,139.5415924643774
6,29,10,0,0,1,13,18,161.2190898958158
7,27,13,1,1,0,14,20,169.71382532802696
11,27,10,1,1,0,12,12,129.8493359164382
4,28,8,1,1,1,12,24,184.58440365375424
6,34,7,1,1,0,11,18,163.2806204767221
11,27,14,1,0,0,11,14,144.06350831084757
7,31,13,0,0,0,9,17,163.1687717483243
11,30,7,0,1,0,15,12,133.78985895985304
11,29,7,0,1,1,11,10,120.87294770242896
12,33,12,1,1,1,12,10,130.21167347995802
12,30,12,1,1,1,10,10,127.18401051854778
11,30,12,0,1,0,11,8,119.08767465938882
12,28,12,1,1,0,14,15,145.88999151871457
11,32,9,0,0,1,10,9,123.62232658003498
9,25,8,1,1,0,11,19,162.14838149254663
7,28,7,1,1,0,14,20,167.0393910873999
8,27,7,1,0,1,11,14,138.35509478246252
11,32,9,1,0,1,9,11,132.9251756265758
7,28,5,0,1,0,11,18,160.5911970932376
9,32,11,1,1,0,11,14,145.49282486996327
9,27,10,0,0,1,11,13,134.1331409874073
9,29,6,0,1,0,13,15,144.50230492553186
9,28,5,0,1,0,8,14,137.58233105267433
12,28,10,0,1,1,7,7,112.05327014045736
5,26,6,1,1,0,12,22,172.89194383907736
6,30,6,0,1,0,11,18,160.40275393264696
5,30,4,1,0,0,11,20,166.8938929650404
14,26,9,1,1,1,12,10,123.84137103106856
11,31,8,1,1,0,16,14,141.78884000292155
11,31,9,0,0,1,8,9,121.922961308593
10,29,7,1,1,1,12,14,140.88409994593454
5,29,11,1,1,1,11,19,165.81701683713726
11,32,8,0,1,1,13,11,130.45951703195473
10,27,11,1,1,1,13,13,134.18795583862453
10,28,7,0,0,1,14,14,142.230462786024
11,28,8,0,1,1,10,8,113.61135641684317
5,26,7,1,0,0,13,24,185.1261272581865
10,28,7,0,1,1,12,12,128.43058234722406
10,29,2,0,0,1,9,14,142.44653414371064
10,28,6,1,0,0,13,17,153.5473735295992
12,30,12,0,1,1,12,9,123.45643166238014
5,27,5,1,1,0,14,22,173.22714239290056
5,35,6,0,0,1,13,20,175.0804077349616
11,27,4,1,1,1,14,17,154.38525592222248
11,28,6,1,0,0,11,11,126.61131934024282
14,27,7,1,0,1,14,14,143.71109696292189
11,33,7,0,0,1,13,9,122.85899523874426
12,28,8,1,0,0,9,11,125.78654891733534
12,30,2,1,1,1,12,13,133.3828794719254
13,31,8,0,1,0,15,7,112.1719595952277
16,32,11,1,0,0,7,2,89.69159680857017
10,30,14,0,1,0,10,13,145.4503004889399
14,28,11,1,0,0,8,7,112.13123118575176
15,28,8,1,0,0,10,7,111.51924005019474
8,28,7,0,0,0,11,15,143.28191620121473
7,26,8,1,1,1,13,18,156.48612088321224
9,27,11,0,0,0,12,16,151.46456864448515
3,31,12,0,0,1,13,18,160.96218191509453
8,27,6,1,0,1,14,19,163.09813109905488
4,29,5,1,0,0,10,19,161.17706668581462
6,27,11,0,1,1,13,17,152.51386970782409
9,27,6,0,1,1,9,12,130.52570507863464
10,26,5,1,1,0,15,18,156.92293061620614
15,28,9,1,1,0,11,4,95.14561897053947
11,31,2,0,0,1,12,9,116.95658121051696
11,35,9,1,1,1,10,9,124.83321276910938
7,31,8,1,0,0,9,14,141.85746823512395
9,32,6,1,1,1,12,13,137.21837661702793
5,35,7,1,0,1,9,17,157.400883786706
10,31,8,1,0,0,11,14,141.4800318756835
15,31,7,0,1,1,12,2,86.85260318033897
5,28,11,0,0,1,11,19,164.852880552734
10,29,10,1,1,1,10,11,128.26363915469054
11,33,12,1,1,1,12,11,132.45860883773656
8,29,10,0,1,0,11,15,147.2577955277091
13,34,7,1,1,0,11,7,114.00169634472076
9,31,10,0,1,0,12,18,163.33396803935312
7,31,12,0,1,1,11,16,153.64026674930892
2,28,4,1,0,0,13,26,190.66689815177028
12,28,3,1,1,1,11,15,146.09588540163986
10,29,9,1,1,0,14,15,144.88258100314067
4,25,8,0,1,1,12,22,175.52082813871746
8,28,7,1,1,1,13,15,141.6594282266091
10,28,13,0,1,0,16,14,141.8136874265088
7,31,5,0,1,1,12,18,159.63944288077244
11,28,12,1,0,0,10,11,128.59358473690432
10,33,2,0,1,1,14,10,124.24747694558089
13,32,14,0,1,1,14,5,107.85128767643356
8,32,6,1,0,0,12,17,156.75902288479796
9,27,8,0,1,0,13,14,138.74169221691554
10,29,9,1,1,1,14,13,136.98358627641764
11,30,6,0,1,1,11,10,123.43555334467968
4,37,10,1,1,0,10,18,165.07731552989384
10,31,6,1,1,0,9,14,142.57769863109422
6,28,8,1,0,0,11,21,170.9365336615775
9,30,14,1,0,0,13,15,149.73026783847698
13,34,4,1,0,0,12,9,119.20823242589852
11,30,5,1,0,0,11,14,143.13326249160212
6,31,6,0,1,0,13,20,171.27955997703629
14,27,6,0,1,1,10,5,98.7084790189488
13,31,9,0,1,1,9,7,113.6838114226269
10,26,6,1,1,0,13,15,140.24657299547073
10,25,2,0,0,1,11,12,126.40126226175111
15,31,6,1,1,1,8,6,106.8179474490981
11,32,6,1,0,1,8,8,115.94793827359938
10,28,10,1,0,1,8,11,126.0535288545574
11,27,6,1,0,1,11,13,135.54882999923151
7,31,9,0,0,0,14,20,171.50665731843733
10,31,8,1,1,0,8,12,135.34225359275027
14,30,11,1,0,0,10,6,109.49591202550684
7,34,4,0,1,0,11,18,163.02695901914512
6,28,8,1,0,0,11,20,169.35699996523823
8,32,8,0,1,1,11,15,150.28050719062733
6,26,7,1,0,1,11,21,170.01706333649915
7,28,6,1,0,1,14,20,167.9823686110087
13,26,12,1,1,1,8,8,115.43301157926015
12,32,10,1,0,1,10,9,125.10771907770712
11,27,7,0,0,1,12,12,130.51568336747914
8,27,8,1,1,0,10,16,146.98207091289936
11,31,8,0,1,0,11,10,126.24097122952118
12,29,5,1,1,0,12,11,126.40206632774672
8,31,13,1,1,0,12,18,165.48837424332163
10,27,1,1,1,1,14,15,139.63862470996827
14,27,7,0,0,1,10,6,104.79281507033824
16,27,1,1,0,1,12,3,85.2095938447194
5,29,5,0,0,0,12,23,180.78078489430771
11,27,9,1,0,1,13,14,141.48639798425248
13,31,5,1,1,0,11,7,108.59264900459216
9,27,7,1,1,0,12,16,148.76164134758844
12,35,1,1,1,0,10,10,127.04242148669282
14,28,7,0,1,1,15,8,114.23297492083552
12,33,10,0,1,1,14,9,123.80821135319118
13,26,6,0,0,1,7,6,102.74345098159952
8,29,4,0,0,1,10,19,166.4897282825433
11,28,7,1,1,1,6,9,118.32437080522736
6,28,3,1,1,1,13,20,165.73513684308614
10,26,11,0,0,0,10,14,141.69382857897938
8,29,7,0,1,1,13,14,140.2547960107135
11,28,8,1,1,1,14,13,133.80666874047057
7,31,3,0,1,1,9,13,135.65160115514945
9,28,6,0,1,1,16,18,160.75344806326106
15,32,11,1,1,1,10,5,104.77814988691568
11,30,13,1,1,0,11,13,140.84835639979428
6,27,3,0,0,0,10,19,160.38351934936657
11,30,7,0,1,1,12,8,112.83493120162125
16,29,6,1,0,0,11,4,93.29163820135264
7,31,6,1,1,1,12,18,156.93203272763492
5,31,8,0,1,1,12,17,157.8445015262512
10,28,5,1,1,1,9,14,140.35359708832803
9,30,6,1,1,1,13,12,130.29119259073966
9,27,7,0,1,0,10,17,155.97548863416873
10,29,2,0,0,0,14,16,150.88720965973786
7,32,7,1,1,0,13,17,155.46451183507597
8,28,5,1,0,1,7,14,137.80088839026843
13,27,10,0,1,0,14,10,123.43109257199244
8,29,14,1,1,1,11,15,149.4585236734781
8,29,9,0,1,1,11,11,125.33543760855368
11,31,13,1,1,0,11,11,133.5753337771122
5,32,5,1,1,1,9,17,155.0971136628566
10,30,6,1,1,1,14,16,149.08292328940902
11,26,7,1,1,1,12,13,134.72261734223116
8,26,8,1,1,1,8,14,136.07626960622562
7,32,1,1,0,0,13,17,150.4633117325097
5,31,9,0,1,0,13,19,165.91188747727713
11,27,10,1,1,0,14,14,137.47225602416012
13,30,9,0,1,0,13,9,122.50301056921523
5,28,7,0,1,1,13,20,167.85339431384614
13,29,9,0,0,1,9,6,108.6148205647669
6,32,6,1,1,1,11,17,155.2680676800839
10,27,10,1,1,0,9,12,134.21815863801456
4,30,10,1,1,1,12,20,169.7091482980523
11,30,5,1,0,0,14,14,142.9152170997037
11,30,7,1,1,0,12,10,123.77078597162073
7,30,8,0,1,1,13,15,148.83238039981725
10,29,14,0,1,0,12,15,151.5166628226804
12,28,4,0,1,1,8,9,118.29194748705744
9,30,7,1,1,1,13,15,146.2750699111086
10,30,11,1,1,1,11,11,131.7860630213326
4,29,9,0,1,1,8,18,158.50510509234667
6,30,5,0,0,1,11,19,165.29188597579858
13,36,13,0,1,0,9,3,98.14135419866535
5,32,8,1,0,1,12,18,160.4622457881306
8,31,6,1,0,0,11,14,141.12270251715913
12,27,8,1,0,1,13,13,136.28721607636624
9,31,3,1,1,0,11,17,156.20736697488152
8,30,3,1,1,0,11,16,148.43458234289645
10,29,8,1,1,0,12,15,148.57187001835888
11,30,13,1,0,1,11,11,130.12424343775285
8,28,3,1,1,1,13,16,141.81966312842152
18,28,11,1,1,0,14,2,87.15231167847755
12,29,3,0,0,1,11,8,114.63858161127575
10,29,10,0,0,1,13,11,130.006756650213
7,30,13,1,1,1,7,13,138.84979294191527
12,30,0,0,1,0,9,7,104.31784605271427
11,32,8,1,1,0,13,8,111.76160336164855
8,30,12,0,0,1,13,14,145.00134228127493
10,28,10,1,1,0,11,15,145.861745387849
16,29,11,1,0,1,11,6,107.33287953515676
7,29,10,1,1,1,14,19,164.67554836030737
4,25,5,0,1,1,12,22,171.28400979939173
11,27,12,0,0,0,10,11,129.38561944564822
11,28,9,0,1,1,10,10,123.59898928214912
15,27,9,0,1,1,8,3,91.329996460893
8,30,9,1,0,1,11,18,161.58405602703996
8,30,9,1,1,1,14,15,145.66305011480134
7,30,10,0,1,0,10,15,148.81038028723728
7,27,8,0,0,0,12,17,153.99687389320593
15,29,9,1,1,0,9,4,95.69148820701436
6,31,4,1,1,1,11,20,168.38371518219907
6,30,10,0,1,1,16,18,159.9815434775832
8,26,8,1,1,1,10,14,134.6232133050057
12,32,7,1,0,0,11,11,131.51498895690983
10,31,7,1,1,1,11,13,139.79052999028622
12,33,6,1,0,1,13,9,122.01106452456924
8,29,0,1,1,0,12,20,165.03490597611602
7,28,7,1,0,1,11,20,168.5285013158363
8,29,3,1,1,0,8,19,165.43520797717764
8,29,8,1,0,1,9,15,148.1302380821295
9,27,3,1,0,1,12,18,159.04572621587775
9,30,11,1,1,0,11,13,139.86108015309892
12,31,8,0,1,1,14,10,125.16663040467914
11,30,12,1,1,1,9,9,120.89611281990078
6,28,9,0,0,1,11,18,159.58075494644345
13,28,9,1,0,1,11,8,114.25070859222556
8,28,4,0,0,1,13,19,164.08366069784208
3,25,5,0,0,0,12,26,192.61719829463289
10,30,10,0,1,0,12,11,127.96038609527804
12,27,13,1,1,1,11,7,108.13054325049532
11,28,11,1,0,1,13,12,132.79785293837568
9,32,5,1,1,1,12,12,133.86061533582983
11,30,6,1,1,1,11,10,123.3406217670834
8,32,9,1,1,1,9,15,150.924278288757
6,28,6,1,0,0,7,17,152.3699986903103
12,30,5,1,0,1,9,10,120.52284222575902
10,26,9,1,1,0,12,14,138.16254515014103
12,30,6,1,0,1,12,13,139.23750606875953
11,28,9,1,0,1,10,13,136.68579647288828
14,31,3,0,1,1,15,6,105.92414451129204
10,31,11,1,1,0,11,13,140.32812821120416
10,31,7,1,1,1,11,13,136.05828742054163
10,28,3,1,1,0,14,17,151.49326165748184
12,27,10,1,1,1,11,9,118.7063561077304
9,32,9,0,1,1,7,9,121.46642963835704
11,27,11,0,1,1,9,11,127.71412538762932
6,27,11,1,0,0,12,19,159.54382586964002
6,29,10,0,1,0,11,18,160.16012558363147
9,30,7,1,0,1,12,14,139.39705766793824
9,34,5,0,0,1,12,13,139.1103285503763
