plaintiff_age,defendant_age,judge_experience_years,plaintiff_gender,defendant_gender,public_defender_assigned,legal_representation_hours,trial_length_days
11,33,5,1,1,10,23,106.69595350168952
13,27,9,0,1,8,24,102.62191005547396
5,29,8,1,1,8,20,95.34284796168905
13,31,8,0,1,13,23,99.56780451496942
10,30,6,0,0,8,24,103.03059183614478
14,31,10,0,0,11,22,94.1672672721722
10,31,3,0,0,12,27,109.72610838165468
12,29,10,1,0,7,22,93.57723212956978
12,34,7,1,0,10,23,104.18872687189904
8,23,9,1,1,11,27,104.91573195729684
12,28,2,0,0,8,25,105.89413444006756
9,32,11,1,0,12,22,96.87387082898576
10,27,15,1,1,11,19,86.95447255987038
5,28,6,0,1,10,22,100.43393402072176
16,28,7,1,1,8,24,102.13844967035185
9,28,7,0,0,12,27,110.65507338671028
8,27,8,1,1,9,23,99.80187967837686
6,28,9,0,1,7,20,94.87050860313964
5,27,10,1,1,13,24,99.80829812636824
11,29,1,1,0,8,25,106.7187237929696
12,30,1,1,0,11,26,111.31409218858036
12,32,3,1,0,9,24,108.05924943855804
9,30,11,0,0,8,21,91.89465807828677
11,33,5,1,0,10,24,107.70012162499611
13,33,9,0,1,7,22,102.3774182722454
7,25,11,0,0,8,22,91.78636754261508
11,30,12,0,1,8,19,87.17416639996542
7,27,11,1,1,6,18,90.7154565829485
5,31,7,1,0,8,23,103.8455022522554
6,29,7,1,0,11,24,104.26041614118832
13,30,3,1,1,12,26,109.80836253794716
14,32,8,0,0,9,24,102.10267900364538
15,36,6,1,0,11,25,110.1010159155269
10,29,10,0,1,9,22,96.45440204065493
10,33,8,1,0,9,22,102.47009943292272
7,31,5,0,0,9,22,102.58478756224044
7,26,10,0,0,7,22,96.77347301632012
11,32,9,0,1,10,18,87.73763956046689
9,29,12,0,0,11,22,97.00179589746388
11,32,9,0,1,13,23,102.05398783627037
8,30,6,0,0,8,21,99.70439861740314
8,30,7,0,0,9,22,98.62374678979744
9,32,9,0,1,7,18,91.97595577060017
11,24,10,1,0,11,22,90.31136752676532
14,27,8,1,0,10,25,102.35078692677315
7,33,9,0,1,5,18,94.65492096840288
14,27,12,0,1,9,19,87.61470669029818
12,27,7,0,0,9,23,98.2376034505982
9,32,8,0,1,10,23,102.06304682515685
9,30,8,0,0,12,24,99.94536996017656
8,31,10,1,0,12,23,100.28530378580534
5,31,10,1,0,9,21,96.2093064205246
14,28,13,1,0,12,23,92.18757113692634
13,30,4,0,1,9,24,104.868913277737
10,29,11,0,1,14,22,93.38984528887144
9,27,6,0,1,8,23,101.66169795358768
10,27,9,0,1,8,22,99.67650317987406
10,27,5,1,0,7,24,104.88979403549628
10,27,9,0,0,12,23,95.29707559385218
11,27,6,0,1,11,23,98.5693700535156
9,31,10,1,0,13,20,91.56994831610984
11,32,8,0,0,10,23,102.06608969332916
12,29,2,0,1,8,25,110.36696752894716
7,29,6,0,0,7,23,101.42692667042569
12,29,7,1,1,9,24,102.89726895209355
9,26,4,1,0,7,24,103.55570081223983
8,24,4,0,0,11,27,108.40131488409313
14,28,7,0,1,8,22,96.97554102345256
11,29,13,1,0,6,16,82.28567108280608
14,29,8,0,0,8,24,99.320311123418
6,31,1,0,1,9,23,107.51694481827988
5,26,7,0,0,7,23,98.74877543293312
5,32,9,1,0,13,22,101.42322257247648
9,33,0,0,1,11,24,109.98805280477224
11,30,8,0,0,12,24,99.89776800151662
13,30,11,0,1,9,23,97.54133192728474
10,28,6,0,1,6,20,96.2471946721623
12,30,8,1,0,10,24,104.56520457788896
8,30,5,1,0,7,20,94.57301321924096
8,31,8,0,0,9,21,97.71659866371132
13,32,8,1,0,10,23,101.49100018338206
11,30,10,0,0,11,21,92.54869316412773
8,29,11,0,0,13,23,95.8390729518591
6,30,9,1,0,9,22,98.90813097195364
9,31,6,0,1,11,23,100.78077296754562
13,31,15,0,1,8,17,83.23127053775514
11,29,9,1,0,10,24,103.53181007963671
9,28,9,0,0,7,21,91.8295576646435
7,32,14,1,1,10,18,91.8903958870404
13,29,9,1,0,9,23,93.74580366868317
18,31,8,0,1,9,25,103.41670433681628
4,29,7,1,1,7,19,92.91057020346408
7,31,4,0,0,12,23,102.46749434086644
9,30,6,0,1,7,23,104.08727667956867
13,29,8,1,1,10,23,99.87846363578272
13,26,6,1,0,11,25,106.04683360057402
8,28,6,0,1,14,23,100.26006851381558
11,31,6,0,1,12,22,98.45388331307964
10,31,8,1,0,8,23,97.7424255724357
11,34,9,1,1,9,21,98.21425653618029
12,27,0,1,0,10,28,111.73613646554858
16,28,7,0,0,9,27,107.12593985074096
11,31,6,0,0,10,24,107.71579453080328
9,30,8,0,0,7,21,93.44413871316952
5,25,9,1,0,12,23,94.59039635797126
8,26,13,0,1,11,23,95.56828373454567
15,29,11,1,0,11,22,93.75609095043694
2,26,6,0,0,8,20,91.54225146632136
5,34,4,0,1,9,23,105.84701458245958
10,29,3,1,0,9,24,106.97614448290788
11,31,10,0,0,6,18,88.5587697304353
12,31,5,1,1,6,20,96.62831285800056
8,32,4,0,0,12,24,106.79921694967004
8,33,1,1,0,8,24,110.38566522290049
10,25,7,1,0,10,26,104.22273544477405
11,31,8,1,0,11,24,103.47290716356451
8,32,8,1,1,7,20,99.69543073157382
7,31,6,1,1,11,23,104.24048335568548
7,30,9,1,0,12,21,97.95924334989344
12,26,11,0,0,11,25,98.9311590572253
13,34,7,1,1,7,20,99.01150238385084
9,30,2,1,0,10,24,106.35722849629092
8,28,6,1,1,9,25,105.44115086294008
8,31,13,0,0,12,20,88.97224007028582
9,28,5,1,0,10,26,108.74277271406235
14,31,9,0,0,11,21,93.6365891906267
9,29,5,0,0,7,25,107.07414253283268
11,30,9,1,0,8,21,94.31959314738016
11,34,9,1,1,10,20,97.6049738332296
9,27,9,0,0,10,25,100.51180691291394
9,31,9,0,1,7,20,97.56594327073368
9,28,5,0,0,9,25,103.67587515330383
7,35,5,0,0,10,21,102.1175769454841
10,25,12,0,0,11,20,84.72060297804143
12,29,9,0,0,17,25,99.35144304530688
10,26,11,1,1,8,21,91.18998742016583
7,30,3,0,0,7,23,103.8538471413958
11,29,10,1,0,7,21,93.79859207881825
15,27,8,1,0,7,25,101.30171483284433
10,30,11,0,1,12,21,95.06525850503884
11,30,7,0,1,9,22,100.75029359881624
11,31,7,0,0,10,23,100.2270224635854
8,27,13,0,0,12,23,93.0403217384812
11,30,13,0,1,9,19,89.91070821098596
10,30,7,1,1,12,26,108.61598036445794
13,30,4,0,0,12,26,109.26128472037696
7,29,7,0,1,11,23,101.75546044010515
5,29,8,0,1,13,23,101.66156069458384
9,30,10,1,1,10,18,92.15820783578066
8,31,6,0,0,9,24,102.92889301109848
13,30,8,0,0,9,29,115.50127636190228
5,33,10,0,0,9,18,91.73217441841796
5,29,7,0,0,14,25,105.7778529256059
9,29,1,1,0,14,28,113.31824673513114
11,29,5,1,0,12,25,105.0034862860046
11,31,7,1,0,7,22,97.58093610425011
12,26,3,1,1,8,25,105.72225450110466
13,28,10,0,1,14,25,101.01874894868888
10,28,9,0,0,7,23,100.29217348234928
10,30,1,0,0,12,27,110.6876511543722
7,32,3,0,0,15,27,113.42781968568916
9,31,8,1,0,7,18,89.95518314935899
2,28,9,0,1,9,19,95.17594030330352
6,27,6,1,0,10,23,104.21640735118488
14,29,4,0,0,11,25,100.8965810019195
7,30,11,1,0,10,21,97.1932226734549
10,29,1,0,0,13,30,119.07317208411452
7,29,6,1,0,8,20,96.0644521461668
11,28,11,1,1,14,24,101.86324609751487
5,28,9,1,0,13,22,95.59467357669168
4,27,6,0,0,11,25,108.17390158009968
9,31,3,0,0,7,22,103.5201679873796
12,28,10,0,0,11,25,101.37527281881242
7,32,10,0,0,10,22,98.18587243409031
10,30,9,1,1,11,21,96.11362320335104
12,27,8,0,0,10,25,103.77903250877456
12,25,9,0,1,13,26,99.43394010257856
11,30,5,1,0,10,28,114.46077353603758
6,31,6,0,0,9,23,105.51353747819137
11,32,1,0,0,15,28,117.28687544992052
4,26,6,1,0,11,23,101.0293519554142
8,31,3,0,0,9,22,100.85543695242188
6,34,1,0,1,10,22,109.36440101698898
11,30,7,1,1,9,20,95.4297556841771
9,27,10,1,0,6,22,94.66691440193308
7,30,9,0,0,9,23,100.90723989668103
9,25,10,1,0,9,22,95.42049638177308
11,30,11,1,0,12,22,97.3726346511191
10,28,13,0,0,7,18,83.68506879020265
9,27,7,1,0,11,24,99.56524657006196
11,32,2,1,0,8,25,111.81629657649935
6,25,6,0,0,10,25,104.74183355809772
8,29,5,1,0,11,27,113.57017917385944
8,29,7,1,1,13,23,100.11664241730077
11,28,12,1,1,10,20,90.42697380235232
16,30,7,1,0,10,26,105.5793685553724
9,25,15,1,0,8,21,89.46845788967899
13,27,7,1,1,11,25,102.8208144574143
5,30,9,0,1,8,19,93.96583215759703
7,27,8,1,0,9,26,106.40397728280296
11,30,12,0,0,9,22,92.29199254104026
8,28,7,1,1,6,21,99.08559555818736
7,35,6,1,1,6,15,92.56832527144486
9,29,5,1,0,6,21,99.88592873437756
6,28,9,0,0,7,19,89.29197883404908
7,28,5,0,1,11,22,97.53375591354904
10,32,6,0,0,9,22,99.74732146090712
14,29,7,1,0,8,25,105.95215370627685
10,27,6,1,0,11,28,109.13954449682792
15,29,8,0,1,9,23,99.2461815161191
14,28,9,0,1,10,23,97.93245679081998
9,32,0,0,1,9,21,106.03642746637352
5,28,7,1,0,10,22,99.76359145944204
8,31,5,0,1,8,21,101.00799119531464
6,31,6,0,1,6,19,93.59638363502457
10,31,13,0,0,9,20,91.8197833503672
16,29,11,1,1,9,25,104.54527528189288
8,31,10,0,0,8,18,91.23055277172156
8,30,9,1,0,5,19,92.99062559372332
8,28,8,1,0,10,21,94.260408928343
9,26,11,0,0,8,21,89.89254818596852
4,32,8,0,1,9,21,100.95230446273848
2,28,5,1,0,9,22,100.57387878751128
14,29,8,0,1,11,26,104.46458749972014
8,30,14,1,0,15,20,86.99343770625677
4,31,13,0,1,8,14,79.64518708458748
15,32,8,1,0,9,25,107.61242913365294
9,31,5,0,0,6,20,93.54003767778214
4,32,4,0,0,10,22,103.81328753622172
7,32,12,0,0,11,18,85.97972844425767
10,35,11,1,0,10,22,99.72943359901528
13,31,3,0,1,11,25,105.5590454305157
8,29,9,1,0,7,20,93.32949590499528
6,26,10,1,1,7,21,96.01866676111824
13,30,1,0,0,9,26,109.76625263358152
12,32,7,0,1,8,24,107.71090864437642
12,28,7,0,0,11,26,104.16166407710548
8,26,10,1,1,10,21,95.34855895781575
9,31,11,1,0,7,19,89.28649692651793
13,28,6,0,1,8,24,102.50227174131656
13,30,10,1,1,10,19,88.77283133659807
8,32,11,0,1,7,18,92.34178419513374
5,31,8,0,0,11,18,90.23835506252712
5,33,8,1,0,14,23,105.02633657886128
15,31,6,0,1,10,23,103.18678119952264
14,31,7,0,0,7,20,95.85690385850872
9,30,9,0,0,8,22,97.76124956383296
11,31,10,0,0,10,22,97.12898127147
10,27,8,0,0,12,25,100.76663932105592
10,30,10,1,1,11,19,91.3190114254881
10,27,8,1,0,13,26,102.19794929218688
13,29,9,0,1,9,22,95.292204898924
14,28,5,1,1,7,25,104.7823595315261
14,32,9,1,1,11,19,91.71027627760748
13,28,10,0,0,8,23,98.8044425335688
7,33,8,0,0,10,20,98.48379652165944
3,28,10,1,0,8,20,93.88086989311095
14,31,8,0,0,10,22,96.22410387387264
12,26,8,1,0,13,26,102.33479960247048
9,28,9,0,0,5,21,95.61498377635895
4,33,8,0,0,8,19,93.9735307334788
12,28,15,1,0,8,22,93.19033586665928
11,29,8,1,1,9,23,104.25050385575145
7,29,5,0,0,13,24,101.6075438303993
8,34,8,0,1,12,20,96.75357774701124
6,28,2,0,1,8,25,111.3482675676969
11,32,5,0,1,13,24,106.26453969639836
11,25,5,0,1,10,26,104.62077161761307
15,27,10,0,0,10,23,95.08881657162732
10,31,10,0,1,12,18,90.23493195899104
8,27,3,1,1,9,25,107.98157379485036
8,32,8,0,0,10,23,102.71572441350266
10,31,10,0,1,7,16,85.21719561538511
7,31,10,1,1,13,23,96.83828840525145
6,28,7,0,1,11,24,106.38102678803898
7,31,10,0,0,11,21,98.7778738390472
11,31,10,0,0,12,20,92.20797824382215
11,31,7,0,0,12,24,104.24682816209447
11,28,6,1,0,10,26,107.30246854214325
12,27,8,0,0,8,22,97.70185924239206
10,30,8,1,0,10,23,103.16679298938432
6,28,7,1,0,10,24,100.65774959547475
9,30,8,1,1,12,24,104.65534514120894
11,26,6,1,0,9,24,98.8019747620914
6,29,4,0,0,10,25,108.83876491025036
11,31,2,0,0,9,25,108.84277538599302
10,28,4,1,0,13,28,111.6927236034703
6,31,6,0,0,11,24,106.01301494469928
10,26,5,1,1,5,24,106.97026754093127
6,29,9,0,1,5,21,96.01652595572628
11,29,12,0,1,12,24,99.404370860406
13,32,6,0,0,11,22,98.95487093947072
2,30,13,1,1,10,17,87.92976501708813
7,32,12,1,0,10,18,89.60726465315604
5,29,8,1,0,10,24,103.44292257390796
4,26,8,1,0,11,24,101.54635266883326
6,27,10,0,0,14,24,98.01174059811348
5,24,9,0,0,9,24,99.094391873538
12,28,8,0,1,11,26,103.59925656842192
14,29,6,1,1,11,26,107.1213761512188
5,26,6,1,0,11,25,104.5962759902373
10,28,8,0,1,11,26,107.0121525654625
9,28,5,0,0,9,24,104.33587541390916
7,33,6,1,0,9,20,98.40226402427687
7,34,6,1,1,8,19,100.62192075532543
5,30,11,0,1,8,18,89.2973187803447
10,30,9,1,0,12,23,99.91824351075246
6,28,5,0,1,9,21,98.88648817419192
10,27,3,1,0,11,27,108.78232240589703
8,32,7,0,0,10,21,96.43042091943738
12,31,11,0,1,9,20,92.97576703228609
6,33,11,1,0,15,23,101.0324029524296
5,28,11,0,0,9,20,90.22715732085256
13,30,1,1,0,12,27,114.21978387202128
9,30,8,1,0,10,23,101.45012888633144
5,31,7,0,0,9,21,95.4400810861408
9,33,7,1,0,12,23,102.805693749545
7,30,7,0,0,11,23,101.76593744046028
11,29,5,0,1,9,26,110.34904641013432
9,30,9,0,1,8,20,96.37594678118268
17,31,3,0,0,12,25,105.54730395345226
8,29,3,0,0,10,27,110.24399487079724
13,28,3,1,0,12,29,114.01486184083927
9,29,9,1,1,9,21,94.2614496220572
5,30,5,0,0,7,20,98.56099930555467
8,29,6,0,0,11,23,99.12765401955836
12,31,10,1,1,11,24,100.4157116084324
16,30,10,0,0,8,24,98.61197875676216
6,32,12,1,0,12,20,94.14028517353434
10,30,11,1,1,7,18,87.82628753102654
8,28,8,0,1,7,20,93.56690336362897
7,32,7,0,1,7,20,94.59443706193902
8,29,11,1,0,10,22,94.78346091441978
9,30,5,1,1,9,22,99.73707407958538
12,30,9,1,0,8,23,99.96313416251306
11,32,8,1,0,11,24,105.75085265903977
6,29,7,0,1,10,23,102.4213574659466
9,28,4,1,0,11,26,107.87908508122295
10,28,8,0,1,7,22,97.3442013215404
7,30,-1,1,0,8,26,113.98507728236537
4,31,3,1,1,7,20,101.59781778240576
11,26,10,1,0,7,25,104.84255842827324
12,29,4,0,1,14,28,112.81115749284967
13,27,12,1,1,9,24,99.40451911660504
7,27,2,0,0,6,24,103.41852796229132
7,27,14,1,1,8,18,86.25598926808293
12,27,3,0,0,10,29,113.3134875487784
9,31,4,0,1,9,25,108.60577477336268
6,29,7,0,1,9,23,103.62213923872784
12,30,13,0,0,11,21,91.09136328877509
12,28,3,1,0,8,28,113.49681397829802
8,29,7,0,0,9,24,103.75437542823188
10,34,6,1,0,9,23,104.3382316489428
5,29,4,1,0,6,23,103.51292789779768
11,35,12,0,1,8,18,90.83046408066434
11,32,2,0,0,11,26,112.66575674726155
12,27,5,1,0,7,21,95.99804008090756
9,32,9,1,0,10,22,100.60052965800368
12,30,9,1,1,10,22,97.18574269113104
9,27,7,0,1,8,22,99.29248249789136
6,30,11,0,0,14,23,97.56252308493688
7,31,6,0,1,10,23,103.63625921962016
9,26,12,1,1,10,24,100.57038444970004
10,28,7,0,1,10,23,99.42113946017164
15,28,4,0,0,11,27,107.55406269121364
8,26,9,0,0,9,24,99.56502743790436
12,28,9,1,1,9,24,101.4918745275914
4,30,5,0,1,7,20,99.3931784409691
8,31,4,0,1,11,22,102.82839542495468
