age_years,education_years,previous_month_income,work_hours_weekly,gender,rural_residence,job_retraining_program,current_month_income
20,24,10,16,1,0,0,43.68343662147496
30,18,10,18,1,1,0,42.61876467628358
17,27,12,9,0,1,0,45.05805777106279
30,12,9,21,1,1,1,50.68798081494349
33,19,9,12,0,0,0,40.62616092039902
38,24,9,15,1,1,1,47.94067744533963
25,14,5,14,1,1,1,49.81008830390332
25,17,12,11,0,1,1,50.78699537072206
36,9,8,18,0,1,1,49.84934195387523
29,13,15,10,0,1,1,50.99819547147222
31,8,9,11,0,0,0,37.56548777557964
26,20,14,11,0,0,1,50.71408898589328
34,15,13,20,0,0,0,40.78852054798192
21,12,11,17,1,0,1,53.75866921209188
32,29,7,24,0,1,1,51.24012849346322
28,21,10,13,0,1,1,49.2849087086655
35,25,12,19,0,0,0,40.37267946797007
22,27,14,12,0,0,0,43.70393738724699
30,23,0,15,0,0,0,41.51419065617682
29,29,8,17,0,1,0,43.07538205193528
47,19,11,20,1,0,0,35.88896735653291
30,18,9,17,0,0,0,40.12839200340305
23,10,13,11,0,1,1,51.3382164368811
24,23,8,3,1,0,1,49.51682959215352
22,24,11,9,0,0,1,52.89749909375342
24,18,9,23,0,1,1,55.55616237946164
42,19,9,15,1,0,0,37.07294845247765
30,18,7,13,0,0,1,48.95680695190179
32,13,4,14,0,1,1,48.02166944969652
32,20,9,14,0,1,0,41.521564668129535
24,10,11,11,1,0,0,41.46874524018378
22,21,4,23,0,0,1,53.63885112607374
46,23,9,10,1,1,1,43.8280381702837
23,28,9,5,1,0,1,49.80736588734853
41,13,9,15,1,1,1,45.289138683843255
24,22,7,14,1,0,0,42.23645526083843
33,20,8,13,1,1,0,41.13075873175467
32,23,8,12,0,0,0,39.7289360886239
16,16,5,14,1,1,1,54.3990060492784
21,12,8,17,0,0,1,51.17270127138271
23,24,7,16,1,1,1,52.55702421236425
43,19,11,18,0,0,0,38.22528490391616
27,13,8,14,0,1,1,50.17710767303095
32,18,4,22,1,1,1,49.3038896211996
15,24,9,17,1,1,1,56.51657457143861
30,13,11,15,1,1,1,49.04560047219481
37,18,11,26,0,0,1,50.39781538114829
34,15,16,13,0,0,0,41.88364530244617
23,5,11,14,1,0,1,53.05455135201056
33,24,14,9,1,1,1,50.26409449414076
39,17,10,14,0,0,1,45.39066862636766
31,19,6,12,0,0,0,39.81360648174851
31,8,10,18,1,0,0,40.84611747550103
27,22,9,11,1,1,1,49.89642408715672
24,16,11,13,1,1,0,41.72152779403885
36,24,13,23,0,1,1,50.49603670238309
30,24,9,15,1,0,0,41.929563775390896
35,23,13,22,1,0,1,49.14062189509869
29,27,10,13,1,1,0,42.69970640321371
36,26,9,18,1,0,0,39.82811306858296
36,23,7,11,0,1,1,47.55305743955706
39,21,11,14,0,1,0,39.050487368000375
43,14,8,7,0,1,0,36.81457587441965
20,30,8,12,1,0,0,43.500318438585545
17,15,11,14,0,0,1,53.53256371090275
29,29,11,12,1,1,1,51.63315986535042
26,22,11,17,1,0,0,42.823264067778666
38,14,13,12,0,0,0,38.660904118834885
27,4,10,7,0,1,1,47.74446090122247
31,16,8,15,0,0,1,48.58477468251153
35,18,10,13,1,0,0,39.02974080031559
33,15,9,17,0,0,1,48.30969568705585
40,26,9,7,1,0,0,33.89291082013245
32,29,12,10,0,0,0,40.22121628795878
37,18,12,8,1,0,0,36.862325603632925
30,11,9,8,1,0,0,38.22679053699089
44,21,13,15,1,1,1,47.121750030659726
23,14,9,11,0,0,1,50.10643401232685
17,20,4,19,0,0,1,54.08374267203584
28,6,9,17,1,1,1,48.57277676437638
28,19,9,5,0,1,1,48.94949099591255
20,28,8,13,1,0,1,50.91469936252476
36,17,12,18,1,1,0,41.59135841917924
35,12,6,14,0,0,1,47.63837609547168
44,25,9,15,1,1,0,36.70687115840548
20,23,9,17,0,0,1,53.91195089393372
39,14,12,15,0,0,1,45.68306525882991
32,19,10,12,1,1,0,42.64017185545946
13,11,4,15,0,0,1,53.635847738344985
27,21,6,7,1,1,0,41.878724524316645
27,16,12,12,1,1,1,50.96221683063238
19,21,10,13,1,0,0,44.69916246842756
24,22,15,8,1,0,1,51.338854941779104
18,7,8,18,0,0,1,53.91114127724766
38,23,13,11,1,0,0,37.92598777313219
30,17,9,8,0,1,0,38.76327967517078
24,28,11,17,0,1,1,53.014215302945615
14,13,7,15,1,1,1,54.40928428560992
40,17,6,16,1,0,1,45.28778656682829
24,20,13,9,1,1,1,52.87594224725397
33,21,8,16,0,1,0,40.48518229775183
17,23,9,14,0,1,0,48.028133707927
45,18,8,20,0,1,0,37.38298709815571
24,14,9,10,1,1,1,51.288236480766
22,19,15,16,0,0,1,53.12240988242296
24,7,10,5,0,1,1,50.138546641550576
27,16,8,10,1,1,0,42.33979380642632
26,11,10,4,0,0,0,40.06748868976373
22,21,13,18,0,0,1,51.28783206804923
33,15,6,11,1,1,1,46.55827685441763
45,8,16,15,0,0,0,37.43926075854113
21,24,13,12,1,0,1,52.38207554032335
28,14,7,11,1,1,0,40.01465813448125
27,16,9,8,0,0,0,40.720038206289615
26,19,3,3,0,0,1,47.67027147270622
30,17,10,18,1,1,0,42.50088155112319
37,24,15,15,0,0,1,48.97130644209549
28,8,7,16,1,1,1,49.48087083937512
33,21,12,18,1,0,1,51.48369812516508
24,5,7,5,0,1,1,48.52763460783888
43,28,12,11,0,0,1,45.423720887640826
26,10,7,14,0,0,0,41.45759870584387
38,23,9,17,1,1,0,40.97949838953932
16,16,7,12,1,1,1,53.22069896590706
18,16,7,10,1,1,1,53.054425547343264
27,17,11,19,1,1,1,51.00674187876651
38,25,5,15,1,0,0,37.34425126088899
16,22,12,11,0,1,0,47.97612109121752
25,11,7,19,1,1,1,52.42591799625582
36,26,7,13,1,0,0,39.27348179470005
24,17,4,13,0,0,0,41.8043282680761
35,14,14,15,0,1,0,42.48183321316228
27,16,9,22,1,1,0,43.964949095356346
18,19,13,20,0,0,0,47.58458025077962
35,21,12,9,0,0,0,39.68189228260591
40,23,8,12,0,1,1,45.78621907893236
21,13,8,12,0,0,1,51.27617921646713
26,21,9,6,1,0,0,40.248806346492486
14,15,13,10,1,0,0,45.54833994367346
26,28,9,6,1,1,1,50.43975821170048
9,19,13,12,1,1,1,59.177340630779575
18,20,9,12,1,0,0,45.41872109617891
12,24,11,9,1,0,0,44.88515493875814
29,13,7,15,1,0,0,40.3239095362087
36,17,9,17,0,1,0,40.4982651626146
10,22,8,12,1,1,1,56.70046426288181
35,16,7,17,0,0,0,38.31733440738373
32,15,9,15,0,0,1,46.49055357352101
33,19,12,9,0,1,1,50.0020206673187
20,16,8,14,0,0,1,53.39732524115669
20,9,7,11,1,0,0,44.74103099499081
27,29,11,17,0,0,0,44.209939979748185
18,18,12,18,0,0,1,53.42653441833853
25,23,11,12,0,1,1,51.37569136299444
25,21,15,17,1,1,0,44.47964641726068
32,19,4,8,1,1,1,46.54290303200401
28,19,13,15,1,1,1,52.18015182111749
24,14,13,10,1,0,0,43.29199608962251
18,29,9,7,0,0,1,51.331279879929895
37,7,9,11,1,0,0,36.651227857622416
38,20,8,17,0,0,0,40.93439249515929
35,32,10,11,0,0,0,38.9485869345348
41,29,4,22,1,0,0,38.40611846518414
23,28,10,10,0,1,0,43.79646363190491
17,10,9,17,1,1,0,47.47614729913923
24,17,9,7,0,1,0,43.37913968055131
37,22,7,7,1,0,0,36.23200587655023
32,15,8,16,0,1,0,40.67557756289822
30,9,10,13,0,0,0,41.44348064359664
41,30,6,8,0,0,0,36.24451287107912
37,25,13,17,1,0,0,40.19051747757573
32,12,8,18,0,0,0,41.31947366463421
27,26,12,14,1,0,0,41.0449348913844
30,15,12,10,0,0,1,49.04537494785328
25,24,9,16,0,0,0,43.32345720962542
33,24,6,8,0,1,0,41.26994974379685
33,13,5,17,1,1,1,48.22859114421121
24,11,14,11,0,1,0,44.57139925607544
26,20,9,18,1,0,1,50.21435053812675
34,21,10,10,1,0,0,37.88413842936006
26,16,6,21,1,1,1,51.14131712082298
22,16,9,18,0,0,0,43.98186473275228
15,20,9,12,1,0,1,53.94408881955552
30,19,13,23,0,0,1,51.68804018145862
36,22,10,15,0,0,0,38.84318578942444
42,15,15,9,0,0,0,36.66902509358607
23,29,12,15,1,0,1,52.58534958915236
23,26,10,14,0,1,0,44.60175634184915
36,20,11,21,0,1,1,50.00899071701114
16,18,5,9,1,1,1,51.990013836259386
19,27,9,21,0,1,1,56.17609903581951
44,22,12,18,0,0,0,37.46330306000121
17,27,16,15,0,0,1,55.01025211538598
29,26,12,11,1,0,0,39.48340794594827
20,11,12,17,0,0,1,51.9293571473365
32,23,5,21,0,1,1,49.92796470135641
16,11,8,15,1,0,1,54.093439511746034
29,21,13,18,1,1,1,51.01203030470855
33,22,8,11,1,1,0,39.00126419122412
47,16,9,13,0,1,1,42.691856648445416
34,21,14,4,1,1,1,47.42097612911511
27,19,14,12,0,0,1,51.213605944455786
34,26,7,14,0,0,0,39.8562692729593
40,21,13,9,1,0,1,45.508760110633794
36,25,15,13,1,1,1,47.68881107847115
20,26,10,16,0,1,1,52.22336691642217
29,23,11,12,0,1,0,41.19189788238207
26,12,8,7,1,0,0,40.5706947591246
24,19,8,13,1,0,0,40.8512602202414
17,17,8,9,0,0,0,45.496619210201104
41,28,12,10,0,0,1,45.34151428535207
27,25,16,16,1,0,1,52.52932778477208
22,24,5,22,0,0,0,45.09781598308652
20,16,11,9,0,0,0,45.41972129198506
32,23,6,5,0,1,0,39.847421626705554
33,26,12,11,0,1,1,50.05617236662104
45,27,10,19,0,0,0,38.85905315590844
29,32,10,12,0,0,1,49.0558298162554
25,23,7,22,0,0,1,51.818415449692495
44,19,8,9,1,0,0,35.09649280962324
30,16,11,13,1,0,0,40.346731300208674
27,19,13,17,1,0,1,51.58368194839556
27,22,3,16,1,0,0,40.819750951383696
34,15,5,9,1,1,1,45.71647373608727
28,12,9,19,0,1,1,50.90930782196919
34,20,14,9,1,0,0,37.69168975912388
24,25,9,13,0,0,0,41.24896381495294
40,19,8,16,0,1,1,44.62089115766445
18,20,7,12,0,0,1,51.59048286691808
18,15,8,6,0,1,1,53.67918930597755
33,32,9,6,1,0,0,36.583929912159526
34,19,11,11,0,1,1,48.02175519958893
28,5,11,10,1,1,1,48.84292303008409
34,25,11,10,0,1,1,47.64623503442043
28,22,10,15,0,1,1,52.97285735047272
28,15,15,19,1,1,0,44.81788960017692
22,25,7,18,0,0,1,52.88765056365799
44,23,5,16,1,1,0,37.487064066539006
30,23,6,6,1,1,0,39.16725359044238
34,21,12,16,1,1,1,50.41198351217265
33,13,10,13,1,0,1,44.45405388547854
33,31,9,13,1,0,0,39.439100425100975
26,15,14,13,1,0,0,42.73006219415046
17,16,5,11,1,1,1,53.01825034783051
32,29,7,15,0,1,0,42.35783598429062
21,5,7,12,0,0,1,50.55791549056856
33,21,9,10,1,0,1,46.82517300465584
26,12,8,17,0,0,1,49.30102255518453
29,19,10,2,1,1,1,48.63291181047006
36,3,7,14,0,1,0,39.57941176467299
31,21,14,16,1,0,0,42.06876733079832
38,16,10,0,0,0,0,35.28222536378236
37,23,10,18,1,1,0,40.19324235685489
28,28,6,16,1,0,0,40.641509587935296
44,20,10,14,0,0,0,37.81679571450574
35,14,8,19,0,0,1,47.17446459143231
32,26,9,12,0,1,1,50.07850295122661
43,18,9,9,0,1,1,45.1759467168573
9,26,4,4,0,0,0,45.42511009670624
23,13,11,15,1,1,1,52.49111843418215
27,14,15,12,1,0,0,43.09875356080538
23,20,8,5,0,0,1,46.99836380692644
24,34,10,15,1,0,0,44.77670723642024
26,23,11,7,1,1,0,42.08556539562847
28,21,12,12,0,0,0,42.68288137060559
39,14,15,8,0,0,0,38.29342516889317
21,14,10,11,0,0,0,44.84156625899176
17,32,4,22,1,0,0,46.49120332004883
31,21,6,13,1,0,0,39.20150800470993
34,24,9,19,0,0,1,48.31059197101844
38,11,10,10,1,1,0,38.92692640290348
29,17,13,15,1,0,0,41.00723703939317
27,28,10,16,0,1,1,51.11761621959766
29,18,7,12,1,0,0,40.84775207880581
21,21,8,14,1,1,1,53.51194485608853
23,24,2,8,0,1,0,42.36746806290381
41,16,15,17,0,1,0,40.38010272384541
43,12,11,13,1,0,0,36.22628915841412
21,11,7,11,0,0,0,41.99426550324053
39,10,9,18,0,0,1,44.7238690711738
38,35,5,10,0,1,0,38.27138017579657
40,25,6,15,1,0,0,37.88005430709213
22,21,11,14,0,1,0,44.48651341393722
25,19,9,21,1,1,1,53.58353719420697
5,29,9,16,1,1,1,57.43361817623158
22,15,10,11,1,1,1,51.19385990606237
25,14,11,20,0,1,1,53.224868054222895
37,7,10,6,0,0,1,45.36097872985269
27,25,12,10,0,0,0,40.74821522580086
20,24,11,10,1,0,0,44.00002477759641
44,12,9,14,1,0,0,35.12130655558
28,20,7,21,0,0,1,50.93462516561165
36,12,10,17,1,1,1,48.76741799164436
32,21,14,18,1,1,1,49.740823823291976
31,11,4,22,0,1,0,42.28594213286098
18,29,11,14,0,0,1,53.33237329972607
31,22,11,11,1,1,1,48.302104692302166
31,23,4,13,1,1,0,40.90504754674213
33,19,5,12,0,0,1,46.54543075759685
23,11,10,22,1,1,1,56.02329762379159
35,17,8,7,0,1,1,46.57287358113278
24,21,11,15,1,0,0,42.5160635956404
35,21,6,13,0,0,0,39.54130052545888
39,19,11,16,0,1,0,40.09392082051741
37,18,12,17,0,0,1,47.692844568946605
29,21,4,9,1,0,0,38.7151617511765
24,9,7,8,0,1,1,50.293131611640135
27,13,10,10,1,1,0,41.71446455852176
24,28,10,16,1,0,0,43.03552719635773
32,22,7,24,0,1,1,50.489851527714855
33,24,10,19,0,1,0,39.788690970338266
29,15,14,17,0,0,1,50.18455524595281
23,14,9,16,0,1,1,52.3690380512709
36,24,7,14,0,1,1,47.90238187130751
44,21,12,11,0,0,0,36.71737692578717
32,14,8,20,1,0,0,41.263587876345504
11,14,12,12,0,1,1,56.25924157290832
23,15,13,19,0,0,1,53.29109100422444
30,20,5,5,1,1,0,39.64221564862552
17,9,6,1,0,0,1,49.67069029323182
31,21,10,22,1,1,1,48.90710267491454
25,23,9,18,0,1,1,52.81549373762248
29,20,17,10,1,1,1,50.1811720743485
32,13,11,16,0,0,1,49.506232333780105
29,11,11,3,0,1,1,47.12594829974053
28,31,9,22,1,1,1,52.266999395357296
40,24,7,10,1,1,1,46.15739596215965
20,26,9,14,0,0,1,53.3901930234108
44,29,7,18,0,0,0,37.75197998452642
20,16,10,5,0,0,0,43.95480658486557
31,21,9,15,0,0,0,41.5789811493649
33,36,7,6,0,1,1,46.50111741484201
25,23,10,7,0,0,0,41.33099935024959
40,22,12,12,1,0,0,37.818892446238166
28,15,11,18,0,0,0,43.54186756820651
24,14,7,16,1,1,1,49.790771395072376
31,18,5,18,1,1,1,49.60878586482406
28,11,12,6,0,1,1,49.95689839739431
26,16,16,16,0,0,1,51.03512616036922
29,20,10,13,0,0,0,41.40001656257144
28,17,9,12,0,0,0,40.75878499656806
28,24,10,13,1,0,0,41.5232027275141
23,17,10,15,0,1,0,43.02028638085166
32,21,6,12,0,1,1,47.0718804522425
20,21,8,22,0,1,1,53.95802805365028
37,23,12,12,1,1,0,40.487167856834574
30,29,7,8,0,1,1,49.99145463401938
23,27,-1,5,0,0,0,40.02229045151407
32,19,12,25,0,1,1,52.4040690325218
27,28,14,19,1,0,0,42.9090865396895
21,17,6,-1,1,0,0,39.59201656687888
33,12,9,3,0,0,0,39.45627482312358
24,20,7,21,1,1,1,52.07482887636358
22,14,9,14,1,0,0,41.12124775570623
31,15,7,11,1,0,0,40.72834649267015
35,16,10,14,1,0,1,46.93562173944764
41,20,11,16,1,1,0,40.85293196126903
21,15,9,13,0,0,0,43.33828709155255
26,19,11,4,1,1,0,41.84835920350481
21,29,15,11,1,0,1,51.26988868681208
33,25,12,13,0,1,0,41.20893478261568
28,18,10,16,0,1,1,50.99442789934575
38,25,8,15,0,1,0,39.44991563776591
24,20,12,21,0,1,1,54.78179485368331
28,25,11,19,0,1,1,50.79624749847189
22,26,9,14,0,0,0,44.489659528323976
29,12,11,12,0,1,1,48.927864442986255
31,36,12,12,0,1,0,42.66439067076529
