education_years,age,gender,minority_status,local_unemployment_rate,job_training_hours,annual_income
7,35,1,0,8,46,182.10314760251933
10,28,0,1,7,44,179.1883905615985
7,30,0,0,11,45,179.60367819965157
14,31,0,1,9,48,194.68771083143017
14,29,0,1,8,45,183.1290271264829
9,29,1,0,7,43,176.74655651023264
7,30,0,0,9,43,176.13503649256475
14,29,0,0,9,45,183.50562846265584
10,31,1,0,8,44,178.81271740642453
6,30,1,0,10,44,177.61373776593305
4,29,1,0,4,43,176.02454826895016
10,28,0,1,9,45,182.83116985849517
18,25,0,1,9,46,189.23255406404493
8,27,0,1,6,41,171.14602758123752
6,30,0,0,8,46,186.94664717133676
6,27,1,1,10,44,180.69401117322988
14,26,0,0,5,44,186.61260565224984
13,32,1,1,6,48,193.7760567695963
7,32,0,1,7,44,178.0602331852419
14,30,0,0,7,45,185.5589220250272
7,27,1,0,7,42,172.56691142294238
11,27,1,0,9,47,190.9506030452057
7,29,0,0,9,43,175.47608091364916
5,33,0,0,10,44,172.4052269924112
9,32,0,0,7,43,173.43097852212233
9,35,1,0,5,45,178.88852498521496
9,32,0,1,9,44,178.92391824767776
9,31,1,1,12,49,196.42313990647784
14,29,0,0,8,46,187.41518577176237
10,30,0,0,8,45,184.7935617706025
14,29,1,0,4,43,177.90932255069373
8,31,0,0,6,43,174.7609669983077
14,34,1,0,6,45,181.04175979162144
10,31,1,0,10,47,187.34043179448807
9,30,1,0,6,44,180.2584219225338
6,29,1,1,10,46,184.2696028260568
4,26,0,1,2,39,163.5100556647889
8,28,0,0,8,43,176.326532257064
10,33,1,1,7,48,189.07501076547985
11,32,0,0,8,46,183.55781258894405
13,31,0,1,10,47,187.72224321279847
9,31,1,1,8,47,190.21856850627813
5,30,1,0,5,42,169.35154396447115
9,26,1,1,10,44,178.9425742885331
6,28,0,0,10,43,175.37633818256228
11,30,1,0,9,46,185.3695522727236
11,23,1,1,4,44,186.0650158036452
6,28,0,1,8,44,176.50454771063747
9,31,0,0,7,46,183.5274275293312
15,30,1,1,7,43,174.18935523776292
7,32,0,1,7,44,174.91508390192843
8,33,0,0,11,47,186.01255809551537
9,31,0,1,11,47,186.71538938377216
9,30,1,0,9,48,193.3481672744928
8,28,0,0,8,44,184.46692972120624
10,28,0,1,8,46,187.32063225884983
6,29,1,0,8,45,183.5197511172153
14,30,0,1,6,46,186.12531312707355
12,28,0,1,11,47,190.97904502951687
5,36,0,0,3,43,171.684064225883
5,27,0,1,8,44,178.9370046128075
9,27,1,0,5,45,187.8181530732452
9,29,1,0,4,42,172.69289095423449
16,28,1,1,10,46,186.7516997471994
5,28,0,0,8,42,170.00516402927082
8,27,0,0,10,45,183.4203538396796
7,31,1,0,9,47,190.22710285248175
10,30,0,0,8,44,175.9946006598528
13,33,0,0,10,48,187.47476860428816
8,33,1,0,8,46,184.6937260715139
5,29,0,0,9,45,183.77567681474827
11,31,1,1,12,49,196.9540606313465
8,28,0,1,4,43,177.07226181504393
11,28,0,0,6,44,182.09014102666845
11,28,1,1,7,43,177.5875918993042
10,28,1,0,10,47,190.59087922136212
11,30,1,1,7,44,176.85951130938216
7,31,0,0,5,43,176.5820670103101
12,28,0,1,6,42,172.9032659864931
12,27,0,1,7,43,178.41715048096736
10,29,0,1,6,45,181.575726445335
11,30,1,0,12,50,202.8651857281743
7,26,1,0,8,43,180.32515914070385
10,31,0,1,10,48,192.8319935055717
13,31,1,1,7,48,191.51801708442525
12,29,1,1,7,44,179.6519552820758
7,33,0,1,6,45,180.99341328485124
13,31,0,0,10,47,188.57014372898945
6,30,1,1,5,42,171.24918908369764
10,28,1,0,9,45,184.0068541206172
12,32,0,0,11,49,194.6601044948056
10,30,1,0,7,46,188.10542196194368
9,33,0,0,7,45,179.44810414918155
9,28,0,0,7,46,187.5177132980938
8,34,0,0,7,45,179.485596134141
10,26,0,1,10,46,185.98489295359536
7,26,0,0,7,43,178.85010121757114
14,28,0,0,10,46,185.9548454881493
9,26,0,1,8,42,173.49947221934815
11,29,0,0,10,44,178.51027142524305
14,32,0,1,7,45,176.4611615049047
7,30,0,1,5,41,166.85603455225188
9,26,0,0,7,43,176.4117681878586
11,32,1,0,14,50,196.92362510428163
10,33,0,1,14,49,191.23774953897345
9,29,0,1,6,43,176.75620272908623
11,31,1,0,4,43,172.28953429093602
10,29,1,0,6,44,179.93685256078342
8,30,0,1,8,44,178.68130381156624
14,30,0,1,9,50,202.21432080874587
8,27,0,0,10,43,175.20623858920226
8,29,0,0,7,41,168.8720749726507
9,29,0,1,8,45,180.35870208421417
16,29,0,0,6,42,175.72421492411456
6,32,1,0,10,48,191.22222693642425
13,29,0,0,6,44,179.5993831643769
12,34,0,0,6,46,184.376900227207
7,28,1,0,9,42,170.66241727981023
6,27,1,0,6,42,175.52328272919394
8,28,1,0,7,41,170.06121883153438
15,26,0,0,6,43,179.98543777158002
8,30,1,0,5,40,163.1693195697853
9,27,1,1,10,46,188.67984780714264
7,31,0,0,10,47,188.59365563402315
11,27,0,0,8,48,196.6420932612436
10,28,1,0,10,46,187.00873039390945
14,31,1,1,4,44,178.75411004712032
5,27,0,0,8,40,167.93255471777272
11,29,0,1,3,43,176.46716751838247
9,30,1,0,9,44,179.0541093342313
9,29,0,0,8,44,179.07868449607835
10,31,1,1,9,48,191.3076862568563
13,29,0,0,9,44,178.53533715533882
11,30,0,0,9,44,175.41272510461835
10,30,0,0,6,44,178.36283655859788
5,32,1,0,9,46,186.08615124864653
9,30,0,0,10,45,181.42870642007665
12,31,0,0,10,45,178.97370741508342
6,29,0,0,8,43,174.10889338392732
12,33,0,0,7,45,179.10886494620183
15,30,1,1,8,46,183.3877090249828
9,29,0,0,7,42,172.55348400420718
12,31,0,1,8,46,183.21160450363732
6,27,1,0,9,42,174.3137163502335
8,29,1,0,10,47,187.44562206482263
10,28,1,0,6,43,177.15063793598648
11,28,0,1,4,43,180.12198627399405
8,30,1,0,8,44,178.41614348221856
8,29,0,0,9,45,185.07026278297053
9,26,0,1,8,44,182.93036042890472
8,30,1,0,6,44,178.69160075936662
11,27,1,0,8,44,181.7325581537195
10,30,1,0,5,43,174.11555810207767
14,35,1,0,8,47,185.55524624315797
13,30,1,0,9,46,184.3683533097084
11,29,0,1,7,48,194.47251722961053
10,30,0,0,6,43,176.71264537940576
9,25,1,1,7,42,175.48018560890287
8,29,0,0,10,45,183.6104908047429
4,30,0,1,4,42,171.50433400938542
6,32,1,1,7,45,180.0491410158036
10,26,0,0,7,44,181.99457885400705
10,30,1,0,12,48,192.56042402852125
7,31,1,0,12,47,184.51543368800043
3,33,1,0,10,45,176.82064859959274
9,29,1,0,9,46,184.7684529228476
8,34,0,0,6,43,170.80275739339015
5,30,0,0,8,44,179.1395413327643
8,30,0,0,11,45,182.3785432566074
11,33,0,1,10,50,198.68991789999083
13,29,1,0,6,43,177.37082377717115
13,32,1,1,7,47,190.44528112289365
6,28,1,0,7,44,181.8439603599358
12,32,0,0,12,48,191.1437112346553
13,31,1,1,7,50,203.13599180165235
12,34,0,1,1,44,177.1224666829559
10,30,1,1,9,47,189.02984480634092
6,31,0,1,6,44,178.189084599079
11,30,1,0,7,46,186.37822168330567
6,32,1,0,7,44,177.33325369524113
6,30,1,1,7,44,179.7116477051148
11,26,0,0,9,44,181.32346599422772
10,31,0,1,7,44,178.38446629740392
14,30,0,1,9,47,190.9883815370068
16,26,0,0,6,44,181.9082240346237
11,27,0,0,6,45,186.8167321820753
4,30,1,1,9,44,176.55156109226226
13,27,1,0,7,44,183.9070929353419
11,30,0,0,9,43,173.44766782654443
10,31,0,0,9,46,184.27295850397496
6,34,0,0,7,44,177.1966455098327
13,29,1,1,8,46,187.9709874955465
9,29,1,1,8,45,185.11666482385868
6,28,0,1,11,43,173.28221695034193
12,34,0,1,5,46,182.39039309874963
11,28,1,0,10,46,189.768037736633
9,28,0,1,7,46,185.5902282191207
10,33,0,1,8,47,185.86178263407027
9,27,1,0,10,46,186.56224824472648
3,27,0,0,7,40,165.59927279907183
9,29,0,0,8,45,186.10967323343408
9,29,0,0,9,45,182.92288477568292
7,29,0,1,9,43,172.75832100394976
7,30,0,0,9,46,184.6502881925337
8,28,0,0,6,40,166.50385611994372
10,28,1,0,11,45,182.3400405285392
12,30,1,0,6,46,184.5097417096663
7,27,1,0,10,43,175.48706159544452
12,31,0,1,11,45,180.1585570689578
5,26,1,1,10,44,183.6596443193295
5,31,1,0,8,44,176.52750355138556
10,28,1,1,6,48,195.96903141030725
11,31,0,1,11,46,184.3628310325192
6,30,0,0,7,43,173.78938449642288
14,36,1,1,5,45,177.2672585665961
5,23,0,0,9,38,162.54694973515672
9,30,0,1,5,44,178.03933352436556
5,30,0,0,10,43,173.9043661901619
7,29,0,0,7,44,178.52000667169568
4,32,0,0,9,46,184.04443545986808
7,32,0,1,7,44,176.15798621437176
6,28,1,0,6,44,182.6575431293628
7,30,0,0,8,44,179.82666653999064
7,29,1,0,6,42,175.2837978401978
10,30,0,0,7,43,174.4091542999453
11,30,1,0,7,44,179.28586016039182
10,26,0,0,13,45,182.83421236536145
8,26,0,1,6,43,178.50603998490297
10,30,0,0,7,43,174.2418398854943
13,32,0,0,10,47,188.4983168770308
6,31,1,0,7,45,183.5147332652418
8,28,0,1,8,45,182.1632798307179
7,28,1,0,3,40,165.3376801024794
7,34,1,0,7,48,191.33594115532617
6,30,0,1,8,44,181.4628335868832
9,30,0,1,7,44,176.9440895557991
7,35,0,0,6,45,176.3297747598638
9,30,1,1,12,44,178.15564301356986
9,29,1,0,8,44,178.3166443252189
14,31,0,0,7,48,192.66628006050223
7,33,1,1,5,45,178.35612081960082
10,34,0,0,11,47,183.593714277034
5,30,1,0,6,43,175.62926537293285
9,28,0,0,6,42,172.10434653681892
5,32,1,1,4,42,168.78678794829756
10,27,1,1,10,46,187.5356926333756
8,28,1,1,8,46,187.99351003700343
12,29,0,1,8,44,178.33063974707275
8,29,0,1,9,44,178.75663013926032
7,30,0,1,11,47,187.5488553028064
5,32,1,1,8,44,176.57031101412147
6,29,1,1,7,45,182.24248215256569
10,26,1,0,7,44,184.5419190792382
12,28,1,0,6,42,173.22094815738166
10,27,1,0,5,42,174.64797088320603
11,32,1,1,9,47,188.6052117355662
5,29,0,1,7,44,177.8075002436289
7,27,1,0,9,45,182.8134969002816
5,28,1,0,4,39,160.18544162304545
9,26,0,1,6,44,183.27645255194653
2,30,1,1,9,41,166.35593621127165
9,31,0,1,5,44,179.63189747263732
12,28,1,0,4,44,184.63470480933557
11,32,0,1,8,45,179.03876090811448
10,29,0,0,10,46,185.4792070166692
12,31,0,0,8,47,189.14027881453248
15,29,0,0,9,48,197.16999821627337
13,28,1,0,9,46,188.61415416194544
13,30,1,1,2,44,178.3015481544933
9,30,0,1,9,45,182.81153965299583
6,30,1,1,7,46,187.80223839525317
14,33,1,0,8,49,194.1968057995169
11,29,0,1,14,48,192.63851260804032
10,28,1,0,7,45,182.6427181353458
18,31,0,0,4,44,177.80983350821165
14,28,1,1,8,48,194.8161012294361
9,28,1,1,6,45,185.61911447196096
11,30,0,0,11,46,186.21198431777185
12,30,1,1,9,49,194.71385210509789
16,31,1,0,3,44,178.12348551206657
6,28,1,0,9,41,170.5315989029909
13,30,0,1,6,42,169.35491877206996
14,32,0,0,5,45,177.68411398722688
14,32,1,1,8,47,188.5166393233491
11,23,0,0,9,42,175.97427785394424
9,27,0,0,5,43,178.71474293042002
5,31,0,0,5,41,165.32376566560572
6,29,0,1,8,43,174.86132088246745
12,31,0,0,6,44,178.67203960247627
12,29,1,1,6,44,179.31110525001492
15,29,1,0,10,46,187.69519905205655
9,29,1,0,11,48,193.2877138805748
9,33,0,1,3,41,167.319610303018
12,32,1,1,7,45,181.5369965846577
11,28,0,0,4,44,182.22124796340424
6,34,0,1,6,44,176.28314715323276
12,25,1,1,7,47,196.98470001442496
6,29,1,0,6,42,171.2442628785056
9,32,1,1,12,47,188.9028481726996
10,29,1,0,3,43,177.01354465713052
14,28,1,0,7,45,184.75177239393784
14,30,1,1,6,46,186.20068260918663
