education_years,job_tenure_years,union_member,female,training_invited,training_attended,annual_income
5,2,0,1,1,0,52.25165120775471
3,3,0,1,1,0,52.75278639670226
1,3,0,0,1,1,61.28785470205133
0,3,1,0,0,0,50.80243085339345
7,3,0,1,1,0,53.41106331326092
4,3,0,0,1,0,52.76487400985487
2,3,0,0,0,0,50.84093492379854
3,2,0,0,1,1,60.95006040867829
3,3,0,1,0,0,52.67120661286993
2,3,0,0,1,0,51.72691195458548
6,2,1,1,1,0,52.20115408427436
2,2,0,0,0,0,51.8755332051919
3,2,0,1,0,0,51.915480087674986
7,2,0,0,0,0,50.84688766786326
3,2,1,1,1,1,61.1700074997585
2,3,1,0,0,1,61.051788351652405
2,2,1,0,1,0,54.53324122786035
5,2,0,0,1,0,52.05760224074566
1,2,1,1,1,0,51.50538581774998
5,3,0,0,1,1,62.55188754124693
4,2,1,0,0,0,53.27850803210817
0,1,1,0,0,0,52.44271699562515
4,4,0,0,1,1,60.81970999111328
4,2,0,0,1,0,50.46607596211046
7,2,0,0,0,0,51.0047687410375
7,3,0,0,1,1,63.307913710996
3,2,0,1,1,1,58.15477676800201
2,2,0,1,1,1,63.81392916367477
0,2,0,0,0,1,61.58955864981982
3,2,1,1,1,1,62.09520763736524
5,3,0,1,1,1,63.966772439092914
4,3,0,0,0,0,52.53974512686595
0,2,0,1,0,1,59.882098115145
4,3,0,1,0,1,62.36476193155718
7,2,0,1,1,1,62.23979537235528
-1,1,0,0,0,1,60.008919657822375
1,2,0,0,1,0,54.42085603425559
0,3,1,0,1,1,60.4041755084281
8,3,0,1,0,0,51.31019868155654
7,3,1,0,1,1,60.30007677377273
5,3,1,0,1,0,51.51679355112541
6,3,0,0,1,0,52.23751911316902
5,3,1,0,1,1,60.46602283210723
5,2,1,0,1,0,53.47313284622581
2,2,0,0,0,1,63.38546616640199
3,3,0,0,1,1,61.00884010846582
2,3,1,0,1,1,62.23073107714579
5,4,0,0,1,0,52.454129227189945
5,3,0,1,1,0,53.72164288476228
4,2,0,1,0,0,50.97107017339875
4,2,1,0,0,0,52.5867724159731
5,2,0,0,0,0,51.78940220645802
4,2,0,1,0,1,62.83865149824968
0,3,0,0,0,1,62.48424730324314
2,2,0,1,1,0,53.23557934873392
5,3,0,0,1,1,62.86194894904767
7,1,0,0,1,0,52.26163020779968
7,4,0,0,0,0,52.10732728741133
1,3,0,0,1,0,52.14593558047503
2,3,0,0,1,1,61.85402691986158
3,3,1,0,1,0,53.14024627299704
7,2,1,0,1,1,61.45135416289341
6,2,0,0,1,1,62.465603561779616
6,3,0,0,1,1,60.734529278101135
2,3,1,0,0,1,59.68212321669856
0,2,0,0,1,1,62.17932303973942
3,3,1,0,0,0,53.43799683977211
3,3,1,0,1,1,61.13649115633234
3,3,1,0,0,1,62.04473193770814
5,3,0,0,0,0,52.40188739397431
6,3,0,1,1,1,60.723282897286815
6,3,0,0,1,1,60.18223007692488
5,2,0,0,1,0,53.24678404433909
2,2,1,0,1,1,63.162400940432704
3,2,0,0,1,1,61.50775084073153
2,2,1,0,1,0,51.857896632722905
5,3,0,0,1,1,60.20192135358844
3,2,0,1,1,0,52.64759914497901
4,2,0,0,1,1,63.12343400064691
5,3,0,0,1,1,61.44001180000144
2,3,0,0,0,1,61.58004121713257
3,2,0,0,0,1,63.61011941578746
7,2,0,0,1,0,52.570740961822
5,2,0,0,1,0,49.84125071481055
4,2,0,0,1,0,52.68597247375203
4,2,1,0,0,1,63.430821460780905
4,2,0,1,1,1,62.206099372422926
3,3,0,0,0,0,52.24464635657579
2,3,0,0,1,1,60.63264659970456
2,2,0,0,1,1,62.92133780930462
4,3,1,1,1,0,53.07959282175395
3,3,0,1,1,0,53.59918053961504
3,2,0,1,1,1,63.95414820346976
4,2,0,0,1,0,53.217543843855154
1,2,1,1,1,1,61.005535336735896
5,3,0,0,1,1,61.05330191248341
3,3,0,0,1,0,52.210896020469
7,3,0,1,1,1,63.18738452383357
0,2,0,0,1,0,52.57799261761775
2,1,0,0,0,1,61.02114604104257
2,2,0,0,0,1,60.39765580187595
4,3,0,0,1,0,52.84666813566689
8,3,0,0,1,0,50.176784896905005
1,3,1,0,1,1,61.47509980150701
3,2,0,0,0,1,61.479746241048765
0,3,0,0,1,1,61.56117843773123
5,2,0,1,1,1,61.45328380535683
5,2,0,0,1,1,61.352040017002444
7,2,0,0,1,0,52.48729682166636
0,2,1,1,0,1,62.19855571299235
6,3,1,0,1,0,52.04991519728129
2,3,1,0,0,0,50.920674982964
5,3,0,0,1,0,51.57274682013561
5,2,1,0,1,1,61.1855641875574
3,2,0,0,1,1,62.23632526289147
1,2,0,1,1,1,61.46822407850809
0,2,0,0,1,1,62.29026018323993
2,2,1,1,0,1,62.69982810013229
4,2,0,0,1,0,54.25207970899429
3,2,0,0,1,1,60.33851907034881
4,3,0,0,0,0,51.444245610054445
8,2,0,0,1,0,53.09201242494748
4,3,1,1,0,1,63.75061903196243
3,2,0,0,0,0,53.246479432003575
5,4,0,0,1,0,52.14270065180299
2,3,0,0,1,1,63.31089019314379
4,3,0,0,0,0,53.244766325694734
2,2,0,1,1,0,53.065139064361546
2,2,0,0,1,1,61.73225330502362
3,2,0,1,1,0,52.25307690378581
5,3,1,1,1,0,51.7891198313291
6,3,0,0,1,0,54.26279458239516
0,3,1,0,1,1,59.501596827056005
5,3,0,1,0,0,52.77115128926637
4,3,0,1,1,1,59.99153159510915
5,3,0,0,0,0,54.30582593009468
1,3,1,0,0,0,51.04892706423541
0,3,1,0,0,1,62.43647440712926
3,3,1,0,0,0,53.05080454258393
5,2,1,0,0,0,52.42704659368458
3,2,1,0,1,1,61.98298527093741
7,2,0,0,1,0,52.77262374562479
2,2,0,0,0,0,52.22787572514572
3,2,1,0,0,1,61.025225750960615
5,3,0,1,0,0,53.399377825235696
4,2,0,1,1,1,63.16894083988133
5,2,0,1,1,1,60.992108540229445
4,3,0,1,1,0,52.20669162122792
5,2,1,0,1,1,61.847383365060246
4,3,1,1,1,1,61.81874827644471
7,2,0,1,1,0,52.76053110516597
4,3,0,0,0,0,53.70519687015703
4,2,0,0,1,1,59.62693514232499
2,3,0,0,1,0,50.12107920033491
0,3,0,0,1,0,50.53032942245287
4,3,1,0,0,0,52.50991336454272
4,2,0,0,1,1,59.54357729039416
-4,3,1,1,1,1,62.76075622613705
7,3,0,0,1,0,53.920096904946014
1,2,0,0,1,0,52.11679144424037
7,2,0,0,1,1,62.648454631882274
5,2,1,0,0,0,52.9175980200488
5,4,0,0,1,0,53.250409457179366
5,4,1,0,1,0,51.99231871412511
5,3,0,1,1,1,61.07254290318822
2,2,0,0,1,1,61.91499958894584
2,3,0,1,1,1,60.61348507774281
3,2,0,0,1,0,51.80353932572772
4,2,0,0,1,1,60.920120379059895
6,3,0,0,0,0,51.25617465791146
2,3,1,0,0,1,60.88454476435058
5,3,0,0,1,0,52.3179371371644
2,2,0,0,1,0,50.82407770829497
6,3,1,0,0,0,52.343098200257245
3,2,0,0,1,0,52.20736554479396
3,3,0,0,1,1,63.34253202769504
2,3,1,1,1,0,53.51637255265266
7,3,0,0,0,0,52.11629384108476
5,2,0,0,1,1,61.21139890818268
7,3,1,0,1,0,52.38941484320899
6,2,0,0,0,1,61.10723236312099
5,3,0,1,1,0,52.64411430322236
6,2,0,0,1,0,52.06439601016684
6,3,0,1,1,0,52.958395093059565
6,3,0,0,1,0,51.62172433381961
6,2,0,1,1,0,53.19637650669281
2,2,0,0,0,0,52.14582272826652
4,3,0,0,0,0,52.6319306426917
0,3,0,1,1,1,61.615696361560175
2,3,0,1,1,1,63.130264799654974
3,3,0,0,0,1,61.27671312002155
2,2,0,1,1,1,61.86685934141222
2,3,0,0,1,1,61.62224650494456
2,2,1,0,1,0,50.66229598580192
6,2,0,1,1,0,53.992651867547295
3,3,1,0,0,1,61.14943766365336
2,2,1,0,0,1,60.50292804969412
3,3,0,1,1,1,61.00996470090513
1,3,0,1,1,1,62.76034408471628
1,2,1,0,0,0,53.04641093658247
1,3,1,0,1,1,61.24638647068481
4,3,0,0,0,0,51.34149129008284
2,3,1,0,0,0,52.12445965701994
5,2,0,0,1,1,62.30783551288141
6,3,0,0,0,0,50.38426277463603
8,3,0,1,1,0,50.94587733718844
6,2,1,1,1,0,52.81096558287459
3,2,1,0,0,1,59.27892407888734
5,3,0,1,1,1,62.0329146426759
5,2,1,0,0,0,51.68984324106293
3,2,0,1,1,1,62.79051719005956
4,3,0,0,1,0,53.049761386595854
5,2,0,1,1,0,53.36215246149017
3,3,0,0,1,1,59.918661880092365
6,2,1,1,1,1,61.816592791649576
2,2,0,1,1,0,53.21077652271678
4,2,0,0,1,0,51.43547733886083
4,2,1,0,1,1,61.52755423442447
1,2,0,0,1,1,60.655169340711424
6,4,0,1,1,0,52.12032071325154
0,3,1,0,0,1,63.473232681905465
3,2,0,1,1,1,61.224295997336455
4,2,1,0,1,1,62.24393605383423
4,2,1,0,1,0,50.58456363375567
5,3,0,1,1,1,61.23063859016855
0,3,1,0,1,1,61.807314140438216
5,2,1,1,1,0,52.94526174997619
4,2,0,0,1,0,53.79458259986522
5,2,0,0,1,1,60.9715667958956
5,3,1,1,0,0,53.39381436423329
8,2,0,0,0,0,51.191828632224656
1,2,0,0,1,1,60.375226538670354
0,3,1,0,1,0,52.84514420472473
5,2,0,0,1,1,59.64382392367642
-1,1,0,0,1,0,52.92998377192333
2,3,0,1,1,0,52.320994298450856
8,2,0,0,1,0,53.93200463022214
5,3,0,0,1,0,51.72584613567289
2,3,1,1,1,1,61.60071192341661
4,2,0,0,1,1,61.280203698101744
0,2,1,1,1,1,62.67913727693781
2,2,0,1,0,1,60.92328018627359
2,2,0,1,1,0,54.36773956629579
2,3,1,0,0,1,60.75192708673853
3,3,0,0,0,0,51.37800976952555
2,2,1,1,1,1,62.73518516747153
4,2,1,0,1,0,51.3476992514838
3,2,0,1,1,1,61.932688443183686
3,3,1,0,1,0,49.99793402750248
6,3,1,1,1,1,61.16239111773207
3,2,1,0,0,0,52.50375178682179
2,2,0,0,0,0,51.38849888781984
4,2,0,0,0,0,51.88525328831168
3,2,0,0,0,0,52.24514854917855
2,3,0,0,1,0,53.03806713614348
3,3,1,0,1,0,52.64202012589493
4,3,0,1,0,1,61.497724810850976
3,2,0,1,1,1,61.99278837935064
2,2,1,1,1,1,63.45391423471783
4,2,1,1,1,1,62.28247490700441
2,4,1,0,1,0,51.49023111320572
1,3,0,0,1,0,52.96182245985746
3,2,0,0,1,1,59.79347691851724
5,3,0,0,1,0,50.79017718138076
6,1,0,0,0,0,53.31201264979435
7,2,0,0,0,0,52.05231397895154
4,3,0,1,1,0,51.37420585356477
3,3,1,0,1,1,61.988824093990175
0,2,1,0,1,1,60.13837035456309
2,2,0,0,0,0,51.31764371505318
1,3,0,0,1,1,61.781087543343205
2,2,0,0,0,0,52.95176553054296
0,2,1,0,1,0,52.19455064745211
1,2,1,0,0,0,50.64800981357694
3,3,1,1,0,0,51.53419561094973
6,1,0,0,1,1,64.29068765315354
3,3,0,1,1,1,61.99958484992279
2,3,0,0,1,1,61.80042597789279
2,3,1,0,0,1,60.64618438414495
3,2,0,1,0,1,63.68318044451064
0,2,0,0,1,1,59.979042632729126
6,2,1,1,1,0,53.017312261995606
7,2,0,0,1,1,62.3737840810133
5,1,0,1,0,0,53.49375577718329
0,3,0,1,1,1,61.54224438347832
0,3,0,0,0,0,53.18279276586637
4,3,0,0,1,0,51.10907574883501
3,2,0,1,1,0,53.032270795088834
1,2,0,0,1,1,63.85064147377312
1,3,0,0,1,1,61.26413580291661
6,3,1,0,1,1,60.61904177616847
5,3,1,0,1,0,51.55038792798515
5,3,0,0,1,1,62.20438988918551
5,2,0,0,1,0,51.99126291252364
6,2,0,1,1,0,51.46577170334224
2,3,0,1,0,0,52.89670258724965
4,2,0,1,0,1,63.19577121806522
4,2,0,0,0,1,62.13214347836947
5,2,0,1,1,0,51.58440213176275
4,3,0,0,1,0,53.36977429497384
2,2,0,0,1,0,52.72361428431956
5,2,1,1,0,0,52.121341432351386
3,3,0,0,0,0,53.25510192355682
7,3,0,0,0,0,51.921571638456165
