age,education_years,rural_residence,single_parent_status,local_childcare_availability,childcare_subsidy_received,employment_status
10,27,0,1,8,64,224.2967116304065
5,29,1,1,11,61,214.4825375683097
12,33,0,0,9,72,245.4835204534199
7,30,0,0,6,64,224.28584127175012
8,31,0,1,11,67,234.30698347058535
12,29,1,0,6,66,229.87540697897555
13,29,0,0,6,65,225.57038071452735
5,28,0,0,5,60,211.32566261062016
7,28,0,0,6,59,210.27389412119115
14,30,0,1,9,67,228.40607025300253
7,23,0,0,8,58,204.4602812803158
9,30,1,0,5,67,235.7784943072054
13,29,0,1,8,66,228.1181859929677
9,32,0,0,9,68,234.0958939154374
13,27,0,0,9,63,216.6613149673772
11,32,0,1,7,68,237.319374448522
9,30,0,0,7,64,218.7897577548539
11,26,0,0,6,61,212.36204602261955
6,28,0,0,8,62,220.52480728025503
8,30,0,0,11,68,233.44506909964065
10,26,1,1,10,61,214.0575718368713
7,26,0,0,7,62,219.62227919722693
10,27,0,1,6,60,212.84495326463772
14,30,0,0,8,67,230.0589854153208
7,32,0,1,10,65,226.9016568965513
14,32,0,1,7,69,235.49684508625
13,26,0,1,9,65,227.3535970514937
6,31,0,1,6,61,215.92231452690623
11,29,0,0,6,64,223.49792852946723
9,28,0,1,8,65,230.6123062884349
9,27,1,0,7,63,222.0979636470411
11,28,0,0,7,65,229.675912957105
11,26,0,0,6,63,220.9291147405693
11,31,0,1,7,68,238.91102169565957
10,29,0,0,10,66,228.20551765500724
5,31,0,1,7,61,213.83955959478715
14,33,0,1,9,69,235.01392513508748
14,29,1,1,8,68,232.10775331436105
11,29,0,0,7,64,219.79660502390996
9,28,0,1,8,62,216.47746297202727
10,27,0,1,7,63,222.15624103630103
13,28,0,1,4,62,215.72182652983503
9,29,0,0,7,64,222.64106162702208
12,30,0,1,6,63,216.99412436065975
8,33,1,1,7,66,227.6067210446762
4,28,0,0,9,63,224.81726802619136
0,30,1,0,5,61,220.73164258256384
8,28,1,0,9,66,229.61860663702
7,30,0,1,8,64,224.46698550676535
16,34,1,1,9,74,250.31696554770528
12,30,0,0,7,67,232.922264533918
4,25,0,0,8,56,201.19237239798
14,28,1,0,7,66,226.96163542572629
9,31,0,1,5,64,224.29105988057032
10,31,0,1,9,67,233.5141387833992
5,28,1,0,7,61,217.310468701646
5,28,0,0,5,61,215.0485761703863
14,32,0,1,11,70,240.02374652745897
9,31,0,1,9,64,222.84865627982364
8,33,0,1,8,67,233.3854174319076
12,27,0,0,9,64,222.13214916426605
5,28,1,1,6,61,215.51946394774868
12,31,1,0,13,71,243.4533954038376
9,27,0,1,8,62,219.79273158977293
11,31,0,0,6,65,225.08436015092747
12,28,0,1,11,65,224.4436649155108
8,31,1,0,8,67,231.36894191612552
9,29,0,0,9,66,228.9920716823657
14,32,0,0,6,70,241.4946958760537
16,25,0,1,11,66,227.48122208437053
10,30,1,0,8,66,227.43152488068776
12,29,1,0,7,67,230.54377479739728
18,29,0,0,10,67,226.4848736976268
9,30,0,0,6,63,217.80029493029815
13,32,0,0,7,65,223.5098937630069
7,29,0,0,10,64,223.21554280965955
15,28,0,0,8,64,219.02564546502904
12,33,1,1,5,68,237.62525637677695
10,32,1,1,5,66,231.005543799664
9,30,1,1,6,63,217.9421501139797
12,31,0,0,9,68,235.49016366735825
7,24,0,0,7,60,213.8465381711436
9,31,0,0,10,69,238.59483347400385
8,28,1,0,7,65,228.6903976857243
5,31,1,1,9,63,220.20622600955983
10,32,0,1,13,69,234.61639770318956
9,27,0,0,7,63,219.70201860608591
10,30,0,1,9,66,230.1389542981796
14,25,0,0,5,64,224.91821020693263
12,29,0,1,8,64,220.51382005637544
10,32,0,0,8,68,235.2920597277595
8,29,0,1,10,64,223.8136868730039
7,34,0,0,7,67,231.2451016580302
8,28,0,1,12,65,225.76671766749712
11,30,0,1,8,68,234.3154756968024
7,30,1,0,7,63,227.0105007035036
5,31,0,0,10,63,218.97088704711192
12,30,0,0,8,67,229.3588352173708
8,29,1,1,6,60,210.2178069581397
5,28,0,1,4,59,212.75174115241325
9,33,0,0,5,68,236.4344104868305
11,30,0,0,7,64,221.5607852922611
9,27,0,0,9,64,226.58316789426377
5,28,0,0,11,63,223.45073962310596
11,27,0,1,8,62,216.04664296276115
9,32,0,0,8,67,232.1589987517218
12,29,1,0,6,65,226.7980760320727
7,30,0,0,7,64,225.61973984844224
8,31,0,1,9,63,220.3085008201024
12,29,0,0,6,64,222.7609947654336
8,29,0,1,7,63,222.69370182928623
7,26,0,1,6,58,209.7331797619477
9,32,1,1,7,66,229.18671411227757
12,29,0,0,12,65,222.86737646845975
14,33,1,0,8,73,249.4996227348404
9,30,0,0,10,66,225.12702657101465
13,34,0,0,6,70,238.19169869319705
7,25,0,0,10,61,214.6694320239104
14,32,0,0,8,70,235.6803006373043
11,31,0,0,8,68,235.71805510559105
6,28,0,0,7,61,215.31378994282957
7,27,1,0,7,62,217.3536390562892
8,31,1,0,8,66,228.36040677740627
13,32,1,1,9,71,244.1667164800069
8,31,0,0,5,67,234.43150222984215
5,27,0,0,3,57,204.17913944038847
5,32,0,1,2,60,213.53891645545167
10,31,0,1,6,66,227.9493716173029
9,33,0,0,7,69,240.6988521616694
12,30,0,0,10,68,232.49329247133556
10,26,0,0,5,58,203.3939980082916
9,28,1,1,9,65,226.2645861270669
8,28,0,0,6,63,221.18637131663465
11,28,0,1,11,65,226.10200372661416
13,33,0,0,7,69,236.1680520794967
10,28,0,0,6,62,216.85306699834817
6,30,1,0,3,62,221.0162872005956
8,29,0,1,8,65,227.69873389104427
8,27,0,1,6,62,221.1579555668803
6,28,0,1,6,60,213.80163021102808
9,27,0,0,7,61,212.5864016924125
12,26,1,0,13,65,224.98922701743683
10,35,1,0,8,70,240.80169573289015
7,29,1,0,5,64,226.1500464616196
11,31,0,1,6,64,222.09315254262336
7,27,0,0,8,64,223.1210459046908
13,34,1,1,8,71,241.83646575422875
10,29,0,0,10,65,224.7907401937996
7,27,0,0,9,63,222.48648620625804
10,29,1,0,4,62,218.7851411584377
11,28,0,0,4,61,216.7131906610804
7,32,0,0,5,68,237.6718540395541
12,33,0,0,13,74,250.474401296982
10,30,0,1,9,66,231.18559380324945
11,29,0,0,7,65,223.97344015866727
9,29,0,1,12,65,225.0430101627838
8,27,0,0,8,64,222.8097007428096
10,31,1,1,6,68,235.35268005285695
10,29,1,0,8,65,228.80126936788437
11,29,0,0,7,66,230.2866665899644
11,30,0,0,5,64,222.91804909190847
9,32,0,0,11,70,239.45849276227912
8,32,1,1,8,67,231.15675617362413
7,29,0,1,8,62,218.1012835378192
10,29,0,0,5,63,221.34562071003447
15,30,1,0,6,67,231.0013818347101
7,30,1,1,7,63,222.0531702405353
10,26,0,0,5,62,221.8479156107933
14,29,0,1,6,66,228.1674865807124
8,30,0,0,9,66,231.32575474957144
5,27,0,0,9,63,224.65044123799132
8,26,0,0,6,61,212.84038141498752
8,28,0,0,9,62,218.86980150382232
15,28,0,1,8,65,221.38540835121265
10,33,1,0,7,71,244.2194427993682
6,26,1,0,7,58,207.166581475497
14,30,1,1,4,65,226.86823497766375
12,32,0,0,5,66,226.55198078205024
9,27,1,0,7,62,217.2099911897969
12,27,0,1,8,64,222.91066762688524
8,27,0,0,7,62,220.2941145052607
13,33,0,0,8,70,236.1013201146625
6,27,1,0,7,61,217.9442589919028
7,30,1,0,6,64,222.21854559241905
10,27,0,1,6,63,222.64701144299323
8,28,1,1,5,60,210.78649836254743
11,30,0,0,5,65,224.13310900717235
7,31,0,1,5,63,221.16873660401933
10,30,1,1,7,64,223.0494075046914
7,29,0,0,11,65,227.3441327241128
7,28,0,0,3,60,213.36742638228847
12,33,1,0,7,71,242.83307671019983
11,31,0,0,11,68,233.94607186929596
8,28,0,0,6,63,220.6023600817057
8,30,0,0,8,65,224.86377989188844
13,30,0,0,5,67,231.66696296074244
14,29,0,0,7,63,219.8060301998449
10,29,0,0,6,65,225.47120320834384
10,29,1,1,5,63,220.01664794412432
7,31,0,1,7,65,227.3257744072538
12,30,0,1,11,66,226.08575978986687
12,25,1,1,8,63,220.9039568704692
11,31,1,0,8,71,242.72741159367524
10,27,1,0,7,66,230.1184059014857
12,25,1,0,8,59,204.1332465303024
8,28,0,1,3,58,209.15536719206256
9,31,0,1,6,65,227.6048613889193
7,27,0,1,8,63,222.8268300225504
14,32,0,0,4,69,237.28259073150164
9,23,0,0,10,57,206.1201423884498
11,32,0,0,7,68,234.3929537449774
11,29,0,0,9,65,226.4817729103945
10,24,0,0,8,61,216.25840540040835
15,33,0,1,7,68,229.06854232430777
11,31,0,1,3,65,228.1001179119746
10,30,0,0,7,66,226.3288991787013
15,29,0,1,7,68,230.71171828525684
7,31,0,0,6,64,223.44330463994467
16,29,1,0,7,67,230.76906025873225
8,29,0,0,8,64,223.96513094656885
6,29,0,1,5,64,226.4372709409672
13,32,0,1,8,69,236.39615613719064
12,29,1,1,9,67,233.1858558206267
3,30,0,0,8,62,216.97806511164933
13,30,1,1,8,66,226.49217335696727
12,26,0,0,8,62,215.13791211260903
10,28,1,1,7,61,212.92919698606795
11,29,0,1,3,62,218.35445306568775
14,27,0,0,10,66,229.97687778753505
9,33,0,0,5,68,234.9128853951706
9,33,1,0,6,68,236.08394172166183
8,33,0,0,5,66,226.9864852079668
10,30,0,0,9,67,231.8128741264184
7,33,0,0,7,66,228.63494428239767
7,27,0,0,6,61,216.7616545607469
8,29,0,0,6,62,218.4065271554909
8,31,1,1,8,65,226.4097789390436
9,33,0,0,10,70,238.4691619013053
12,27,0,0,7,63,218.2215355883869
10,30,1,0,5,63,220.8482347494657
9,26,0,1,8,60,214.36523916322
9,30,0,0,9,68,235.05904426618687
3,25,0,0,6,55,199.94918093542307
6,31,1,1,7,66,230.34827807662256
12,29,1,0,9,67,231.65423729513805
9,27,0,1,11,63,217.82842711336704
5,31,0,1,7,62,218.1528395144788
8,30,1,0,8,65,227.26060675935304
8,31,1,0,5,66,233.4084933116337
10,29,0,0,9,64,221.48473244552687
12,33,0,0,8,69,236.51420140210777
16,29,0,0,7,66,224.283444227426
10,27,0,0,7,63,221.22940111029573
9,29,1,0,9,67,232.4965279774905
5,23,0,0,6,55,195.6192381614322
10,33,1,1,3,66,231.6778911933518
10,28,0,0,7,63,217.99889709080537
6,30,1,1,8,63,220.0946558271691
10,27,0,1,8,62,218.72593906718265
7,29,0,1,8,63,220.95595310986357
14,30,1,0,10,68,232.2316944468153
10,31,0,0,6,66,231.2255755944522
14,29,0,1,10,66,228.3806540836009
8,29,0,0,10,66,230.90298871771455
10,31,0,1,9,66,227.8443121238217
8,31,0,0,6,62,219.52020574686057
18,32,0,0,7,72,246.68584847337291
6,30,0,1,7,66,233.2763651554436
7,31,0,1,7,64,223.5894437152256
6,29,1,1,5,61,218.17419142749645
9,31,1,0,7,67,234.37778299978905
11,30,1,0,8,64,220.90035543298268
7,26,1,0,9,62,219.09474158120227
14,30,0,1,7,67,232.07196167727017
8,26,0,0,8,62,218.1544037218932
12,32,1,0,5,67,230.8719801553835
6,29,1,0,12,64,222.1301884493108
9,32,0,1,6,67,232.49097951576465
9,33,0,0,9,69,236.3475265263901
8,30,0,0,10,66,228.65582871422475
13,27,0,0,8,65,223.0944189453439
13,28,0,0,8,63,216.5481813022745
13,30,0,0,5,64,221.6277118986901
8,30,0,0,7,68,235.8590826591335
7,26,0,0,3,61,219.5216422510385
4,29,1,0,7,63,224.96163257184116
11,26,0,0,7,61,214.18342507018815
8,27,1,0,8,64,224.94368719092475
3,28,0,0,10,61,217.93981927724536
9,28,0,1,8,66,229.868950662488
12,30,0,1,9,65,222.194364344712
15,32,0,1,4,66,227.85958404388697
10,30,0,1,7,66,227.46612556859768
10,30,1,0,8,64,222.5269153621372
4,30,1,1,5,61,217.60477637513563
11,30,0,1,9,68,236.6335080739113
12,34,1,1,10,72,247.6760721500864
13,27,0,0,8,65,226.30870550383003
10,28,1,0,8,65,227.1082794846368
11,30,1,0,8,63,218.700328688326
8,29,0,0,6,63,221.78120118883064
13,28,0,0,7,66,230.17905885887768
14,32,1,0,9,69,232.4060829981642
9,34,0,0,9,70,239.3791023847576
