defendant_age,trial_length_days,pretrial_detention_days,prior_convictions,legal_representation,violent_crime,alternative_sentencing,recidivism
22,21,9,1,0,1,1,72.84569802472458
35,18,11,1,0,0,0,72.39740276164034
32,21,6,0,0,0,0,70.59433653120469
29,26,15,0,1,0,0,75.73059026617953
38,22,5,1,1,1,0,73.97654259128984
38,16,11,1,1,0,0,75.36760528924404
21,22,8,1,1,1,1,73.11299962885005
22,30,8,0,0,0,1,75.48178305148876
30,16,10,1,0,0,0,70.64394342846506
27,32,9,0,0,0,1,78.21770246597558
34,8,8,0,0,0,1,72.51890402254638
35,13,11,0,0,1,1,75.65386760021123
34,25,9,0,0,0,1,78.81767465919053
17,21,11,1,1,1,0,67.79490574385095
40,20,16,0,0,1,0,75.95872740165275
27,16,15,1,1,0,1,73.86700695308117
20,30,6,0,1,0,0,71.18835949928996
38,30,10,0,0,1,1,82.8711489741738
25,17,11,0,1,1,0,70.48832391846669
21,24,15,0,0,0,1,75.58073861264275
39,24,9,0,0,0,1,83.38521307681744
26,15,6,1,1,0,0,67.10750530569801
22,16,4,0,1,0,1,70.15814160322358
22,18,15,0,1,0,0,67.84442028406878
27,25,6,1,0,0,0,70.25654543570161
26,15,14,0,0,0,1,72.03359597585026
29,18,12,0,0,1,1,75.97836262356836
27,23,7,0,0,1,1,73.9824755658766
48,29,13,0,0,1,1,87.64110571018364
16,6,10,1,0,0,0,60.5991736867999
19,18,8,0,0,0,0,65.0511783733955
22,20,12,1,0,0,0,68.20955933191334
21,29,8,0,1,0,1,74.23213974262381
34,15,16,0,0,0,1,77.9209135916324
37,11,16,1,0,1,1,78.981058654712
13,22,14,1,1,0,0,64.05526522075522
34,15,14,0,1,1,0,73.39430661356943
28,23,8,0,0,0,0,73.99722212550748
24,14,5,0,0,1,1,68.46402527567558
45,16,11,0,1,0,0,77.6959859226368
31,17,8,1,0,0,0,69.27683539781454
28,12,12,0,0,1,1,72.27234586403809
30,17,11,1,0,0,0,70.39664302799778
48,8,7,0,0,1,0,73.0152041676456
35,5,5,1,0,0,0,66.83325603053291
40,26,9,0,1,0,1,81.24497573174654
32,19,13,1,1,1,0,73.60079284265454
38,20,10,1,1,0,1,79.5648884591299
18,21,7,0,0,1,0,65.27458945611274
32,11,7,1,0,1,1,70.2469383746473
27,19,15,0,0,1,0,72.63298555806645
29,26,11,0,1,0,0,74.16287867040626
27,15,9,1,0,0,0,68.94938892819884
39,21,14,0,1,1,1,82.29411008168191
31,16,13,0,1,1,0,70.86249845840221
28,18,12,0,0,1,1,75.55419682172585
38,25,13,0,0,1,1,82.30830042145394
22,22,6,0,1,0,1,73.22916696826557
32,21,9,0,1,1,1,78.40745527617433
33,15,7,1,0,0,1,74.66614755847249
40,26,8,0,0,1,0,76.56944946329618
16,28,7,1,1,1,0,66.83380311704202
30,14,13,1,0,0,1,73.82417832166708
25,13,11,0,0,0,0,66.5406203818903
18,15,14,1,1,1,1,70.73047557467599
21,15,12,1,0,1,1,69.70238626415896
25,19,9,1,0,0,1,73.46892205325094
25,20,11,1,0,1,1,72.98648331009784
37,18,7,0,1,1,1,78.06946630887934
44,18,11,1,0,1,1,81.74054860334417
33,19,8,1,1,0,0,70.72774927111061
23,21,12,0,0,0,1,72.75225143771189
34,16,10,1,1,0,0,72.49261636070706
39,27,10,1,0,0,1,80.90447952404865
31,21,6,1,0,0,1,74.9305701335245
34,30,9,0,1,1,0,77.29098188352384
31,17,13,0,0,1,1,77.76378968280818
27,20,6,0,1,0,1,74.61843781041688
35,19,11,1,0,1,0,74.03757814951261
36,24,7,0,0,0,1,78.52684886729827
47,18,7,0,0,0,0,77.05607215942042
21,21,8,1,1,1,1,69.98239256011193
23,10,5,1,0,1,0,61.48001121963389
22,22,8,0,0,1,1,72.31861667988422
29,15,8,0,1,1,0,69.50279765958354
26,23,12,0,0,0,0,71.23297957513961
28,27,9,1,0,0,1,75.52905626493515
34,24,11,0,0,0,0,73.50480390613157
23,24,6,0,1,0,0,67.31921736876618
38,27,5,0,0,1,0,74.3443316398096
28,18,14,1,0,0,0,71.22343915314136
38,15,7,0,1,1,0,72.8483214943738
42,25,9,0,1,0,0,78.83967969646925
36,23,10,0,0,0,0,74.21055792607267
26,21,13,1,1,0,0,73.96950145064133
16,19,8,0,1,0,0,64.25431980344024
27,22,8,1,0,0,0,70.76184024820213
31,24,10,0,0,0,1,79.20895718872512
44,15,12,1,1,0,0,77.31407184826107
27,16,10,0,0,0,0,70.07203916801565
41,25,10,0,0,0,0,76.18909098249908
33,19,13,0,1,0,0,74.41409985191112
32,25,11,1,1,0,0,74.12212727491972
20,21,7,1,0,1,1,70.34761356450949
37,23,5,1,0,1,1,79.51659745377813
24,20,13,0,1,0,1,76.4792929513711
39,20,7,0,1,1,1,80.59742712868395
27,16,16,0,1,1,0,71.34788371563899
37,19,6,0,0,0,1,78.76868526854453
33,17,12,0,0,0,1,78.24450381834116
34,24,8,0,0,0,1,76.53547588294616
32,24,5,0,1,1,1,77.49317252075093
38,22,7,0,0,1,1,78.9175187461321
34,19,7,1,0,0,0,71.88113187094037
33,20,11,0,1,0,0,72.32438478161808
38,18,11,0,1,0,0,75.66257521334998
16,24,9,0,0,0,1,69.76226042163113
22,21,10,1,1,1,1,73.89067930125996
33,24,13,0,1,1,1,78.14001727650488
28,19,18,1,0,0,1,76.92268596837098
31,19,9,1,0,1,1,76.24629631830294
35,20,2,0,0,0,1,76.83008624270113
31,32,6,1,0,0,1,77.76259830608984
36,21,11,0,0,1,0,74.06514206852592
40,12,7,0,0,0,1,74.761013563129
48,19,5,0,0,0,1,81.52957083096054
33,17,9,1,0,0,0,73.47043990003041
29,12,10,0,1,0,1,74.62671768188065
33,25,12,1,1,0,1,80.60863329226106
30,27,12,0,0,1,1,80.67225336897124
25,4,11,0,1,1,0,64.57410764462419
26,25,12,0,0,1,1,76.43644799558868
32,18,2,0,0,0,0,69.2417596669893
34,24,4,0,0,0,1,76.69664098742231
31,14,10,0,0,0,0,68.81767329594572
19,15,5,1,0,0,0,64.5722395659626
36,33,11,0,0,1,1,83.28912117972857
22,12,4,1,1,0,0,64.03946043905783
24,24,8,1,0,0,0,69.84618342217406
32,25,14,1,0,0,1,79.68480372112401
18,19,7,1,1,1,1,70.50136925972487
38,28,9,0,0,0,1,82.81632521972624
24,15,11,1,0,1,0,64.47384782174608
30,17,6,0,1,0,0,69.45249721710414
17,22,7,1,1,1,1,70.00719253550189
37,25,9,0,0,0,0,73.92114955737671
35,7,14,0,0,1,1,74.44246575813881
34,30,10,0,0,0,1,82.1521596084517
10,26,3,0,0,0,0,64.50214578318608
41,16,9,1,0,1,0,74.33210785932773
27,23,10,0,0,0,1,74.76288096835081
27,16,10,0,1,0,0,69.71569603711909
39,18,10,0,0,0,0,73.71764140717764
38,26,9,0,0,0,1,82.85049232799635
31,10,6,1,1,1,0,67.66387256776821
24,21,5,1,0,0,1,73.06294785025172
25,16,5,0,0,0,0,65.04789579659662
29,28,7,0,0,0,1,77.5413623065771
27,24,8,0,1,1,0,70.08254161743903
25,22,4,1,0,1,1,72.57669227122389
24,19,7,0,0,1,1,71.81798033519439
31,19,9,1,1,1,1,78.15270077566608
29,16,12,0,1,0,0,70.56441407786292
35,12,11,0,0,1,0,69.56265241711392
21,23,10,0,0,0,0,69.92603522736341
30,31,12,1,0,1,1,79.05480641454209
27,17,9,0,1,1,0,69.24107727043432
23,29,13,1,0,0,0,73.32287077234409
26,11,9,0,0,0,0,66.70441279701126
14,25,7,0,0,0,1,69.73053886349729
24,27,13,0,0,0,1,78.75714547928709
38,21,8,0,0,0,0,76.51471800072522
19,17,7,0,0,0,0,64.92990053881545
16,27,5,1,1,1,0,66.8163151359026
34,10,6,0,0,1,1,72.05665656492386
35,22,11,0,1,0,0,76.56178268981141
37,18,10,1,1,0,1,76.0511430818351
53,13,9,0,0,0,0,77.70473255764038
6,13,8,0,0,0,0,57.311535957236906
29,16,11,0,0,1,1,74.70161745406634
45,24,8,0,0,1,1,81.89827338703584
23,21,12,0,0,1,1,75.73628796002424
14,11,11,0,1,0,0,62.04898675969362
29,25,6,0,0,0,1,76.98730922208864
29,9,11,1,0,0,1,72.12933177738583
21,24,4,0,0,0,1,70.5598054954399
34,12,4,1,0,0,1,72.397435609346
43,12,10,1,0,0,1,80.46609356940259
27,6,6,1,0,0,0,64.3462022480129
20,10,12,1,0,0,0,64.12388856293825
27,28,8,0,0,1,1,77.18154141980497
34,13,9,0,1,0,0,70.55175401637311
34,25,10,0,0,1,1,78.28443855795601
26,21,19,1,0,0,0,73.90649335815161
38,14,16,0,0,1,0,74.94829127186476
29,25,14,0,1,1,0,74.57190865950338
38,25,7,0,0,0,0,74.60963059987387
37,14,15,1,0,1,1,79.47162846492013
21,9,9,0,0,0,0,63.75939095806419
25,15,5,0,1,0,0,65.8504791531455
32,33,10,0,0,0,1,81.30551585793674
29,14,12,1,0,0,1,74.23158569579165
30,21,10,0,0,1,1,76.50771700842881
30,26,8,0,1,0,0,74.52584835991014
20,16,10,0,0,0,0,66.16260971082784
29,28,12,0,0,0,1,78.2185843550005
20,37,9,0,0,1,1,76.93580053786752
15,17,4,1,0,0,0,61.42720731016442
24,29,4,0,1,0,1,74.67220433100279
35,14,6,0,1,0,0,71.06198717677968
39,20,15,1,0,1,1,81.07046795723006
25,6,12,1,0,1,0,65.38750252104082
28,15,8,0,0,1,1,73.96082168760793
34,19,13,0,0,1,1,74.94816128050758
41,23,4,1,0,0,0,74.1242821387536
34,19,11,1,0,0,1,76.90224493382756
29,24,6,0,1,1,1,75.28877800871818
28,31,11,0,0,1,1,78.51991470065592
24,21,7,0,0,0,1,71.11666604704668
25,12,8,0,1,1,1,71.74193292539508
21,20,4,1,0,0,1,71.59778593673202
7,6,9,1,0,1,0,53.54394069998705
37,22,11,0,0,0,1,79.19784123933292
15,17,1,0,0,1,1,64.541599172278
29,25,9,0,1,0,1,77.35063001587434
23,12,12,0,0,0,0,64.18987430884638
29,24,7,1,0,1,0,71.1527388135456
46,11,9,0,1,0,1,78.69140554299977
34,25,11,0,1,1,1,78.08407030638618
26,27,7,0,1,1,0,71.98789426780563
31,23,10,1,1,0,0,73.45456530020843
41,20,7,0,0,0,1,78.74758742699652
28,16,7,0,1,1,0,67.51896594973036
43,28,13,0,0,0,1,85.49528621543932
39,23,11,0,0,0,1,82.06397677459644
45,22,10,1,0,0,1,82.8721906875282
41,24,7,0,0,0,1,81.43956429523386
24,23,12,1,0,0,1,73.80292470882935
42,24,13,1,1,0,0,80.04178877075924
22,14,19,1,0,0,1,75.07236000422486
25,13,6,1,1,1,0,65.65371495421022
32,10,8,0,0,0,1,72.01708068743832
45,11,6,0,0,1,1,77.72726574821252
28,27,4,0,1,1,1,76.10813833767797
31,20,7,0,0,0,0,70.32086326952597
29,25,12,1,1,0,1,78.04909445040285
46,21,13,0,0,0,0,77.49491607689443
32,26,7,0,1,0,1,76.41101924373346
36,21,8,1,1,0,0,73.83806573964436
43,14,4,0,0,0,0,71.95317646770307
34,16,7,0,0,0,0,69.89914538420827
29,18,6,0,0,1,1,74.30547782915882
21,23,11,1,0,1,0,66.8328632673459
25,18,12,0,0,0,0,67.58744471110836
37,16,5,0,0,0,1,74.34200038118347
23,24,8,1,1,1,1,74.36089401775612
33,26,7,0,0,0,0,72.8161862968712
31,16,11,1,0,0,1,75.12648743051093
26,20,11,0,0,0,0,69.32351337167954
23,14,9,1,1,0,1,70.97248410350697
25,17,8,1,0,0,0,67.58280776269764
36,24,10,0,0,1,1,79.76316229476573
13,11,15,0,0,1,0,62.1167650595908
37,13,5,0,0,0,0,68.90280045402838
18,15,9,0,0,0,0,63.753840436984106
34,24,13,0,0,0,0,76.19397115053481
27,27,8,1,1,1,1,77.34017501509376
26,23,9,1,0,0,0,70.14208523856159
38,20,10,0,0,0,0,73.64353783333416
2,17,9,0,1,0,0,58.75397027251288
46,18,10,0,0,1,1,83.19736132876879
35,13,14,0,0,0,0,71.68160241509408
32,18,9,0,1,0,0,71.57418765711748
34,17,4,0,0,0,0,69.41616460487074
33,5,17,1,0,1,0,69.34202695187281
20,15,9,0,0,0,0,64.08671159847921
30,26,13,1,0,1,1,80.52778285822008
36,23,8,1,1,0,0,73.40635834398027
30,22,8,0,0,0,0,71.49559717677171
18,21,9,1,0,1,1,72.2462218215936
19,6,8,0,0,1,0,61.63366351315783
34,23,11,0,0,1,0,73.79982951849392
32,19,13,1,1,0,1,78.58821866773705
25,30,13,0,1,0,0,74.91206244030624
37,27,12,0,1,1,1,81.29856876744763
24,17,12,0,0,0,1,74.1271334517459
26,19,7,1,0,0,0,67.21369011960749
35,24,11,0,0,1,0,75.4174434221209
35,18,13,0,1,0,0,74.71717731960956
24,27,6,0,0,1,1,74.24802033976293
26,26,12,1,1,1,0,71.98033829064809
28,15,8,0,0,0,1,73.42488486808428
8,33,11,1,1,0,1,70.43961448933288
33,20,10,0,0,0,1,78.62272137732222
36,19,12,0,0,0,0,74.56814691373097
44,23,10,0,1,0,0,78.83820978344161
36,8,10,0,0,0,1,72.08455404181592
50,15,7,0,0,0,1,83.10947965641819
18,20,9,0,1,0,1,69.72066735668169
26,14,7,0,1,0,0,66.00045791635893
30,29,9,0,0,0,1,79.72978248077611
14,17,10,0,0,0,0,61.79395632371463
25,28,6,0,0,0,1,75.05582180579808
28,20,7,1,0,1,1,73.5752074959107
39,21,11,0,0,1,1,79.67345119345694
28,13,8,1,1,1,1,72.43972055560666
28,20,11,0,1,0,1,75.29213463296036
29,11,6,1,0,0,0,63.111566744810666
23,19,7,0,1,0,0,66.87960659454352
16,15,11,1,0,0,1,68.71913743760284
34,15,11,0,0,0,1,77.73492607284749
33,6,12,1,0,1,1,73.20027232148507
28,16,4,0,1,1,1,70.00416280005953
26,19,6,0,0,1,1,72.00090881565599
37,24,9,0,0,0,1,80.23260226621234
26,20,11,0,0,1,1,72.85067553619095
37,19,9,0,1,1,0,73.10937740509607
33,15,2,0,0,1,1,71.79633682677904
32,13,16,0,1,0,0,73.36852509595609
35,23,2,0,0,0,1,75.94958754468462
32,22,9,1,1,0,0,71.70353998820242
29,21,5,0,1,0,1,73.96850294641392
30,26,7,0,0,1,1,78.42378034614734
39,9,9,0,0,0,0,70.613089058845
36,21,8,0,0,0,1,78.42084158462693
42,22,6,0,1,0,0,76.7096292553973
24,24,13,0,0,1,1,75.43328146238738
31,14,12,0,1,1,0,69.79262358613016
28,9,16,0,1,1,0,69.61306337877829
39,17,7,1,0,0,1,75.49098848635074
33,24,9,1,0,1,1,77.57711514759124
30,26,9,1,0,1,1,76.84006706960373
31,9,7,0,1,0,0,66.06266769884027
25,15,6,1,0,1,1,69.01339132652207
20,20,9,0,0,0,1,73.05982142969519
34,19,10,0,0,1,1,77.66457202786945
30,22,8,0,0,1,1,75.75646161202877
44,14,11,1,0,0,1,79.68281327706649
42,16,10,0,0,1,0,76.11891863433964
39,7,5,1,1,0,0,69.68140506064205
27,23,10,0,0,1,1,74.76236592189558
22,12,7,0,0,0,0,62.13149595020528
21,25,9,0,1,1,0,67.66100647729444
29,17,9,0,0,0,1,73.580574309163
23,19,8,0,1,0,0,68.39103795299773
33,15,12,0,0,1,1,76.00558980827934
28,26,10,0,0,0,1,75.32906260791076
29,16,11,0,0,1,0,67.02394965607076
19,24,8,1,0,1,1,70.93812569039191
34,10,6,0,0,0,1,70.59508238717642
35,26,6,0,0,0,1,78.85542840545536
39,12,7,1,0,0,0,70.38917980044266
48,23,9,0,0,1,1,83.16506747035659
29,17,9,0,1,0,0,70.52128746674408
27,25,6,0,0,0,0,70.21644124990809
29,12,12,0,0,1,1,72.41275192206692
29,28,9,0,0,1,1,77.14049543843656
33,11,2,0,0,1,0,66.70317198364147
30,21,11,0,0,0,0,73.74055100199679
29,22,10,1,0,1,0,71.29336162195212
35,21,5,0,0,0,0,72.40110958203108
40,14,6,0,0,0,1,77.13420540310614
35,6,8,1,0,0,0,67.44807558920377
37,14,9,0,1,0,0,71.16277359077303
19,20,7,0,0,0,0,64.91018843890663
32,12,11,1,0,0,1,74.73386420027616
12,19,10,1,0,1,1,66.87242890729641
34,18,11,0,0,0,0,72.43136584616497
18,22,10,1,0,0,0,67.47735210652289
