education_years,political_interest,civic_participation_score,identifies_with_major_party,previous_voter,voter_mobilization_mailer,attended_town_hall,political_knowledge_score
6,2,0,0,1,1,0,42.56059028055954
9,4,0,0,0,1,0,38.10398861738568
7,3,0,1,0,1,0,42.36287027708647
3,3,0,1,1,1,1,53.85680390649917
4,3,1,0,0,1,0,42.211633458292994
3,2,0,0,0,1,1,49.85896310726231
6,2,0,1,0,1,0,43.25420952730775
3,3,0,0,0,0,0,43.93515848337806
2,2,0,0,0,0,1,51.12578842183442
3,4,0,1,0,1,0,44.52430912527274
3,2,-2,0,0,1,1,50.84416096309732
3,1,0,0,1,1,1,51.722684205686726
4,2,1,0,0,1,0,42.900843298013015
2,3,0,0,0,1,1,50.2686337672249
8,3,0,1,0,1,0,41.12266135348006
2,1,0,0,0,1,1,52.8285379449347
3,3,0,1,0,1,1,52.42530414554451
5,3,0,0,1,1,0,43.4332197216734
4,4,0,0,0,1,0,40.32333096700542
6,2,0,0,0,1,0,43.49205091962946
1,2,0,0,0,1,1,53.843203131636535
2,4,-1,0,1,1,1,51.65530833032811
5,3,0,0,1,1,0,42.62225928167062
6,3,0,0,0,1,0,42.6364875911263
6,2,0,0,0,0,0,43.57241894020781
6,3,0,0,1,1,0,40.74417729028829
3,2,0,0,1,1,1,50.280726025603016
1,3,0,1,0,1,1,53.28160514081091
4,2,0,1,0,1,1,50.54726732377398
0,2,1,0,1,1,1,53.47564849118199
2,3,0,0,0,1,1,50.41954080081717
2,2,0,1,0,1,1,54.069054938985296
3,2,0,1,0,1,1,50.98750386336
5,2,0,0,0,1,0,43.88945453067711
4,3,0,1,0,1,0,44.57858846929024
2,3,0,0,0,1,0,46.7455995388563
2,2,0,1,1,0,0,48.897016273976384
3,2,0,1,0,0,1,52.647173418266505
3,2,0,0,0,1,1,51.24267111421991
4,2,0,0,0,1,0,43.8977886578269
5,2,1,1,0,1,0,44.90695858425158
4,2,0,0,1,1,1,49.44491783598993
4,2,0,0,0,1,0,44.37278898120604
2,3,0,0,1,1,1,51.78072366802605
6,2,0,0,0,0,0,43.47767468125241
4,3,-1,0,0,0,1,50.020335229620734
2,3,0,0,0,1,0,45.11359187893733
5,3,1,0,0,1,0,42.97509000734463
1,2,0,0,1,0,1,54.07506014822373
2,2,0,0,1,0,1,53.429017486856544
5,2,-1,0,0,1,1,51.00048413920528
3,1,0,0,0,0,0,46.67084615129529
2,3,1,0,0,1,1,50.41423066665115
0,3,0,0,1,1,1,52.51021073009832
3,3,0,0,0,0,0,43.45912827847113
2,3,-1,0,0,0,1,50.11554989048108
2,3,0,0,0,0,1,51.12735926383591
5,2,0,1,1,1,1,50.123496943885804
2,2,0,0,0,1,1,50.926215995428606
10,2,0,0,0,1,0,37.17801938462085
3,2,0,0,0,0,0,45.63933048696238
5,4,0,0,0,1,0,42.52674580112235
5,3,0,0,1,1,0,45.33306200928706
4,3,0,0,0,1,0,43.12837529667976
5,2,0,0,0,0,0,43.47726322000456
0,3,0,1,0,1,1,53.61504230035344
3,1,0,1,0,1,1,50.97531916523879
1,2,0,0,0,0,0,47.65985066700412
5,3,0,0,1,1,1,48.581705637743866
6,2,1,0,0,1,0,44.19022207504946
0,3,0,0,0,1,1,51.76424530276312
3,2,0,0,0,1,0,45.88021588555313
3,1,0,0,1,1,1,51.66986303027086
0,3,0,0,0,0,1,53.48535827511736
-1,2,0,0,1,0,1,53.986301782941695
1,3,0,0,0,1,1,54.25378811662347
2,3,-1,0,0,1,1,50.99394118695786
5,3,0,0,1,0,0,42.520475943179264
2,2,0,1,1,0,1,52.87354519028604
4,2,1,1,0,1,0,46.433148320258034
6,3,0,0,0,1,0,41.96798763260927
8,2,0,0,0,1,0,38.81300603784861
6,2,0,0,1,1,0,45.27359779665926
5,2,0,0,0,0,0,43.30367047570541
4,1,0,0,0,1,1,50.37783056509927
4,2,0,1,0,0,0,46.90626659672687
3,2,0,0,0,1,0,43.81875121116235
7,2,0,1,0,1,1,47.62497899018732
4,3,0,0,0,1,0,42.75328558291421
3,2,0,1,0,1,1,53.66793076570541
5,3,0,0,0,1,0,42.11191257400154
4,2,0,0,0,1,0,42.799842556773775
1,3,0,1,1,0,1,51.58471197298418
3,2,0,1,0,0,1,51.48198682260716
1,2,0,0,1,1,1,52.17636707252784
2,3,0,1,0,1,0,45.38567210124728
3,3,0,0,0,1,1,50.18477736717343
3,2,0,0,1,0,0,44.582899704237015
7,2,0,1,0,0,0,42.59316378924798
6,3,0,0,0,1,0,42.18305183916976
3,3,0,0,0,0,1,51.44176547332141
4,2,0,0,0,1,0,44.80340544932324
2,3,0,0,1,1,0,46.94617933436193
2,2,1,0,0,1,1,51.72547434452603
4,2,0,0,0,1,0,45.70491660914536
3,3,0,0,0,1,1,50.1207422881658
2,3,0,0,0,1,1,51.1375001908977
0,3,0,1,1,1,1,53.80531497058061
4,2,0,0,0,1,1,49.84656079928554
6,3,0,0,0,1,0,39.65178499823255
3,1,1,0,0,0,1,52.43392282362926
3,3,0,0,0,0,1,50.747896978505445
2,2,0,0,0,1,1,49.809096981781074
3,3,0,0,0,1,1,49.60368558400891
4,2,0,1,0,1,1,51.1336572639341
4,2,0,0,1,1,1,50.64713047691813
5,2,1,0,0,1,0,43.81558026703138
4,2,0,0,0,1,1,51.38237682627118
5,3,0,0,0,0,0,43.324773953184746
3,2,0,0,0,1,0,47.31145250008036
0,3,0,0,0,1,1,53.98114359314017
0,2,0,0,0,0,1,53.37038900095318
1,3,0,0,0,1,0,47.43698371324864
7,3,0,0,0,0,0,42.27266575515506
5,4,0,0,1,1,0,42.106625613664335
5,3,0,0,0,1,1,48.61077630491345
2,3,0,0,0,1,1,53.21196370634909
3,2,0,0,1,0,1,50.06333054586399
4,2,0,0,1,1,1,51.067039351969946
3,3,0,1,0,1,1,51.13508777968316
3,2,1,0,0,1,1,50.665888200592136
7,2,0,0,1,0,0,43.56912148940025
4,3,0,1,1,1,1,50.71689280749501
-1,3,0,0,0,1,1,54.3835066860371
6,2,0,1,0,0,0,45.107167628984485
2,3,0,1,0,1,1,51.525131576812825
4,3,0,0,1,1,0,42.766632751753605
7,4,0,1,0,0,0,42.91560130348808
3,3,0,0,0,1,0,44.04084668496527
4,3,0,0,1,0,0,42.86055597360559
3,2,0,0,0,1,1,49.87114644804904
4,3,0,0,0,0,0,45.49732018731429
1,3,0,0,0,1,0,45.45522259133539
1,2,1,1,1,1,0,49.91745452605432
3,3,0,0,1,1,1,48.78247075274671
4,3,0,0,1,1,0,43.80944690462248
1,2,0,0,0,1,1,53.69282419363094
6,2,0,1,1,1,0,44.68565121991138
4,2,0,0,0,1,0,45.70704116400073
7,2,0,0,1,0,1,47.96327709362153
1,2,0,0,1,1,1,52.16161937880187
0,2,0,0,0,0,1,52.84072677987724
2,2,0,0,0,1,1,50.396214582798095
5,3,1,0,1,0,0,42.60257557125507
4,3,0,0,0,0,0,44.05716269258563
1,4,0,0,0,0,0,43.99851136224318
1,3,0,0,1,1,1,52.76346500184752
-1,2,0,0,0,1,1,53.28920956232586
0,3,1,0,1,0,0,45.79809446296627
8,2,0,0,0,0,0,38.70273349111477
4,2,0,0,1,0,1,51.74912418736536
1,2,0,0,0,1,1,52.92520150889449
4,2,0,0,1,1,0,46.49013611574974
10,3,0,1,0,1,0,40.37935290157712
2,3,0,0,0,0,1,51.367735754481615
2,3,0,1,0,1,1,51.61004298194605
1,4,0,1,1,1,1,52.66769423082347
1,2,0,0,0,1,1,51.70272236698046
4,3,0,0,0,1,0,44.41228719139164
3,4,0,0,0,1,0,42.92797004457593
1,3,1,1,0,0,0,45.8748371302576
0,3,0,1,0,1,1,53.61294224175498
5,3,0,0,0,0,0,42.90573185610551
5,2,0,0,0,1,1,49.4380383601001
2,3,0,1,0,0,1,53.843448868493226
4,2,0,1,0,1,0,45.09706118473743
3,3,0,0,1,1,0,42.30832973746645
3,1,0,0,1,1,1,51.72718097124185
1,2,0,0,0,1,1,54.16243293436852
4,2,0,0,0,1,1,50.21364171585585
3,3,0,0,0,1,1,50.05305520065492
6,2,0,0,1,0,0,43.31605499488177
6,3,0,0,1,0,0,42.11395249964463
3,1,-1,0,0,1,1,51.562267904825084
1,2,0,1,0,1,1,53.15240148728861
5,3,0,0,0,1,0,40.75186359510133
0,3,0,1,0,0,1,54.70129845519135
1,2,0,0,0,1,1,52.51816268149517
6,3,0,0,0,1,0,42.8016397905548
2,3,0,1,1,1,1,51.80691381608551
7,3,0,0,1,0,0,41.57164365425711
4,3,0,0,0,1,0,41.64855189404796
5,2,0,0,1,1,0,43.05218296522264
2,2,0,1,0,1,1,52.47721523592427
1,2,0,1,0,1,1,53.53692826378842
1,2,0,1,1,1,1,54.0181084833177
4,4,0,0,0,0,0,43.98879229653408
5,2,0,0,1,1,0,43.488772065159495
1,2,0,0,0,1,1,52.684565965557056
5,3,0,1,0,1,0,46.31274932051655
5,3,0,0,0,0,0,41.64843955963406
4,3,0,0,0,1,0,43.59899311258752
5,3,0,0,1,0,0,43.713720791336016
5,3,0,0,1,1,0,41.921269923132016
2,4,0,1,0,1,1,51.327330088188376
6,3,0,1,0,1,0,43.34651893883504
0,3,0,0,0,1,1,53.54366252478218
8,3,0,1,1,1,0,41.88891251996812
5,3,0,1,0,0,1,49.06947080294379
6,3,0,0,0,0,0,40.0312679077296
5,3,1,0,1,0,0,41.909204976535925
8,1,0,0,0,1,0,43.64721639208081
3,2,0,0,0,1,1,50.53040337094495
4,3,0,0,1,1,0,43.47872292908984
0,4,1,1,0,0,0,47.87320534905327
3,3,1,0,0,0,0,43.66534048642161
2,3,0,1,0,1,0,44.54504853868865
-1,2,0,0,0,0,1,52.67656163109279
2,2,0,1,0,0,1,54.6600572255464
6,3,0,0,0,1,0,42.42794762648735
-1,1,0,1,0,0,1,55.61280903756169
2,2,-1,0,1,1,1,51.07910397750055
5,2,0,0,1,1,1,51.90252191228484
0,3,-1,0,1,0,1,52.32465704616712
4,3,0,1,0,0,1,51.23558344438991
4,2,0,1,0,1,0,44.73024611308456
3,2,0,0,0,1,1,50.36106231156683
4,3,0,0,0,0,1,49.4776543565945
6,2,0,0,0,1,1,49.50307076854657
6,1,0,0,1,1,0,43.91714532957607
3,3,0,0,0,1,0,46.3473413455853
4,2,0,0,1,1,0,44.88474613210201
4,3,0,0,0,1,0,44.90389325504364
3,2,0,1,0,0,1,51.67468866454556
1,1,0,1,1,1,1,52.76526174660519
0,2,0,0,0,1,1,54.491372065293966
5,4,0,1,1,0,0,43.79131458412272
3,2,0,0,1,0,1,52.29525562446702
0,2,0,0,0,1,1,53.28229649320587
4,3,0,0,1,1,0,44.85092111524613
6,2,0,0,0,1,1,49.28933742172782
2,3,0,0,1,0,0,47.175012917107246
4,2,0,0,0,1,0,44.91897680916458
3,2,0,0,0,0,0,46.498484531415095
3,2,0,1,0,1,1,50.54961372746125
0,3,0,0,1,1,1,52.737706557332
2,3,0,0,0,1,1,51.30208970786554
1,1,0,1,0,1,1,56.19431981019568
3,3,0,1,1,1,1,51.79977588382074
6,3,-1,0,1,1,0,41.57997448618673
2,2,-1,0,1,1,1,54.05725662696882
5,3,0,0,0,0,0,42.59822021503033
3,3,0,0,0,0,1,50.871974336783765
5,3,0,0,0,1,1,48.137062669478986
7,3,0,0,0,0,0,41.24923468656462
3,2,0,1,1,1,1,53.64138440774474
2,2,1,0,0,1,1,50.79576108198632
1,3,0,1,0,0,1,52.40400152172354
-1,2,-1,1,0,1,1,56.14679100076763
2,2,0,0,0,0,1,51.5472389661289
4,3,1,0,0,1,0,43.453877162658486
4,2,0,0,0,0,1,49.34398599055314
0,1,0,1,0,1,1,53.88868493383768
4,4,0,0,0,1,0,41.38905700649445
3,2,0,0,0,1,1,50.74508805792088
4,3,0,0,1,1,0,44.35312124628458
6,2,0,1,1,1,1,50.80680856467219
3,2,1,1,0,0,1,52.24870517731973
3,3,0,0,1,0,1,52.26245875914319
7,3,0,0,0,0,0,39.83658530797855
6,3,0,0,0,1,0,40.87871875795798
6,2,0,1,0,1,0,45.0759880284036
4,3,0,1,0,0,0,44.66055960615395
1,3,0,0,0,1,1,51.61122869211711
3,3,0,1,0,1,1,51.43529624534155
6,2,1,0,0,1,0,42.51111548870264
4,3,0,1,0,1,1,51.11824597513445
4,3,0,0,0,1,0,44.190343060617565
5,2,0,0,1,0,0,44.50136824473776
5,3,0,0,0,0,0,42.57947361925756
5,2,0,1,1,1,1,49.54552074189652
1,3,0,0,0,1,1,52.88241986319757
3,2,0,0,0,1,1,50.30579711844699
1,3,0,0,1,1,0,46.70118223570951
-2,3,0,0,0,1,1,55.24047191443147
5,2,0,0,0,0,0,43.89496862625077
2,1,0,0,0,1,1,52.81127032506256
0,2,0,0,0,0,1,54.23149169974086
0,3,0,0,1,1,0,46.50154731697131
4,3,0,0,0,1,0,44.07179631397448
5,3,0,0,0,1,0,43.02082577678578
3,2,0,0,0,0,0,44.649603052323066
3,3,1,0,0,1,0,45.18973578046658
3,3,0,0,0,1,0,45.821947104144186
6,3,0,0,0,1,0,41.76645497606854
7,3,0,1,1,1,0,41.57651333352192
5,2,1,1,0,0,0,44.414354312269
8,2,0,0,0,0,0,42.06217262198827
2,2,0,1,0,0,1,50.9956302688162
2,2,0,0,0,0,1,51.64909043654173
4,2,0,0,0,0,0,46.16808908486264
3,2,0,0,1,1,1,52.22406976611822
4,2,1,1,1,0,0,44.27755004731836
0,2,0,0,0,1,1,54.2211941014675
0,2,0,0,0,1,1,53.85461163515446
1,2,1,0,1,1,1,51.72906630252064
9,2,0,0,0,1,0,40.70787014909554
4,4,0,0,0,1,0,41.67909149685259
1,3,0,1,0,1,1,51.8506680332257
6,2,0,0,0,0,0,44.26905722026861
0,2,1,0,1,1,1,52.81006937412104
8,2,0,0,1,0,0,40.40879165043049
2,3,0,0,0,1,0,45.95392063076836
0,2,1,0,0,1,0,46.970721841822325
4,2,0,1,0,1,1,51.98296353684414
1,2,0,0,0,1,1,53.30602328051051
3,2,0,0,0,1,1,52.42718149171194
1,2,0,0,0,1,1,54.18896299439651
3,3,0,0,0,0,0,43.77292248115748
1,3,0,1,1,0,1,52.328720544188165
5,2,0,1,1,1,1,50.07623083417053
9,2,0,1,0,1,0,42.60625028638804
1,3,1,1,0,1,1,52.95626409245271
7,2,-1,1,0,1,0,42.98993992425089
5,2,0,0,0,0,0,42.495766386566046
4,2,0,0,0,0,0,45.83002148045191
0,3,0,1,0,0,1,52.16782279804752
5,2,0,0,1,1,0,43.00027739444484
5,2,0,0,0,1,0,43.064005678236896
5,2,0,0,1,1,0,44.45910435545999
6,2,0,0,0,1,0,42.56179202636501
5,3,0,1,1,0,0,45.84787547035753
3,3,0,0,0,1,0,45.31684969728094
4,3,-1,0,0,1,1,49.17148140110683
0,3,2,0,1,1,0,48.09135317876936
4,2,1,1,0,0,0,43.79166359170615
4,2,0,0,0,1,0,45.49585198763971
1,3,0,1,1,0,0,46.11537617733264
1,2,0,0,1,1,1,51.195907264424775
3,2,0,0,1,1,1,51.90698217140652
2,3,-1,0,0,1,1,50.30568639770165
6,2,0,0,0,0,0,42.27560999167201
6,2,0,0,0,1,0,42.76495132499547
6,2,0,1,1,1,1,50.52709742409759
3,2,0,1,0,1,1,51.766933058119776
5,2,0,1,1,1,0,45.20201722889971
4,3,0,0,0,1,0,44.88507778395369
0,3,0,0,0,1,1,53.34902589473221
8,3,1,0,0,1,0,38.83322081402525
2,3,0,0,0,0,0,44.64772004831809
8,3,0,0,0,1,0,38.61675383722233
3,2,0,0,0,1,1,49.4555877754358
6,2,0,0,1,0,1,49.36116157137282
3,3,0,0,0,1,0,43.26974970450577
3,2,0,0,0,1,1,49.59712602818596
3,2,1,0,0,0,0,45.48010893115064
4,2,0,1,0,1,1,51.30414271564549
0,3,0,0,0,1,1,53.412891169257456
6,2,0,0,1,0,0,43.55654880247559
4,3,0,0,1,1,0,44.59174914397298
4,2,1,0,0,1,0,43.133132851547465
2,3,0,0,0,1,1,51.14147802331348
0,3,0,0,0,1,1,52.48038085011628
4,2,0,1,1,1,0,45.0476833673211
1,2,0,0,0,1,1,52.383754034534334
5,3,0,1,0,1,1,49.7440326355945
1,3,0,0,0,0,1,50.96182318255437
6,2,0,0,0,1,1,49.27013009577522
5,3,0,0,0,1,0,42.9637109635699
3,1,0,1,1,1,1,53.90293035997252
2,2,0,0,0,1,1,52.07591837828774
