age_of_candidate,campaign_spending,political_experience,incumbent_status,gender,economic_condition,media_coverage,election_outcome
16,28,10,1,1,10,14,103.3590265763022
5,28,6,0,0,8,14,107.41568936188692
10,28,8,1,1,7,14,101.76077547590704
9,28,8,0,0,10,14,104.24672800579086
3,27,8,1,0,13,17,111.98097525954924
12,29,5,1,0,9,14,106.40138867099644
7,30,6,0,1,8,15,109.4717462099308
7,30,8,1,0,13,13,102.69262124014344
5,27,8,1,0,9,15,105.1135905958846
10,31,7,1,1,10,13,100.49623623230552
7,28,11,1,0,8,12,96.96117069371594
10,28,3,1,1,8,13,97.06307207915472
9,30,2,1,0,10,13,100.60644647312198
13,32,8,1,1,9,11,98.6545438720627
6,29,7,0,1,10,14,102.46398505534847
14,28,13,1,1,12,16,108.21488041754807
13,26,12,1,1,9,17,110.01115921603062
10,29,11,1,1,14,17,112.06090655402132
10,30,6,0,1,13,15,104.93473409287506
9,29,4,1,1,13,13,100.28999835764525
13,30,6,1,1,12,9,88.2783740128136
2,32,3,0,1,13,12,99.08648424080314
11,27,7,1,1,12,13,96.39895225805456
13,27,11,1,0,9,13,99.12269484830612
10,26,5,0,1,7,17,108.07870882411396
11,28,0,0,1,11,15,105.46292906331558
7,35,7,0,1,11,8,90.10646653491015
8,27,3,0,0,12,18,114.23832260980988
10,35,8,1,1,9,10,98.78953046390468
12,31,14,1,1,7,13,101.71487549162563
15,28,2,0,0,10,14,102.23648914517908
8,28,6,1,0,12,13,97.34539208468622
11,33,8,1,1,12,9,89.20056127792427
9,30,14,1,0,7,9,93.1316168961701
10,28,9,0,1,9,14,104.05417749491318
13,33,7,1,1,8,8,89.63559622109504
7,32,9,1,0,14,11,98.19743608680108
8,33,9,0,0,12,11,100.5589142724292
11,29,5,0,0,8,12,96.87631233538492
7,29,10,0,1,10,16,110.14636148018076
6,29,8,1,1,11,13,101.18239716013976
16,34,8,0,0,14,12,102.79097119806416
10,26,9,1,1,12,14,97.25612154710952
7,27,8,1,0,9,12,96.77227918041817
14,29,8,0,0,13,17,112.46146166972724
6,30,11,1,1,12,15,109.23675116285396
11,32,6,1,1,10,12,101.53367625872627
11,30,9,0,0,12,13,103.1561326568227
9,31,8,1,1,12,15,108.10121722980792
9,30,7,1,1,12,12,97.21226665875407
10,28,8,1,0,12,15,105.16098392181348
8,27,5,1,0,6,11,93.37780440016122
8,29,6,1,1,12,14,102.47992199279908
9,32,9,1,1,7,11,98.333437114389
15,24,4,0,1,12,19,113.06215008322673
9,32,10,1,1,11,11,96.74791375236502
6,31,9,1,1,10,12,104.73613571071904
11,31,7,1,1,11,13,102.57669761472818
10,32,4,1,1,11,13,104.84121771081568
12,30,4,1,0,9,16,112.10262956561374
7,31,6,1,0,10,14,106.02446141932458
5,31,4,1,1,9,11,96.69345340500452
10,31,6,0,1,11,11,93.07523131093902
12,32,12,1,1,9,12,102.2253513499294
9,30,13,0,1,11,14,107.21560156944766
6,29,6,0,1,8,13,99.9346180956202
12,32,1,0,1,8,10,90.61565854769246
11,30,4,0,1,11,13,99.38984372602792
9,31,6,1,1,13,15,107.14394628396174
6,29,9,0,1,11,13,99.08820237263028
15,31,6,1,1,12,13,102.55446469266774
13,31,10,1,1,12,13,102.97559557633072
11,30,0,0,1,11,14,101.71894783343188
9,31,3,1,0,12,14,105.85966870856014
7,26,5,1,1,10,15,103.48482658689356
8,33,5,1,0,8,9,92.10327718992971
11,27,6,0,1,9,15,104.57035755604218
11,31,10,0,1,10,11,98.80650253115898
10,28,5,1,0,11,14,103.21898309107564
6,31,7,0,1,13,11,96.03610392313644
10,32,3,1,1,12,13,100.32273314005276
11,29,9,0,1,11,16,110.6505080444853
9,31,11,1,1,11,15,108.3521122629469
9,30,6,0,1,12,14,104.65374947255532
9,32,8,1,1,13,10,92.76745264572511
13,30,10,1,1,10,14,101.578100939214
11,33,4,0,0,10,8,90.02630372040092
9,29,8,0,1,13,13,100.06121339562148
11,27,8,1,1,13,16,106.90955360243969
7,24,9,0,0,7,18,111.09384222713447
11,28,14,1,0,8,15,108.17831913345024
5,31,7,1,1,6,11,98.1127544805921
15,29,9,0,1,10,17,115.03194305314553
5,27,8,1,1,13,15,104.43839976226808
11,25,7,1,1,13,21,119.07798271240456
10,25,12,1,0,6,18,115.2683292521949
13,29,8,0,1,8,16,110.93389635258576
13,28,10,1,1,11,14,103.33113433049388
8,32,10,1,1,10,12,101.32414290237676
12,30,9,1,1,11,10,91.11460498886122
9,25,3,1,0,8,17,108.11855569068118
10,29,10,1,1,14,18,113.89181467419276
7,30,5,1,1,12,14,103.55613977978656
11,28,9,1,1,12,15,106.73375032609876
8,29,7,1,1,8,13,102.00196050564122
7,30,5,1,0,13,15,108.05241809977947
7,33,10,1,1,14,11,97.47601305869588
10,29,9,1,0,8,12,99.04512705296366
14,29,11,0,1,10,14,105.23309568070026
7,29,11,1,1,10,15,110.1484093522887
6,32,9,0,0,9,11,99.90028023156746
12,28,8,1,0,7,12,96.92737283131356
5,31,9,0,0,11,12,100.55233897144088
11,33,7,1,1,11,13,105.53403447962012
13,33,8,1,0,10,11,99.94197439143404
11,28,8,1,1,9,12,94.99853603340098
10,28,16,1,0,9,13,102.946227608804
12,31,8,1,1,12,14,106.3409650672602
13,33,6,0,0,12,13,104.98552697505384
12,30,19,1,0,11,11,96.54085544133729
8,31,12,1,0,12,14,107.1220835900145
5,31,8,1,1,9,13,101.69795644579668
10,32,5,1,0,12,9,90.02513897793519
10,33,8,1,0,9,11,100.46326787596097
8,28,14,1,1,11,16,110.0145439353022
16,30,8,0,1,9,13,102.45195983974727
8,28,7,1,1,8,11,95.75574854716706
3,28,6,1,0,11,15,104.72123251480758
8,30,2,0,1,11,13,99.14132807322903
9,33,5,1,1,10,12,99.12682835509548
10,30,8,1,1,11,15,107.39770570558709
10,31,8,0,1,11,14,104.2264978691224
9,29,9,1,1,12,17,112.1680259206228
13,32,7,1,0,7,10,96.47745713535984
10,30,4,1,1,10,12,95.97703105844498
6,26,6,1,0,7,14,103.93612115626097
9,28,5,1,1,9,15,107.87356622875744
9,29,6,1,1,11,15,106.80723411968124
8,30,6,0,1,11,15,109.9391249372406
9,28,9,1,1,9,12,94.16195338165971
12,27,9,1,1,13,16,106.34347811365056
10,25,7,0,1,6,17,109.02206059212337
11,30,5,1,0,12,14,105.81924165646272
10,33,7,1,0,12,10,97.39513021171652
14,30,6,1,1,13,14,103.67091713313718
14,32,9,1,1,9,12,101.49931643106144
10,30,3,1,1,11,14,105.81507027909478
8,25,5,1,1,11,17,108.19438355407172
10,28,9,1,1,11,16,108.74876529027682
8,29,12,1,1,10,14,102.17629022544143
10,34,4,0,1,16,14,107.120049710958
10,29,4,0,1,10,15,106.88218505640609
5,29,5,1,0,10,11,93.20935694227806
11,29,7,1,1,15,19,117.58877843426292
5,28,5,0,1,9,17,109.13758943466152
7,26,3,0,1,10,15,103.87200652181257
6,29,5,1,1,9,13,102.97668786062236
7,31,8,1,1,6,12,101.33585537026872
8,32,10,1,0,6,10,95.43070206059107
14,29,8,1,1,13,15,105.23023878769378
11,29,13,0,0,9,14,106.5907621345944
12,32,10,1,1,9,10,94.18394061151928
7,32,5,0,1,11,12,102.99232749285724
6,29,13,0,1,11,16,110.33785013092285
6,28,10,1,1,11,14,102.34967390044636
5,30,6,1,0,7,10,96.43386732834156
13,28,7,1,1,13,17,110.31478152268892
7,30,7,1,1,8,11,96.2048564899037
11,28,9,1,0,10,16,111.19367517410436
5,28,11,0,1,9,16,109.59759930786213
8,30,4,1,0,9,10,90.47773913613956
13,28,6,1,1,11,14,102.06886557855152
14,30,11,0,0,11,13,102.276449071704
10,27,7,1,0,10,14,100.184355662647
5,29,7,0,0,12,15,106.26548794405484
6,27,6,1,1,9,13,100.9075933910932
11,28,15,1,0,10,14,101.8901678083494
9,35,8,0,1,13,14,112.21892447025296
8,35,5,1,1,14,14,108.40900380941582
11,28,4,1,0,8,11,92.39013548890829
9,29,10,1,0,7,12,100.2702857627224
8,31,8,1,1,9,15,109.3219499749928
12,30,7,0,1,11,12,97.060014740101
8,31,9,1,1,9,12,99.38578527627084
12,29,5,1,0,14,15,106.7722600035446
13,27,2,1,0,11,14,102.73246098376326
11,30,2,1,1,14,17,112.07095671574602
9,34,2,0,1,14,11,98.74557118132569
10,32,6,1,1,8,11,99.92943662816648
7,32,6,0,1,8,12,102.11700958746148
10,29,9,0,1,10,14,104.38639244939743
13,32,6,0,1,13,15,108.3673839037702
12,30,15,0,0,14,14,103.9068147150483
9,29,8,1,0,11,13,100.8345956703789
11,26,9,1,1,10,18,112.3308554072889
11,25,8,1,1,8,17,108.60128970242788
10,29,9,1,0,8,13,105.1285452462297
10,26,8,1,0,8,14,100.85898272728652
13,30,13,1,1,11,14,103.31508864043904
9,30,0,1,1,15,17,113.07042384854408
8,27,6,1,0,12,16,108.49385945912633
12,29,7,0,1,12,14,106.03625425820331
4,27,8,1,1,9,14,100.78055374750132
7,33,7,1,1,12,9,92.00385255313736
13,31,7,1,0,10,11,96.68150995682817
12,28,11,1,0,9,14,104.29320218443584
9,28,7,0,1,8,14,105.00790829695082
9,30,6,0,1,11,14,109.08359499510802
9,30,7,1,1,12,16,109.55538330375116
16,27,9,0,0,13,16,107.12915214816914
15,30,7,0,0,10,15,107.41513309984742
9,29,3,0,0,10,12,98.7694318502942
5,31,8,0,1,9,12,101.99032414878076
12,33,7,0,0,10,10,94.39923624736367
10,30,4,0,1,13,14,100.81181168254896
10,28,8,1,1,11,15,104.8624682935609
8,26,11,1,1,6,12,96.80159033124836
9,32,8,1,1,10,12,99.47035758779408
5,29,12,1,1,11,10,91.8890891692308
7,32,8,1,0,9,9,90.5331620041022
11,30,7,0,0,14,14,103.16866129211152
6,31,15,1,0,11,12,100.24087472656052
12,32,8,1,0,10,9,90.26734640130525
11,28,8,1,0,8,12,96.95683544761124
12,32,5,1,1,12,13,101.51406780864576
11,29,6,1,1,10,13,96.29809697540938
6,31,10,0,1,6,12,100.32226933060662
11,28,5,1,0,11,14,102.34083968297232
12,28,4,0,1,10,17,112.848041110712
6,30,11,0,1,11,14,104.3668884787174
16,32,4,1,1,8,11,99.38821293801182
12,30,6,0,1,11,13,101.55168631591653
9,32,11,1,0,12,9,93.75022282232152
8,27,4,1,1,10,14,101.75672093966396
9,27,8,1,1,11,17,109.1564419735387
4,29,11,1,0,6,10,94.46283739818732
9,34,6,1,1,13,13,106.21127042618755
11,27,7,0,1,10,17,107.45128411127102
9,30,7,1,1,13,15,105.71908138201351
14,26,13,0,1,8,12,93.6868696222284
7,34,6,1,1,10,12,103.97088995037004
8,28,9,1,1,9,16,110.0441875201144
13,29,8,1,0,10,14,104.0859024433347
5,26,2,1,1,10,15,102.68459408701334
4,30,7,0,1,11,14,104.80461791935406
11,27,8,1,1,9,13,98.62602427632716
5,31,7,0,1,10,10,93.50097834380932
13,28,5,1,1,16,21,123.81275927454833
9,28,8,1,1,14,17,113.70163962312404
7,31,6,1,0,12,14,105.69186412908122
5,24,9,0,0,13,18,108.20967166070622
7,32,11,1,0,12,10,96.418539202387
11,30,14,0,1,10,14,109.2905709101138
6,29,8,1,1,11,13,102.75672193971974
9,30,8,1,0,13,11,92.7783007648334
11,27,3,1,1,11,16,107.90577623280704
8,25,3,1,1,7,12,90.7970716654883
10,28,12,1,1,8,15,106.23856779884996
12,31,8,0,1,10,12,99.85634893243792
12,31,10,1,0,11,11,97.28257370516162
7,32,9,1,1,9,9,92.0341204450525
8,32,1,1,1,9,12,99.67107796895634
7,30,7,1,0,10,12,99.56471623925296
7,25,3,1,0,6,14,100.08886565050312
12,25,2,1,0,14,20,117.87107876301812
10,27,5,1,1,11,14,100.48321935335557
9,28,8,1,0,9,15,106.94427256682104
14,31,4,1,1,11,14,105.61034261955618
13,29,9,1,1,8,13,100.34428587670884
12,32,9,0,1,9,11,97.8405388977369
10,29,7,0,0,8,13,102.36195609871164
12,32,6,1,1,13,14,104.48696779651512
4,32,0,1,0,10,10,92.46105333753458
7,31,9,0,1,11,14,105.7239277670394
6,31,9,1,1,10,11,97.32486658742084
10,29,5,1,1,13,16,107.40884772057308
6,29,3,0,1,9,12,94.6687405360094
8,30,9,1,1,9,9,92.23096633841196
9,27,9,1,0,12,15,103.1875246908748
6,32,4,1,1,10,11,99.61830739754524
7,30,1,1,1,10,11,93.4211716886868
10,31,6,0,1,11,15,109.31093827802216
8,30,2,0,1,13,19,119.79071112449093
7,29,11,1,0,12,14,104.07535766721053
11,33,6,0,1,10,11,98.70585852170728
10,30,6,0,1,9,13,101.9291783267399
9,31,3,1,1,10,15,106.1584472476249
11,26,11,1,1,11,18,110.74317482563292
11,32,13,1,0,12,13,105.78638195519106
9,31,13,0,1,10,11,95.40707301725853
11,29,8,1,1,10,15,106.8591666222286
10,27,8,0,0,12,16,108.42814078723956
12,29,4,0,0,8,11,93.61596391568358
9,29,5,1,0,10,10,89.55222038142
8,31,10,1,0,9,9,91.88707075854168
6,30,14,1,1,7,14,107.25279516779746
9,29,8,0,1,11,14,103.4221067982334
9,30,8,1,1,12,11,96.420711774905
10,26,9,1,0,10,16,107.74921961969288
9,31,6,1,1,10,12,100.12308457958348
6,31,15,0,0,11,10,97.3427788837301
5,30,8,0,0,8,9,88.44169112010809
7,30,3,0,0,11,11,93.7562176487
8,27,13,1,1,11,14,100.4506145719196
11,31,6,0,0,10,12,99.37265193777696
14,28,8,1,1,15,18,115.22767306919684
7,30,7,1,1,10,11,93.30141481607724
11,31,11,0,1,9,10,94.6136507849132
10,28,8,1,1,12,13,101.64219845052948
11,29,4,1,1,11,14,103.48191790361456
8,30,7,1,1,10,13,99.617327017818
13,31,7,1,0,10,12,98.82976304847844
14,34,6,0,1,8,10,98.40621597690529
8,28,6,0,1,12,14,100.7978246579022
7,27,10,0,1,12,18,113.48343039023467
8,34,13,1,1,13,13,108.76350084729766
10,29,9,0,1,16,15,104.29252543917916
11,31,10,0,1,9,12,99.94153051208144
9,31,6,1,0,11,12,100.3935569035047
7,27,9,0,0,9,13,98.82235697486324
10,28,7,0,1,16,18,112.66335530169158
8,29,-1,1,0,9,13,99.95583621581552
13,28,5,1,0,9,14,100.78056476466465
10,31,10,1,1,10,12,101.27966144010809
10,25,8,0,0,11,16,104.25464457668264
10,29,4,1,1,9,12,97.36604149658469
12,32,5,0,1,11,13,103.62068359442551
12,26,9,1,1,13,18,112.0314553977958
9,33,13,0,1,11,12,101.48413414612816
10,29,7,0,1,10,13,97.53253670718526
12,33,7,1,0,12,11,97.81652816588029
10,31,8,0,0,11,9,89.72646505441963
7,29,7,0,0,14,14,100.979893255903
10,29,11,0,1,10,11,95.48132581623312
8,29,8,1,0,12,14,104.7425081078087
10,26,8,1,0,11,17,110.64599338302284
10,29,7,0,0,11,14,102.48346671015813
10,27,8,1,1,10,16,106.94326829164405
10,27,7,1,0,10,11,92.09877340408676
9,34,7,0,1,14,12,104.4512088895168
5,32,9,1,1,9,12,98.56880916905882
7,31,5,0,0,11,14,107.05728373165572
12,26,4,1,1,13,16,103.94651453389552
14,26,11,1,1,13,19,115.4960969905482
7,33,12,1,0,14,11,98.43010315120874
5,28,9,1,1,7,11,97.1926775392778
14,27,6,1,1,9,14,102.27515012148442
14,31,7,0,1,13,18,119.18349286797694
6,26,9,1,0,12,18,115.43341638347948
7,29,2,1,1,12,16,107.13250875821312
5,33,6,1,0,9,11,101.10923372229692
9,28,9,1,1,9,16,113.8453881186514
7,32,7,1,1,12,12,102.80923552481372
9,32,0,0,0,11,14,107.5577934620208
5,28,6,1,1,7,13,99.21829388532385
7,33,10,0,1,9,9,92.45990222699989
11,30,5,0,0,7,11,95.99297389353144
9,31,4,1,0,14,13,98.55551487498
6,32,9,1,1,12,12,102.9488883819286
13,29,1,0,1,12,15,102.62524938097604
12,31,7,1,1,8,9,89.9046816624403
9,32,11,1,1,12,11,95.11789352460823
7,32,5,1,1,12,11,97.33163051209256
6,26,13,1,1,12,16,105.67636030154604
9,31,6,0,0,9,12,99.66919372872646
11,28,9,1,1,8,15,101.56165267906204
9,32,7,1,1,10,11,97.57415376006624
9,32,11,1,1,8,10,95.78282489636992
