student_age,parent_education_years,classroom_size,school_funding_per_student,distance_to_nearest_library,school_location,access_to_private_tutoring,school_type,enrollment_in_stem_program,final_math_score
25,23,7,12,4,0,0,1,0,84.97722986216472
19,21,4,12,1,1,1,1,0,81.80927778737673
17,25,3,9,2,0,1,1,0,78.44442282020943
21,30,4,11,2,1,0,0,0,83.85192898271119
22,26,4,22,2,1,1,1,1,100.14522189752884
27,22,6,17,2,1,1,1,1,95.69967401264252
25,24,9,16,0,1,1,0,1,94.34992021725284
33,21,7,22,0,1,0,1,0,92.915691134678
28,24,5,16,2,1,0,0,1,94.3551607030782
33,24,3,22,2,1,1,1,1,102.88270953558848
35,19,1,17,2,1,0,0,0,89.10544349739251
30,27,6,9,2,0,0,1,1,93.19555511125829
45,19,5,13,1,0,1,0,1,96.26217248676532
21,27,9,20,1,1,0,1,0,89.81383443637232
16,28,5,13,3,0,1,1,1,90.1796638702208
20,25,7,14,1,0,0,0,0,82.7470958614812
26,27,5,15,2,1,0,0,0,87.9805698667784
55,19,3,11,1,1,0,0,1,98.84393442872609
37,19,7,20,1,1,1,1,0,94.3097387476883
14,23,10,20,2,1,1,1,1,90.77042552033112
25,32,7,10,3,1,1,0,1,91.32238918539652
41,26,0,12,2,1,0,0,0,88.81815176147116
26,24,10,24,1,0,1,0,1,100.5711302705072
20,23,7,18,2,1,1,0,0,84.9457090702998
22,24,3,10,1,1,0,0,0,78.04109218912303
30,23,7,18,1,0,0,0,0,87.19293909266554
36,24,4,8,2,0,0,1,0,84.67512625354085
12,21,4,13,1,1,1,1,1,85.35765230619585
23,30,4,12,1,1,1,1,1,93.63244524993868
32,18,3,14,3,1,1,1,1,96.37898925796809
28,21,5,13,2,1,0,1,1,91.80736834458072
10,25,4,11,2,1,1,1,1,86.11630674271997
23,17,5,25,2,1,1,1,0,92.72330940723442
28,30,6,23,2,1,1,0,1,102.9397576763599
23,21,12,20,1,0,0,0,0,85.42853582459612
24,23,6,17,2,1,1,0,1,94.35757721535714
33,17,8,14,3,1,1,1,0,86.61332464118698
22,19,2,14,0,1,0,1,0,80.2829469486162
31,26,7,15,2,0,1,1,1,95.23672218241512
25,20,5,14,2,0,0,1,0,83.61674837046364
9,25,2,17,2,0,0,0,0,80.75754179863593
43,20,7,10,1,1,1,0,1,95.58064610453113
9,19,4,18,0,1,0,0,0,79.48788176676302
19,23,5,16,2,1,1,0,1,91.36101017987114
37,12,4,14,2,1,0,1,1,94.7611096758718
29,28,5,13,0,1,1,1,1,92.8552490380482
30,20,8,19,0,0,1,1,0,89.75102931579347
20,29,7,21,2,0,1,1,0,91.26684496446248
6,30,8,16,1,1,1,1,1,89.27541184536253
19,20,2,12,2,0,1,0,0,79.49557197279054
24,24,7,12,1,0,1,0,0,83.57773900224632
38,33,6,16,1,1,0,1,1,103.01082231811164
15,19,4,20,2,1,1,1,0,86.52653870490427
36,20,10,9,2,0,1,1,0,85.29948580730697
37,25,3,14,2,1,1,1,1,99.13276240003816
23,26,12,20,1,1,1,1,0,88.67164001853754
16,24,8,16,2,1,1,1,1,91.5242265452517
21,25,3,19,0,1,1,1,0,86.18611024095166
27,22,6,7,3,1,1,0,0,81.67771913841514
25,11,1,15,0,0,0,1,1,86.10390561982332
30,29,5,11,1,0,1,1,1,92.9962954219687
28,15,4,13,1,1,0,1,1,89.7502400143189
4,27,11,9,2,1,1,0,0,72.84288051670936
29,23,4,12,1,1,0,1,0,84.85936591610337
27,30,6,16,2,0,1,0,0,88.18502199655435
9,25,9,14,1,1,1,1,1,86.5256223426925
35,27,7,23,3,1,0,1,1,106.03943294399689
24,25,7,15,0,1,0,0,1,93.34391956212794
23,23,6,11,1,0,1,1,1,89.54056295376297
10,27,9,21,0,1,1,1,0,85.98817666742463
37,26,4,10,1,1,1,0,0,87.05655879731448
24,28,8,17,3,1,0,0,1,97.00501046383349
15,20,7,16,2,1,1,0,0,82.43420884869663
32,16,3,17,3,1,1,1,0,90.85572403712813
26,22,7,14,1,0,1,1,0,84.78163960197138
9,23,6,18,2,1,0,1,0,81.89130104422439
40,22,6,17,0,1,1,1,1,98.35115682004307
13,21,7,21,2,1,1,0,0,88.105393229565
9,28,5,18,1,0,1,0,0,80.07612204165848
32,20,4,25,1,1,1,1,1,101.5261270994862
17,25,7,10,2,1,1,0,0,79.62655840658307
40,20,8,19,2,1,1,1,1,101.42523568235092
37,23,3,19,2,1,1,1,1,101.79060182108722
31,24,5,11,1,0,0,0,0,84.56714211100079
35,21,6,19,0,1,0,1,0,89.87975271088229
31,30,10,11,3,1,1,1,0,88.64671129559248
30,28,7,17,0,1,1,1,1,97.5047263176363
36,22,8,12,1,1,1,1,1,95.79635903108132
13,24,6,8,1,0,1,1,0,75.77386321959081
44,19,8,12,1,1,1,1,1,97.88177639196893
27,29,5,10,0,1,1,1,1,93.57206072836664
39,19,6,14,1,0,0,1,0,85.40343744732616
39,29,13,12,1,1,0,0,0,90.16316268501043
9,24,5,10,0,0,1,0,0,74.75960828055001
17,25,0,15,2,1,1,1,1,90.77873758305816
22,23,9,20,1,0,1,1,1,94.90495564653114
19,18,5,14,1,0,1,0,1,87.30331555293856
15,21,5,22,1,1,0,1,0,85.73509247428619
35,20,6,20,1,0,0,1,0,91.10231936066474
22,25,4,19,2,0,1,1,1,94.44834597518738
7,17,9,22,2,0,0,1,1,89.20203175284162
42,15,8,19,0,1,1,1,0,92.53070400478002
10,27,3,15,1,1,0,1,1,90.16511953594927
14,20,4,13,1,0,1,1,0,76.56567335374965
21,19,10,8,0,1,1,1,1,86.33573443552584
30,26,4,12,2,0,1,1,1,94.86832426414722
11,23,3,17,1,1,0,1,1,88.36379253116047
30,17,6,21,1,0,1,0,1,95.416650407237
22,20,7,21,1,1,1,0,1,95.04962088781411
33,21,3,17,2,0,0,1,0,88.98141034406231
3,24,5,20,1,1,0,1,0,81.49394905968057
22,20,5,21,2,0,0,0,0,86.11131769844465
16,22,5,16,0,1,1,0,0,80.70282583274602
36,19,2,19,0,1,0,1,1,98.2674241282397
38,22,7,14,1,0,1,0,1,96.19263889633416
2,22,1,17,1,0,0,0,1,85.8743086877272
42,21,6,9,1,1,1,1,1,94.77212517336368
22,26,3,16,0,1,1,0,0,86.261334837061
17,28,7,13,2,0,1,1,1,90.72171643566406
37,26,2,11,2,0,1,1,1,96.68734208192654
4,27,6,9,2,1,1,0,0,74.59972397146325
34,31,9,15,1,1,0,0,1,99.33721092626932
26,26,10,19,1,0,1,1,0,89.72139532725643
19,20,4,14,1,1,0,1,0,81.84413071057389
37,23,6,15,1,0,1,1,0,91.0024718828235
39,20,6,18,1,1,1,0,0,91.89052773707115
21,21,1,20,1,0,1,0,0,87.72798565808989
29,23,7,4,3,1,1,0,1,87.76205264879391
28,22,7,19,2,1,1,1,1,98.85052080781682
11,27,4,29,1,1,0,0,1,97.95061628380972
33,24,8,17,2,1,1,1,0,91.76030120053365
23,22,3,11,3,0,1,0,0,80.14906581648653
28,22,2,18,1,0,1,1,1,94.6034372733771
9,18,6,17,2,0,1,1,1,87.25508646885537
2,20,6,16,2,1,0,1,1,82.25080106440134
35,18,7,12,2,1,1,1,0,86.54582272692704
12,20,3,16,0,1,0,0,1,84.91480305657116
8,21,4,18,2,1,1,1,1,88.12020460932678
17,21,6,10,2,0,1,1,0,79.0733067128584
39,25,6,18,1,1,1,1,0,93.4353795212544
10,31,5,17,3,1,1,1,1,93.3112006446088
25,22,6,15,0,1,1,0,0,82.31637387484714
5,31,4,14,2,1,0,1,0,78.60640296926722
28,24,9,14,1,0,1,1,0,85.60661453006571
27,24,6,21,1,1,1,0,1,99.45851668620054
39,16,8,14,2,0,0,1,0,87.53199898619744
36,19,6,20,0,0,1,1,0,90.09633917658068
7,27,8,19,1,0,0,0,1,88.61641522165529
10,21,4,15,2,1,1,0,0,79.52393641279879
32,25,5,9,0,1,1,0,0,82.38228878827776
23,22,6,9,2,0,1,1,0,81.42424376501589
21,20,1,6,1,0,1,0,0,75.17217973885377
33,20,6,19,1,1,0,1,1,98.9978110490156
36,29,4,11,2,1,0,1,1,96.34152857202652
17,20,8,8,0,1,1,0,0,74.2153756659733
26,23,6,10,1,1,1,0,1,89.985363487158
12,17,4,14,0,1,1,1,0,76.89671821997355
23,18,7,14,1,1,0,1,1,89.22333384359035
19,28,8,17,1,0,1,1,0,86.00664966685392
32,26,4,18,2,1,1,0,0,90.5719579049181
20,20,5,21,2,0,0,1,1,95.58295104409962
8,18,5,15,1,1,1,1,0,77.69508303928731
37,19,7,17,1,1,1,0,1,96.40681635701652
14,15,6,11,2,1,1,0,1,82.58261861819665
33,20,5,16,3,0,0,0,0,85.77084787461004
42,19,8,17,2,1,0,1,1,100.38607276297328
12,23,8,16,1,0,1,1,1,88.70988097011977
28,24,4,8,0,1,1,1,1,89.52158694831184
37,23,2,15,2,1,1,0,0,91.34064181171568
25,19,1,15,0,1,0,1,1,90.91538547301526
4,25,4,16,0,0,1,1,1,85.12303302586666
25,26,6,16,1,1,0,1,0,87.62933529583705
27,25,7,15,2,1,1,0,0,86.12170056101775
29,22,4,15,2,1,1,0,0,87.85195691370501
21,13,5,21,2,0,0,1,0,85.89931522067327
11,20,11,15,1,0,0,0,1,83.66867706341479
22,23,4,17,1,0,0,1,0,84.52931456968663
34,19,4,9,1,1,0,1,0,84.27082257105982
39,20,2,16,2,1,1,1,1,100.58512618671
52,31,6,15,1,0,0,0,0,97.62828219572246
11,23,6,11,1,0,1,1,1,83.93260460319277
32,20,6,7,3,0,0,1,0,80.95218228941373
21,24,8,14,1,1,1,1,1,90.8089850031851
33,25,8,16,1,1,1,1,1,98.65642433843767
7,17,4,15,1,1,0,0,0,74.48506651822456
12,22,5,14,2,0,0,1,1,85.67515888301308
10,23,3,19,0,1,1,1,0,82.59109882129871
24,24,5,13,2,1,1,1,1,92.61102328870388
32,14,6,4,1,1,1,1,1,84.08041789032484
21,25,3,20,1,1,1,1,1,95.45972766720053
43,30,0,9,3,1,0,1,0,90.65470781689756
5,25,2,14,0,0,1,1,0,77.07107826009872
17,15,4,14,2,0,1,0,0,80.63824093844848
20,18,4,7,3,1,1,0,1,85.18932742435217
13,31,5,14,0,1,0,0,0,83.28900004501682
36,15,6,19,3,1,0,1,0,91.60572097313144
12,24,8,11,3,1,1,0,1,86.32787762652312
33,32,3,9,2,1,0,1,1,96.1655089983675
31,27,6,8,1,1,1,0,0,83.69837613270117
19,25,7,18,1,1,1,1,0,86.60946706684844
31,27,4,15,1,0,0,1,1,93.98967950164752
46,27,7,17,0,1,1,0,1,102.95940589565276
31,24,2,7,2,1,1,0,0,81.03349884836031
16,25,4,16,1,1,1,1,0,83.95789997408288
34,20,6,13,0,1,1,1,1,94.1908740559204
31,25,3,17,1,1,0,0,1,97.0580436594915
39,22,6,26,3,1,1,1,0,99.8221790542846
47,23,5,6,2,1,0,0,1,93.95336500460354
40,20,7,20,2,1,1,1,0,97.41041198279576
28,21,5,14,3,1,1,1,1,94.3503070372269
26,26,8,13,2,1,1,1,0,87.18986395749815
29,20,9,13,0,1,0,0,1,91.47657976563076
31,22,9,13,2,1,0,1,1,91.2105605004448
-3,30,5,25,3,1,1,0,0,87.16519987642128
32,26,6,11,1,1,0,1,1,94.94167883366792
23,19,2,17,2,1,1,1,1,94.34404692666769
40,29,5,17,2,1,0,0,0,94.35684721083749
26,31,4,18,2,1,1,0,0,92.79878754337103
26,18,6,13,2,0,1,1,0,83.3763923132035
19,29,6,20,2,0,0,0,0,87.72086142489442
11,29,7,18,1,1,1,0,0,83.67388459364608
32,26,9,10,0,0,1,1,1,91.44530768336372
22,20,5,18,1,0,1,1,1,91.8401948260628
21,26,6,11,1,1,1,0,1,89.13223662303842
16,24,4,15,1,1,1,1,0,80.95980966667491
18,17,3,26,2,0,1,1,0,89.39092155234712
33,22,4,22,2,1,1,1,1,102.49003343421327
19,24,6,15,1,1,0,1,0,81.40837114373572
40,30,3,22,2,1,1,1,1,106.7814682076079
19,21,6,22,1,1,1,1,0,86.35532949571905
15,23,9,23,3,1,1,0,0,89.20303319715688
26,20,7,16,2,1,1,0,0,86.2521525333837
46,21,7,18,1,0,0,1,1,101.6202219810355
20,22,6,16,0,1,1,1,1,90.80005621993814
38,19,4,9,2,1,1,0,0,87.35437076442783
33,28,6,17,3,0,1,0,0,91.84518090586884
39,20,6,13,1,1,1,1,1,96.95933348098905
26,28,4,14,0,1,0,1,1,93.28274123469872
38,23,4,14,1,1,1,1,0,88.58206787579064
14,25,8,11,0,1,0,1,1,85.8319350187574
22,17,9,16,1,1,1,1,1,87.28796318581543
37,31,3,11,0,1,1,1,1,98.1635888225965
29,25,4,13,0,1,1,0,0,86.72907383570966
23,22,5,21,1,1,1,1,1,97.10590547309852
33,25,6,20,2,1,0,1,1,100.6436241786641
38,27,1,21,3,0,1,1,0,96.89783478588448
30,19,4,23,1,1,1,1,1,99.17679160058492
14,21,4,21,1,1,1,1,1,91.94924266716404
31,25,6,9,2,0,1,1,1,93.2432508902478
18,25,6,14,2,1,1,0,0,82.42852547584988
37,19,7,19,4,0,1,0,0,93.0602185474692
25,25,3,19,2,1,1,1,0,90.14463361820836
7,21,7,10,0,1,1,0,0,73.78405090935262
29,25,8,15,1,1,1,1,0,87.79666459959365
23,24,7,12,1,1,0,1,0,82.15681882605224
11,21,6,13,0,0,0,0,0,76.54497624909948
45,22,4,18,0,0,1,1,1,100.48590875138969
31,19,3,23,1,1,0,1,1,99.71121752617474
11,23,7,20,1,1,1,1,0,84.1296313709547
25,31,6,19,2,0,0,0,0,90.92729791054956
16,23,9,20,3,1,1,1,0,87.0928593379861
27,24,2,13,1,1,1,1,0,85.3374904027373
11,29,3,18,1,0,1,1,0,82.94104921121334
16,22,7,12,1,0,1,1,0,79.13614358936485
7,23,4,8,1,1,0,0,0,74.04566167042522
19,29,5,11,2,1,0,1,1,90.41687096704275
33,27,4,16,1,0,0,1,1,95.10596257837564
20,26,4,22,2,1,0,1,1,97.04514505221468
33,23,6,10,2,1,1,1,1,94.40719762681198
29,25,2,8,1,0,0,1,0,83.05385702934485
28,30,6,16,2,1,1,1,1,98.10355646566208
0,21,4,20,1,0,1,1,0,78.17264989583671
19,20,6,18,1,0,1,1,0,84.8506265691694
30,24,4,15,0,0,1,1,1,94.39304283419293
17,25,7,19,2,1,1,1,1,93.87159793040324
32,24,3,12,3,1,1,0,0,88.19189715790303
23,30,5,17,2,1,0,1,0,89.4285000880066
15,27,4,17,2,1,1,1,0,85.53697915475138
13,15,0,17,2,1,1,1,1,86.60159313229283
41,23,7,13,4,1,1,1,1,99.29458698213678
17,22,2,8,1,1,1,1,1,85.0315642094
34,18,7,15,0,1,1,1,0,87.87918749936995
18,22,2,14,2,1,1,1,0,83.44782434791196
24,18,5,17,2,0,1,1,0,84.22928102464014
8,26,3,13,1,0,1,1,0,79.2565140179038
19,19,2,9,2,0,0,1,0,78.26278187234989
10,22,7,9,1,1,1,1,0,77.93679805816419
23,28,4,14,1,1,1,1,0,85.57232408292131
34,25,0,19,1,0,1,0,1,99.46058024548744
39,17,6,18,2,1,1,1,0,93.2944116459496
16,18,4,17,3,0,1,1,1,89.70103320145685
10,24,2,18,2,1,1,0,0,82.38287716458736
18,24,3,15,3,0,1,1,0,82.82737215136792
21,31,7,4,1,1,0,1,1,86.57214502719408
24,23,8,3,2,1,1,1,1,83.31788199180079
43,21,5,14,1,1,1,1,1,98.57081527267192
23,16,9,20,2,1,0,1,1,95.08042867105424
22,17,3,16,2,0,1,0,0,82.60384855057164
22,27,4,10,3,0,0,1,0,81.02274553491941
23,25,5,14,1,0,0,0,1,91.44212237813758
37,22,7,11,2,0,1,0,1,94.22080122726392
31,18,4,22,2,0,1,1,1,98.75618590946978
34,24,4,18,1,1,0,1,1,98.94253610367798
15,18,5,13,1,1,1,1,0,79.45250083355786
29,25,5,16,0,0,1,0,0,87.21815255738623
26,18,8,19,2,1,1,1,1,96.78336621385836
9,23,8,20,2,0,1,0,0,83.04455807637238
20,21,4,13,1,1,1,1,1,89.32877147668043
34,23,4,17,3,1,0,0,0,90.44124924552632
18,22,9,13,2,0,1,1,0,79.94720969239343
36,27,4,14,0,0,0,1,1,95.87160653828504
29,18,8,15,1,1,1,1,0,88.047425726264
34,25,6,16,1,1,0,0,0,88.36117958371234
26,23,8,7,1,1,1,0,1,86.74955151784432
37,30,1,11,1,0,1,0,0,88.21435399160808
27,22,1,20,0,0,1,0,0,88.74752576973108
29,31,7,18,3,1,0,1,0,92.2712781388713
16,22,4,15,1,0,1,1,0,79.8317959669399
29,17,6,21,0,1,0,0,0,87.36080666990905
13,23,6,13,1,0,0,1,1,87.13033432042114
13,23,5,14,0,1,0,1,1,87.05523479867772
26,23,7,10,2,1,0,1,0,83.27143900097428
35,25,9,19,3,1,0,1,1,101.8806320694546
25,23,7,15,2,1,1,1,1,94.05932432283068
13,20,4,20,2,1,1,0,1,89.29491182186972
23,16,7,23,1,1,1,1,0,88.36726190079663
17,24,3,10,3,1,1,1,1,88.84152746669785
22,21,4,18,1,0,1,1,1,92.96014190358584
33,32,9,20,1,1,1,1,1,102.63206099396798
27,26,3,19,1,1,1,1,1,97.6877110374616
37,10,3,3,3,1,1,1,0,79.40733764787696
17,22,6,20,2,1,0,0,1,93.6297245520373
34,17,1,16,2,1,1,0,1,94.0538703248131
19,24,8,17,2,1,1,1,1,92.37053927411267
9,23,6,18,1,1,1,1,0,81.58577773533572
22,23,2,21,2,1,1,0,1,98.80975969025468
12,20,3,14,3,1,1,1,0,80.60049257835388
18,24,3,15,0,1,1,1,1,89.45364213179262
25,22,8,19,1,0,1,1,0,87.75768373407871
17,24,7,10,2,1,1,1,1,86.27582709337032
33,19,6,17,1,1,0,0,1,96.65825914739362
17,22,5,14,2,1,1,0,0,81.52546476134262
30,25,4,21,2,1,1,1,0,92.21404582750706
34,20,6,12,0,1,1,1,1,93.52048672517124
31,25,3,13,3,1,1,1,0,89.51856187348375
28,26,4,7,2,1,0,1,1,89.46558133996857
22,25,3,21,3,1,1,1,1,97.26697906785294
16,20,9,17,1,1,1,1,1,89.63373259745963
21,16,11,11,2,1,0,0,1,86.793263543324
14,16,4,21,2,1,1,1,0,83.41713377226382
21,21,8,8,1,1,1,1,1,86.23443143234839
21,23,9,18,1,1,1,0,0,86.52876267479755
29,31,3,15,1,1,0,1,1,96.7127901210542
26,26,5,22,3,1,1,1,1,101.59187605753203
23,21,6,15,1,0,1,0,0,81.54534706461163
12,23,4,20,4,0,0,1,1,92.55868767939376
29,22,6,16,3,0,1,1,1,95.84445814001586
-4,26,3,12,2,1,1,1,1,81.23051944272228
44,25,4,12,2,1,1,0,1,97.25088919992352
10,19,5,15,4,1,0,0,0,79.81691369352662
20,27,2,18,1,1,1,1,0,87.43847903826882
20,20,5,18,0,0,0,1,1,91.05705028178504
25,25,4,11,2,0,0,1,0,82.68026394820818
28,22,4,12,3,0,0,0,0,82.55870285891939
18,27,5,15,3,1,0,1,0,87.47251373631453
37,30,4,16,2,1,1,1,0,94.6268965226878
14,26,7,0,2,1,1,1,1,81.48942534993158
31,25,8,13,4,1,1,1,1,96.68343813094478
31,17,4,17,1,1,0,1,1,93.35182656510246
12,29,8,6,1,0,0,1,0,74.58607425417163
29,21,5,22,1,0,1,1,0,90.11689313447236
38,28,5,21,2,0,1,1,1,105.03178813993772
38,15,2,15,2,1,0,0,0,85.79181113638089
8,28,2,8,2,1,0,0,0,75.33423021593887
20,21,2,25,1,1,0,1,0,89.35718181120441
-2,22,4,18,1,0,1,0,1,83.39554137836133
29,29,8,23,1,1,1,1,0,94.95556318453664
32,25,6,15,2,0,1,0,1,95.18168762138532
19,20,5,14,3,1,0,1,1,90.8032470830145
23,25,5,21,3,0,0,1,0,91.13522692972288
26,21,5,22,2,1,1,0,1,98.41268456101145
23,21,7,21,1,0,0,0,1,94.3439300202976
12,18,5,18,2,1,0,1,0,81.97922610058433
21,21,8,14,4,1,1,1,0,85.05810539091598
2,21,1,12,2,1,1,0,0,74.07753886330102
30,29,5,6,0,0,1,1,0,82.28823244417572
17,18,9,12,2,1,1,0,0,79.5301911698007
18,22,9,15,1,0,1,1,0,83.4737377600053
13,23,7,14,3,1,1,1,1,87.1431075974912
21,19,5,18,3,0,1,1,1,92.4067194472325
19,19,9,22,1,1,1,1,1,96.42445200405018
7,23,6,8,1,1,0,1,0,73.46543240174046
26,23,9,18,0,0,0,0,1,92.62566235642905
20,21,6,16,2,0,1,0,0,83.20977636491743
13,22,9,19,2,1,1,1,1,89.60944238927185
29,29,4,18,1,1,1,1,1,98.56080125734232
10,24,6,21,2,0,1,1,0,82.77742684794981
11,20,8,17,0,1,1,1,1,86.92092364535723
25,23,10,17,0,1,0,1,1,93.95911103496178
16,25,6,12,2,0,1,1,0,78.29083994925868
25,32,9,13,2,1,1,1,0,88.81463229159644
10,22,6,20,1,1,0,1,1,90.9958092305816
33,28,4,18,0,1,0,0,0,89.74098007158167
25,20,3,16,1,0,1,1,1,92.44854572328228
13,19,2,17,3,1,1,0,0,82.16970938445144
35,24,8,23,2,1,1,0,1,104.80868282547505
29,25,4,18,3,1,1,1,0,93.42714342431118
26,27,7,14,0,0,1,0,1,92.44142280679786
23,24,4,23,2,1,0,0,1,99.052608765872
21,24,8,9,2,1,1,1,0,80.90951869744438
9,25,6,13,3,1,1,1,1,86.21220747938804
43,30,3,16,0,0,0,1,0,94.60070078505228
26,20,7,25,2,0,0,1,0,91.46707729112438
42,27,5,4,3,1,1,1,0,88.14212320820329
8,17,9,22,1,0,0,0,0,80.22580596125948
15,17,5,17,0,1,1,1,1,87.8188435763947
24,27,8,9,2,0,1,1,1,89.43941081811131
30,21,7,15,2,1,1,1,0,86.47708495812115
27,27,2,11,3,1,0,0,1,91.18747294570407
9,23,5,11,2,1,1,1,0,77.61045259589416
33,20,3,17,0,1,1,0,0,88.08953971435027
9,32,2,10,2,1,1,0,1,85.4160423085208
9,23,4,24,2,1,0,1,1,92.93379395169958
16,30,8,22,2,1,1,0,0,89.73701084473349
14,26,9,12,1,1,1,1,0,82.1804733144025
14,17,5,22,0,1,1,1,0,82.61944019110663
30,20,8,9,0,1,1,1,0,82.32441078010996
15,20,5,19,0,0,0,1,1,88.71242912832372
21,17,5,17,2,1,1,0,0,83.49412312889615
26,26,2,18,0,1,0,1,1,95.49794846433949
37,19,3,17,2,1,1,1,0,90.19124056220018
32,26,10,16,3,1,1,0,1,100.02316278669524
48,28,6,15,1,1,1,1,1,102.63359950383976
23,23,7,18,2,1,0,1,1,96.85938691963622
16,25,6,10,1,1,0,1,0,80.35494421087725
33,29,3,11,2,1,1,1,0,88.76683560944946
18,23,6,17,2,0,0,0,1,91.99795335296936
26,22,7,13,2,1,0,1,1,90.91205670944636
28,17,2,18,2,0,0,1,1,94.57283907744431
37,22,8,12,2,1,1,1,1,95.15909550027484
32,26,8,16,2,1,1,1,1,97.56587734356138
6,21,10,15,2,1,0,1,1,84.34084896540354
25,23,4,10,2,0,1,1,0,80.17489954508369
35,25,8,15,2,1,0,1,0,91.09258525329338
18,19,5,17,0,1,1,1,0,80.94720501425138
28,21,6,14,1,0,1,1,0,85.63636604942309
17,24,7,16,2,1,1,0,1,92.1833292934937
27,26,8,14,2,1,1,0,1,96.229718699952
32,23,8,11,0,1,1,1,0,84.77818857121797
16,23,0,12,0,1,0,1,1,85.35543032086984
15,27,0,12,2,1,0,0,0,79.81740707454695
26,16,8,13,1,1,1,1,1,90.01185406381188
27,21,7,11,1,0,1,0,1,89.02794046178708
30,24,8,16,0,1,0,1,1,95.29722057685412
22,21,6,18,2,1,1,0,0,86.95503063344088
29,24,2,7,2,1,1,1,0,83.19253220043498
16,22,8,12,3,0,1,0,1,87.3711751647831
21,30,8,17,0,1,1,1,0,88.71999150413616
40,27,4,12,1,1,1,1,1,95.98244491241113
11,24,4,20,2,1,1,0,1,90.2951631577682
24,24,3,12,3,0,1,0,1,90.45359672539904
12,22,3,16,2,1,1,1,0,81.67609242539909
37,21,4,18,2,1,1,1,1,99.03587026910822
33,24,5,18,4,1,1,1,0,91.83108280694776
28,26,5,11,1,0,1,1,0,82.0075666378606
31,28,5,16,2,1,1,1,0,92.07995584897624
27,27,5,13,2,0,0,0,0,82.03022554312581
28,26,5,18,2,0,1,1,0,91.0806248543515
